Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1416.00,1476.15,1412.50,1468.55,399200,1468.55
2017-01-31,1415.25,1434.90,1406.25,1413.50,186800,1413.50
2017-01-30,1428.80,1440.00,1412.00,1428.40,215500,1428.40
2017-01-27,1420.00,1440.00,1413.00,1430.65,617300,1430.65
2017-01-26,1399.40,1399.40,1399.40,1399.40,000,1399.40
2017-01-25,1361.50,1413.00,1352.60,1399.40,743200,1399.40
2017-01-24,1339.00,1362.00,1337.10,1358.60,834500,1358.60
2017-01-23,1326.15,1343.60,1326.15,1334.70,205900,1334.70
2017-01-20,1357.90,1365.00,1315.00,1326.45,380300,1326.45
2017-01-19,1351.00,1367.95,1342.35,1361.05,561800,1361.05
2017-01-18,1337.75,1353.80,1331.00,1349.70,503500,1349.70
2017-01-17,1333.00,1339.90,1315.00,1328.90,208400,1328.90
2017-01-16,1331.00,1339.90,1325.00,1331.00,107400,1331.00
2017-01-13,1344.80,1350.00,1327.70,1329.50,101400,1329.50
2017-01-12,1357.00,1361.00,1332.35,1341.60,282100,1341.60
2017-01-11,1325.00,1354.00,1320.00,1348.70,399500,1348.70
2017-01-10,1332.00,1337.35,1314.05,1319.60,166400,1319.60
2017-01-09,1343.70,1343.70,1316.50,1327.85,135000,1327.85
2017-01-06,1338.00,1349.10,1330.00,1333.90,247900,1333.90
2017-01-05,1330.50,1339.00,1320.10,1332.85,362900,1332.85
2017-01-04,1347.70,1351.00,1315.15,1319.40,204800,1319.40
2017-01-03,1359.90,1359.90,1336.65,1343.55,167100,1343.55
2017-01-02,1340.00,1357.45,1339.00,1351.90,194800,1351.90
2016-12-30,1311.20,1336.00,1310.00,1331.05,162200,1331.05
2016-12-29,1295.00,1314.70,1293.40,1309.95,283400,1309.95
2016-12-28,1283.30,1305.00,1283.30,1294.80,276800,1294.80
2016-12-27,1284.00,1297.00,1279.30,1294.80,123700,1294.80
2016-12-26,1293.65,1295.00,1278.40,1284.10,128400,1284.10
2016-12-23,1296.05,1305.00,1285.50,1296.30,167300,1296.30
2016-12-22,1298.80,1305.10,1285.20,1294.40,195900,1294.40
2016-12-21,1300.05,1314.10,1295.00,1300.00,189800,1300.00
2016-12-20,1274.80,1299.00,1272.00,1295.15,128300,1295.15
2016-12-19,1294.15,1296.75,1269.55,1277.70,320800,1277.70
2016-12-16,1316.80,1318.50,1283.05,1294.15,359400,1294.15
2016-12-15,1306.00,1328.10,1304.85,1314.95,240500,1314.95
2016-12-14,1340.05,1343.00,1310.10,1313.45,244000,1313.45
2016-12-13,1348.70,1349.90,1328.20,1339.75,160800,1339.75
2016-12-12,1372.50,1375.75,1341.15,1345.90,174700,1345.90
2016-12-09,1362.25,1385.00,1355.55,1379.15,213300,1379.15
2016-12-08,1352.20,1371.40,1351.00,1358.65,189000,1358.65
2016-12-07,1352.25,1360.90,1347.45,1350.00,317700,1350.00
2016-12-06,1341.25,1357.40,1340.00,1350.55,150500,1350.55
2016-12-05,1332.35,1347.25,1318.80,1340.00,189000,1340.00
2016-12-02,1333.80,1338.00,1317.90,1325.70,189400,1325.70
2016-12-01,1349.10,1354.90,1327.00,1338.00,231400,1338.00
2016-11-30,1325.00,1354.75,1323.20,1342.40,358200,1342.40
