Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,229.35,236.50,229.00,234.40,2228200,234.40
2017-01-31,231.15,231.15,226.15,229.05,1633600,229.05
2017-01-30,231.35,233.15,228.10,229.45,874800,229.45
2017-01-27,229.70,233.50,229.60,232.80,2174100,232.80
2017-01-26,229.15,229.15,229.15,229.15,000,229.15
2017-01-25,225.45,230.00,223.90,229.15,2727700,229.15
2017-01-24,221.80,224.00,220.25,223.40,2036500,223.40
2017-01-23,217.40,221.80,217.05,220.10,1106900,220.10
2017-01-20,218.10,220.65,216.00,217.70,3285000,217.70
2017-01-19,218.30,221.35,216.75,220.35,2242000,220.35
2017-01-18,213.60,219.50,213.30,217.55,2843600,217.55
2017-01-17,213.10,213.60,210.55,212.90,1035700,212.90
2017-01-16,216.00,216.00,211.60,212.50,851500,212.50
2017-01-13,213.95,215.00,211.70,213.25,498900,213.25
2017-01-12,217.10,217.90,213.30,214.25,1073900,214.25
2017-01-11,211.50,216.50,210.35,215.85,2074000,215.85
2017-01-10,212.65,212.65,208.10,209.40,1300100,209.40
2017-01-09,214.60,214.60,210.35,210.70,484400,210.70
2017-01-06,214.70,215.45,212.00,212.60,836600,212.60
2017-01-05,213.10,214.85,210.90,214.35,1267500,214.35
2017-01-04,215.70,218.20,211.25,212.15,2063200,212.15
2017-01-03,215.00,216.85,214.00,215.20,1544100,215.20
2017-01-02,209.00,215.45,209.00,214.60,1715000,214.60
2016-12-30,202.50,207.65,202.50,206.30,835000,206.30
2016-12-29,202.25,204.70,200.60,203.90,1088500,203.90
2016-12-28,203.10,204.75,200.80,201.25,1319900,201.25
2016-12-27,198.40,203.25,198.00,202.90,811200,202.90
2016-12-26,199.80,200.90,197.00,198.35,688500,198.35
2016-12-23,199.90,202.15,198.60,200.05,1270700,200.05
2016-12-22,201.70,203.45,198.15,199.95,855800,199.95
2016-12-21,205.00,205.90,201.60,202.15,933100,202.15
2016-12-20,201.70,206.00,201.15,205.35,1657200,205.35
2016-12-19,201.10,204.00,200.30,201.15,1049000,201.15
2016-12-16,202.60,203.45,199.90,202.45,1623800,202.45
2016-12-15,203.80,206.45,200.55,201.85,1431200,201.85
2016-12-14,206.15,207.00,204.70,205.25,1515400,205.25
2016-12-13,209.00,209.85,205.90,206.40,1061200,206.40
2016-12-12,212.95,214.80,207.30,208.35,1120300,208.35
2016-12-09,214.50,217.20,212.00,216.05,1771300,216.05
2016-12-08,210.25,216.70,210.25,213.90,1977600,213.90
2016-12-07,211.00,214.40,208.40,209.25,1400100,209.25
2016-12-06,210.90,212.00,209.30,210.60,1484800,210.60
2016-12-05,205.40,211.35,204.30,210.15,1735500,210.15
2016-12-02,205.00,207.80,204.00,205.05,2361800,205.05
2016-12-01,211.90,212.65,206.05,206.90,1385500,206.90
2016-11-30,208.00,211.45,205.40,210.80,5187600,210.80
2016-11-29,205.40,207.30,203.95,205.05,3137700,205.05
2016-11-28,203.00,205.80,200.00,204.20,2608100,204.20
2016-11-25,200.50,204.00,198.50,203.00,3346300,203.00
2016-11-24,196.00,207.00,195.10,201.25,4846000,201.25
2016-11-23,198.05,199.30,193.75,198.05,2378700,198.05
2016-11-22,196.65,197.05,191.00,195.45,1928800,195.45
2016-11-21,200.95,200.95,193.00,193.60,2867300,193.60
2016-11-18,195.25,199.95,191.85,198.80,3710800,198.80
2016-11-17,200.75,201.65,192.60,194.05,5780400,194.05
2016-11-16,212.50,213.00,201.25,202.25,6974800,202.25
2016-11-15,222.20,228.00,207.60,208.55,6762500,208.55
2016-11-14,219.55,219.55,219.55,219.55,000,219.55
2016-11-11,229.40,229.40,218.65,219.55,3015900,219.55
2016-11-10,234.50,236.00,230.05,230.95,2307100,230.95
2016-11-09,230.00,235.00,221.00,230.80,3758600,230.80
2016-11-08,242.45,245.35,241.80,244.65,1154300,244.65
2016-11-07,242.45,247.45,241.15,241.70,1864100,241.70
2016-11-04,242.95,245.90,238.05,240.85,3607900,240.85
2016-11-03,240.00,245.40,235.55,243.10,8480500,243.10
2016-11-02,242.75,244.50,239.90,240.60,2117700,240.60
2016-11-01,239.70,245.70,238.50,244.50,4536700,244.50
2016-10-31,241.40,241.40,241.40,241.40,000,241.40
2016-10-28,243.20,243.20,240.40,241.40,8345600,241.40
2016-10-27,249.25,249.25,242.55,243.35,9951900,243.35
2016-10-26,248.00,249.55,246.30,248.65,1378800,248.65
2016-10-25,248.25,249.50,246.25,248.35,868600,248.35
2016-10-24,247.95,249.30,245.80,247.40,764000,247.40
2016-10-21,252.05,253.90,245.10,247.00,1340100,247.00
2016-10-20,252.40,255.30,251.10,253.05,2187700,253.05
2016-10-19,251.50,253.70,249.00,251.15,1045000,251.15
2016-10-18,246.20,252.30,244.10,251.10,2689000,251.10
2016-10-17,253.20,253.75,245.10,246.40,1089900,246.40
2016-10-14,252.50,254.95,251.75,252.95,741700,252.95
2016-10-13,255.00,255.65,250.30,252.55,1326700,252.55
2016-10-12,257.00,257.00,257.00,257.00,000,257.00
2016-10-11,257.00,257.00,257.00,257.00,000,257.00
2016-10-10,254.00,258.30,253.55,257.00,2052000,257.00
2016-10-07,252.00,254.00,249.25,252.80,944700,252.80
2016-10-06,258.05,258.80,250.25,252.65,2156600,252.65
2016-10-05,257.00,257.75,253.05,256.15,2378800,256.15
2016-10-04,261.00,261.00,254.35,256.15,1959600,256.15
2016-10-03,253.40,259.50,253.00,258.90,1887000,258.90
2016-09-30,255.80,255.80,249.55,251.75,2507900,251.75
2016-09-29,263.00,263.00,253.35,254.50,3691600,254.50
2016-09-28,256.80,262.00,256.80,260.80,1300500,260.80
2016-09-27,254.85,261.40,252.30,258.15,3217100,258.15
2016-09-26,256.40,257.70,253.45,254.85,2197200,254.85
2016-09-23,266.00,266.00,258.15,259.00,2209000,259.00
2016-09-22,266.60,268.60,263.60,265.55,1727100,265.55
2016-09-21,267.10,269.30,263.00,264.40,1487500,264.40
2016-09-20,267.35,269.30,264.55,267.20,1718300,267.20
2016-09-19,263.50,268.60,262.75,267.10,1626000,267.10
2016-09-16,262.75,266.95,261.55,262.40,2048800,262.40
2016-09-15,263.20,264.80,257.60,260.65,1956400,260.65
2016-09-14,260.00,266.00,260.00,264.05,2426800,264.05
2016-09-13,259.85,259.85,259.85,259.85,000,259.85
2016-09-12,269.10,269.85,259.00,259.85,1068300,259.85
2016-09-09,275.50,276.10,271.50,272.65,1727500,272.65
2016-09-08,274.05,278.00,273.65,275.95,2096900,275.95
2016-09-07,277.50,278.85,273.20,274.00,3232400,274.00
2016-09-06,279.00,279.35,275.70,277.40,1601400,277.40
2016-09-05,276.35,276.35,276.35,276.35,000,276.35
2016-09-02,275.10,278.75,273.35,276.35,1481700,276.35
2016-09-01,273.70,278.85,272.40,277.00,3369200,277.00
2016-08-31,275.05,281.70,275.00,277.95,8488800,277.95
2016-08-30,265.80,278.40,264.80,275.05,3635200,275.05
2016-08-29,265.00,265.90,262.45,264.20,804500,264.20
2016-08-26,265.00,268.90,262.20,266.15,1427300,266.15
2016-08-25,267.60,270.50,262.55,265.00,5272100,265.00
2016-08-24,270.80,270.95,265.00,267.10,1248500,267.10
2016-08-23,269.80,273.95,265.40,271.00,1487400,271.00
2016-08-22,275.35,277.35,270.00,271.30,1097000,271.30
2016-08-19,272.75,277.60,272.00,276.45,2054800,276.45
2016-08-18,272.25,274.85,269.65,272.10,1825200,272.10
2016-08-17,268.00,271.95,264.90,269.75,1319000,269.75
2016-08-16,265.25,270.45,263.20,269.65,7699900,269.65
2016-08-15,264.50,264.50,264.50,264.50,000,264.50
2016-08-12,260.45,265.50,260.45,264.50,1527200,264.50
2016-08-11,263.00,264.00,256.25,259.70,3841000,259.70
2016-08-10,271.20,271.20,259.00,260.45,3625400,260.45
2016-08-09,277.00,277.00,267.70,270.50,2564500,270.50
2016-08-08,275.40,277.75,271.90,276.50,2391300,276.50
2016-08-05,265.10,276.65,265.10,275.90,2703000,275.90
2016-08-04,265.90,265.90,261.90,264.40,1128600,264.40
2016-08-03,265.20,266.95,259.85,262.50,2730200,262.50
2016-08-02,269.80,270.60,262.95,263.85,1581100,263.85
2016-08-01,271.65,272.95,269.35,271.00,1126200,269.40
2016-07-29,272.40,274.90,269.15,271.25,1313900,269.6485
2016-07-28,269.00,273.85,266.20,271.55,2946500,269.9467
2016-07-27,278.00,278.00,266.40,268.00,5029700,266.4177
2016-07-26,271.20,274.00,268.20,269.80,2261400,268.2071
2016-07-25,265.45,269.40,264.30,269.00,983000,267.4118
2016-07-22,267.00,267.05,262.30,265.05,628500,263.4851
2016-07-21,263.00,267.70,262.80,265.90,2164300,264.3301
2016-07-20,263.20,267.15,259.65,262.00,2450700,260.4531
2016-07-19,260.25,264.00,258.65,262.70,1137700,261.149
2016-07-18,261.50,262.75,258.90,259.95,1575100,258.4152
2016-07-15,263.95,265.00,259.80,260.85,1179400,259.3099
2016-07-14,260.05,263.50,258.65,262.65,790600,261.0993
2016-07-13,260.80,262.95,258.80,260.60,1366000,259.0614
2016-07-12,260.10,263.85,259.20,260.80,1576200,259.2602
2016-07-11,261.70,261.75,259.55,260.65,1927700,259.1111
2016-07-08,257.10,261.00,256.85,258.10,1621600,256.5762
2016-07-07,255.00,259.00,253.00,256.95,2048700,255.433
2016-07-06,253.55,253.55,253.55,253.55,000,252.053
2016-07-05,252.60,255.95,251.75,253.55,2790700,252.053
2016-07-04,253.00,255.70,252.30,253.15,1619200,251.6554
2016-07-01,255.70,257.40,252.15,252.95,1201400,251.4566
2016-06-30,255.10,257.40,252.40,254.80,2354000,253.2956
2016-06-29,252.80,258.50,251.75,255.90,3730600,254.3891
2016-06-28,253.00,255.35,250.95,251.90,2876600,250.4128
2016-06-27,247.90,255.45,247.85,254.40,3601000,252.898
2016-06-24,244.50,249.25,237.80,248.10,2400600,246.6352
2016-06-23,242.80,250.90,242.75,249.90,10068600,248.4246
2016-06-22,240.45,243.80,239.50,242.85,5593900,241.4162
2016-06-21,242.35,242.85,238.10,240.20,2247700,238.7818
2016-06-20,234.75,242.70,234.40,242.00,3103000,240.5712
2016-06-17,235.10,237.20,234.00,235.90,978800,234.5072
2016-06-16,238.40,239.35,233.90,234.50,1589100,233.1155
2016-06-15,234.60,239.45,233.90,238.60,2439400,237.1913
2016-06-14,237.30,238.10,233.45,233.90,2441700,232.519
2016-06-13,232.00,238.80,231.50,237.35,7155800,235.9487
2016-06-10,231.00,235.90,230.90,235.30,4770100,233.9108
2016-06-09,239.05,239.90,231.55,231.90,1986200,230.5308
2016-06-08,235.35,239.00,233.20,238.20,2491700,236.7936
2016-06-07,230.00,235.00,228.65,234.25,2061500,232.867
2016-06-06,228.70,231.75,228.05,228.90,1874600,227.5486
2016-06-03,230.15,233.75,228.10,228.65,2388200,227.30
2016-06-02,231.35,231.35,229.00,229.75,1578500,228.3935
2016-06-01,229.00,232.80,228.55,231.35,5666500,229.9841
2016-05-31,228.50,232.85,227.25,228.40,4144600,227.0515
2016-05-30,232.00,232.60,228.10,229.15,1338200,227.7971
2016-05-27,226.00,232.00,226.00,230.25,5155300,228.8906
2016-05-26,223.00,229.50,223.00,224.60,8149800,223.274
2016-05-25,217.25,223.25,216.20,222.40,2306500,221.0869
2016-05-24,213.60,216.80,212.00,215.45,2405700,214.178
2016-05-23,210.30,213.45,208.85,212.60,1347100,211.3448
2016-05-20,213.85,214.90,207.55,208.85,1384600,207.6169
2016-05-19,217.00,217.00,212.15,213.65,1695400,212.3886
2016-05-18,216.20,217.25,214.35,216.65,816100,215.3709
