Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,467.75,479.90,460.00,475.65,8340300,475.65
2017-01-31,472.00,472.00,464.30,466.00,10629000,466.00
2017-01-30,472.00,476.60,470.85,471.90,4525700,471.90
2017-01-27,465.25,478.85,465.25,472.85,8821100,472.85
2017-01-26,463.55,463.55,463.55,463.55,000,463.55
2017-01-25,452.00,465.10,452.00,463.55,14328000,463.55
2017-01-24,447.80,452.55,445.30,451.25,7103900,451.25
2017-01-23,445.25,448.95,441.10,445.00,16502800,445.00
2017-01-20,458.00,461.40,448.00,450.75,30189700,450.75
2017-01-19,486.70,487.90,479.30,483.80,7688300,483.80
2017-01-18,487.15,491.70,483.25,488.50,8789300,488.50
2017-01-17,477.30,488.20,476.95,487.20,11331100,487.20
2017-01-16,472.50,480.50,468.30,477.25,7430300,477.25
2017-01-13,457.00,475.20,455.20,472.80,12693500,472.80
2017-01-12,454.20,461.40,452.60,455.20,5106300,455.20
2017-01-11,451.85,457.55,448.20,453.60,5678000,453.60
2017-01-10,455.50,456.05,424.40,447.35,9436100,447.35
2017-01-09,456.90,459.35,451.55,452.75,2690400,452.75
2017-01-06,459.70,461.80,454.05,455.20,4431200,455.20
2017-01-05,454.60,463.90,453.25,458.05,5829300,458.05
2017-01-04,455.00,460.00,451.95,453.10,3703800,453.10
2017-01-03,449.60,457.80,443.50,455.25,4621700,455.25
2017-01-02,451.40,452.00,441.25,447.75,3054300,447.75
2016-12-30,445.50,452.20,445.05,449.95,4616800,449.95
2016-12-29,442.00,445.90,437.70,444.25,6082500,444.25
2016-12-28,439.70,448.25,438.00,440.05,5072500,440.05
2016-12-27,431.10,438.90,431.10,437.65,4694600,437.65
2016-12-26,435.10,435.85,427.00,432.00,4494200,432.00
2016-12-23,448.00,449.35,436.00,438.10,9018200,438.10
2016-12-22,455.80,455.80,445.05,447.55,6540100,447.55
2016-12-21,463.55,465.80,455.10,457.70,4454400,457.70
2016-12-20,469.00,469.70,460.45,461.65,4836000,461.65
2016-12-19,469.50,472.75,466.45,467.60,3735200,467.60
2016-12-16,479.50,480.70,468.70,472.80,20477300,472.80
2016-12-15,459.10,479.40,459.10,478.10,18021600,478.10
2016-12-14,454.65,469.80,454.00,467.20,12775100,467.20
2016-12-13,445.80,454.45,442.30,452.95,8404800,452.95
2016-12-12,445.00,452.00,444.10,445.10,6849000,445.10
2016-12-09,451.70,458.00,445.55,456.40,7780400,456.40
2016-12-08,449.90,452.85,447.40,449.35,7629200,449.35
2016-12-07,457.85,457.85,441.25,447.10,7558300,447.10
2016-12-06,461.80,463.20,454.35,455.95,5465600,455.95
