Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,285.00,293.50,279.80,292.35,3546500,292.35
2017-01-31,288.00,289.90,282.40,283.75,2027900,283.75
2017-01-30,285.25,293.65,282.30,287.85,4193000,287.85
2017-01-27,282.40,287.30,281.55,284.00,2615900,284.00
2017-01-26,281.75,281.75,281.75,281.75,000,281.75
2017-01-25,279.00,282.30,276.05,281.75,2697500,281.75
2017-01-24,276.80,280.80,275.05,277.80,3166900,277.80
2017-01-23,272.65,276.45,269.10,274.65,3187700,274.65
2017-01-20,285.85,289.35,271.25,272.65,6681600,272.65
2017-01-19,288.10,291.95,284.45,286.80,2792300,286.80
2017-01-18,285.50,289.80,284.30,288.20,2893100,288.20
2017-01-17,279.45,285.45,279.40,284.25,3555700,284.25
2017-01-16,277.00,280.00,275.25,278.20,2385200,278.20
2017-01-13,276.00,278.35,272.60,276.10,2286100,276.10
2017-01-12,277.00,279.00,273.00,275.15,2489000,275.15
2017-01-11,271.00,279.90,270.40,276.30,4027100,276.30
2017-01-10,270.45,272.30,267.10,268.70,1761500,268.70
2017-01-09,271.30,272.55,268.40,270.00,1785300,270.00
2017-01-06,266.65,274.00,266.65,270.35,4113200,270.35
2017-01-05,265.65,268.80,265.50,266.35,2034100,266.35
2017-01-04,265.70,267.80,261.45,263.90,2358000,263.90
2017-01-03,261.70,266.85,258.40,264.80,3356800,264.80
2017-01-02,265.80,265.85,257.20,262.45,3481700,262.45
2016-12-30,261.90,267.40,259.75,262.90,2478600,262.90
2016-12-29,262.90,264.00,258.70,260.60,3094000,260.60
2016-12-28,267.55,271.00,263.00,263.85,2804900,263.85
2016-12-27,264.90,269.90,261.20,267.55,2419900,267.55
2016-12-26,277.90,277.90,262.20,263.70,2594400,263.70
2016-12-23,282.90,284.50,278.30,279.70,2656100,279.70
2016-12-22,288.00,288.00,280.65,282.95,3153800,282.95
2016-12-21,290.35,293.00,286.35,288.80,2689700,288.80
2016-12-20,297.70,300.50,290.00,291.60,2398700,291.60
2016-12-19,300.00,300.70,296.40,297.60,1380900,297.60
2016-12-16,304.85,305.50,299.10,300.20,1686000,300.20
2016-12-15,298.65,307.00,296.05,304.85,2841500,304.85
2016-12-14,305.95,306.60,300.10,301.45,2002900,301.45
