Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,277.75,278.00,274.29999,277.35001,1822800,277.35001
2017-01-31,280.20001,281.00,273.60001,276.00,1578400,276.00
2017-01-30,277.00,281.00,275.10001,280.20001,436900,280.20001
2017-01-27,283.00,284.00,276.10001,277.10001,998600,277.10001
2017-01-26,281.25,281.25,281.25,281.25,000,281.25
2017-01-25,277.54999,284.00,275.60001,281.25,1898200,281.25
2017-01-24,277.00,278.39999,275.25,277.29999,1147100,277.29999
2017-01-23,275.25,277.29999,274.20001,276.85001,552200,276.85001
2017-01-20,276.89999,278.00,274.00,275.89999,773700,275.89999
2017-01-19,279.00,280.10001,275.60001,276.89999,1091000,276.89999
2017-01-18,278.95001,282.00,277.95001,278.60001,679000,278.60001
2017-01-17,279.20001,282.95001,274.95001,277.89999,816800,277.89999
2017-01-16,281.10001,282.10001,277.04999,277.50,406300,277.50
2017-01-13,279.20001,282.60001,279.20001,281.64999,477400,281.64999
2017-01-12,278.50,284.00,278.00,278.85001,1149900,278.85001
2017-01-11,278.79999,280.00,277.00,278.50,1122700,278.50
2017-01-10,274.00,278.70001,274.00,277.64999,1585500,277.64999
2017-01-09,276.29999,278.39999,273.00,273.60001,739900,273.60001
2017-01-06,279.25,280.50,275.50,276.60001,782100,276.60001
2017-01-05,278.14999,279.95001,276.95001,278.85001,508900,278.85001
2017-01-04,275.10001,278.20001,272.89999,276.54999,2110300,276.54999
2017-01-03,277.50,278.00,274.39999,275.50,450100,275.50
2017-01-02,278.00,278.39999,274.39999,277.14999,265500,277.14999
2016-12-30,274.00,279.70001,273.54999,278.14999,469700,278.14999
2016-12-29,274.00,275.89999,272.54999,274.39999,1210800,274.39999
2016-12-28,271.00,275.60001,269.89999,274.10001,887100,274.10001
2016-12-27,260.29999,271.00,260.29999,270.50,482100,270.50
2016-12-26,260.75,264.10001,259.14999,259.95001,434000,259.95001
2016-12-23,265.00,266.20001,261.50,262.04999,752500,262.04999
2016-12-22,271.89999,272.20001,265.00,265.50,834900,265.50
2016-12-21,276.00,276.35001,270.89999,271.45001,643900,271.45001
2016-12-20,270.00,276.04999,268.35001,274.64999,821300,274.64999
2016-12-19,272.35001,272.35001,268.20001,268.95001,764900,268.95001
2016-12-16,271.35001,272.25,269.79999,271.14999,645300,271.14999
2016-12-15,274.00,274.79999,270.85001,271.35001,671600,271.35001
2016-12-14,281.25,282.39999,275.00,275.39999,573200,275.39999
2016-12-13,276.85001,282.20001,274.00,280.85001,2967000,280.85001
2016-12-12,279.64999,280.04999,275.75,276.25,244900,276.25
2016-12-09,280.00,281.60001,277.70001,279.45001,610100,279.45001
2016-12-08,280.75,282.14999,277.35001,279.00,918200,279.00
2016-12-07,278.39999,281.00,277.20001,279.54999,601700,279.54999
2016-12-06,285.00,285.00,279.04999,280.45001,1718000,280.45001
2016-12-05,284.29999,288.14999,284.25,286.45001,706200,286.45001
2016-12-02,282.54999,285.64999,282.00,283.95001,798300,283.95001
2016-12-01,285.04999,288.29999,283.60001,286.10001,1049800,286.10001
2016-11-30,278.64999,286.00,276.20001,283.54999,2231400,283.54999
2016-11-29,277.85001,279.89999,275.70001,277.95001,887600,277.95001
2016-11-28,275.00,279.29999,274.75,277.89999,622300,277.89999
2016-11-25,278.95001,278.95001,274.79999,275.39999,329600,275.39999
2016-11-24,281.89999,281.89999,275.10001,276.25,1863800,276.25
2016-11-23,278.39999,284.45001,275.14999,281.50,1358400,281.50
2016-11-22,277.29999,280.00,274.25,275.95001,935600,275.95001
2016-11-21,278.45001,280.64999,274.54999,276.04999,831900,276.04999
2016-11-18,276.50,280.14999,274.39999,278.45001,731600,278.45001
2016-11-17,275.04999,280.39999,275.04999,276.50,927800,276.50
2016-11-16,272.29999,280.20001,272.29999,275.04999,1380700,275.04999
2016-11-15,283.39999,283.45001,269.50,270.75,2138800,270.75
2016-11-14,280.45001,280.45001,280.45001,280.45001,000,280.45001
2016-11-11,296.00,296.95001,277.50,280.45001,1628700,280.45001
2016-11-10,300.00,305.00,296.39999,297.50,1356300,297.50
2016-11-09,285.00,299.39999,272.45001,298.45001,2575400,298.45001
2016-11-08,299.60001,299.79999,296.00,297.75,1398500,297.75
2016-11-07,300.60001,303.00,296.04999,297.20001,2768000,297.20001
2016-11-04,293.64999,301.20001,292.89999,298.50,2166100,298.50
2016-11-03,295.00,298.50,290.70001,293.14999,2018300,293.14999
2016-11-02,292.50,298.79999,288.35001,294.95001,2247100,293.70001
2016-11-01,292.00,294.00,290.60001,291.25,3185800,290.01568
2016-10-31,291.54999,291.54999,291.54999,291.54999,000,290.3144
2016-10-28,289.89999,292.60001,287.45001,291.54999,2385800,290.3144
2016-10-27,294.00,294.50,289.00,290.50,6347900,289.26886
2016-10-26,285.50,300.50,280.00,296.70001,8561500,295.44259
2016-10-25,283.85001,285.89999,282.54999,285.10001,617200,283.89175
2016-10-24,285.50,285.79999,282.14999,284.04999,430500,282.84618
2016-10-21,281.39999,285.79999,280.25,285.14999,1128500,283.94153
2016-10-20,277.60001,282.95001,276.85001,281.00,1067300,279.80912
2016-10-19,275.04999,280.35001,275.04999,277.20001,864500,276.02524
2016-10-18,271.14999,276.39999,271.14999,275.00,1155700,273.83455
2016-10-17,279.00,280.45001,271.00,271.89999,1415900,270.74768
2016-10-14,283.79999,285.00,279.25,279.89999,1110100,278.71378
2016-10-13,286.00,286.39999,282.85001,283.70001,1855100,282.49769
2016-10-12,286.35001,286.35001,286.35001,286.35001,000,285.13645
2016-10-11,286.35001,286.35001,286.35001,286.35001,000,285.13645
2016-10-10,285.04999,287.39999,284.75,286.35001,609800,285.13645
2016-10-07,286.54999,286.54999,283.54999,284.64999,1622200,283.44364
2016-10-06,284.29999,288.29999,284.00,286.54999,2764400,285.33559
2016-10-05,280.60001,283.89999,279.20001,283.04999,4777100,281.85042
2016-10-04,279.39999,281.14999,278.00,280.04999,1676500,278.86313
2016-10-03,272.10001,278.70001,271.20001,276.50,3794000,275.32819
