Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,3021.1001,3032.95,2944.1001,3001.20,266500,3001.20
2017-01-31,3024.00,3042.00,3012.20,3018.80,144600,3018.80
2017-01-30,2990.00,3043.8999,2984.05,3017.05,192600,3017.05
2017-01-27,2970.00,3011.55,2960.00,2994.55,192100,2994.55
2017-01-26,2996.30,2996.30,2996.30,2996.30,000,2996.30
2017-01-25,2975.00,3009.00,2955.6499,2996.30,327600,2996.30
2017-01-24,2940.25,2979.80,2931.75,2973.3501,199200,2973.3501
2017-01-23,2939.00,2959.95,2904.00,2923.6499,239300,2923.6499
2017-01-20,2940.00,2959.70,2920.00,2947.3999,240800,2947.3999
2017-01-19,2958.00,2974.75,2933.45,2940.25,281400,2940.25
2017-01-18,2976.6001,2982.20,2942.00,2948.05,431000,2948.05
2017-01-17,2988.05,3000.00,2970.75,2976.55,117600,2976.55
2017-01-16,2999.00,3007.00,2965.3501,2985.30,201600,2985.30
2017-01-13,2992.00,3004.00,2975.00,2979.75,197500,2979.75
2017-01-12,2977.00,3019.1001,2943.00,3008.50,434300,3008.50
2017-01-11,3055.05,3060.00,3021.95,3042.45,277000,3042.45
2017-01-10,3070.8501,3074.00,3035.1499,3041.8501,246000,3041.8501
2017-01-09,3154.00,3154.00,3051.8501,3060.20,280200,3060.20
2017-01-06,3148.80,3203.8501,3145.70,3159.1499,354000,3159.1499
2017-01-05,3088.6499,3145.00,3076.00,3136.25,243600,3136.25
2017-01-04,3096.25,3113.30,3075.05,3091.30,235800,3091.30
2017-01-03,3095.00,3114.95,3065.75,3072.3999,110900,3072.3999
2017-01-02,3066.00,3117.00,3066.00,3083.3999,95500,3083.3999
2016-12-30,3075.00,3075.00,3047.1001,3060.3999,177000,3060.3999
2016-12-29,3069.55,3081.95,3041.6001,3066.25,190700,3066.25
2016-12-28,3038.20,3111.75,3037.75,3069.55,147300,3069.55
2016-12-27,2988.00,3040.00,2983.00,3034.95,135500,3034.95
2016-12-26,2990.00,3028.00,2979.1001,2986.00,106600,2986.00
2016-12-23,3001.1001,3040.70,2980.1001,2998.55,143200,2998.55
2016-12-22,3023.3501,3040.00,3001.00,3012.3501,252900,3012.3501
2016-12-21,3052.00,3067.00,3020.20,3036.8501,234200,3036.8501
2016-12-20,3075.30,3088.00,3036.20,3046.50,250100,3046.50
2016-12-19,3110.00,3115.00,3055.1001,3068.8501,217800,3068.8501
2016-12-16,3117.00,3133.00,3101.45,3107.80,160000,3107.80
2016-12-15,3152.00,3159.80,3101.70,3107.50,122500,3107.50
2016-12-14,3164.00,3167.25,3139.95,3147.70,89600,3147.70
2016-12-13,3159.00,3180.00,3144.3999,3166.8501,79600,3166.8501
2016-12-12,3189.00,3189.00,3138.6499,3147.8999,111300,3147.8999
2016-12-09,3217.00,3217.00,3165.1001,3186.3999,116400,3186.3999
2016-12-08,3160.00,3241.55,3143.00,3211.70,262900,3211.70
2016-12-07,3185.00,3209.00,3170.55,3183.80,153400,3183.80
2016-12-06,3181.00,3211.95,3179.8501,3195.8999,115000,3195.8999
2016-12-05,3197.50,3197.50,3118.55,3168.1499,406200,3168.1499
2016-12-02,3184.00,3205.80,3151.80,3180.50,341000,3180.50
2016-12-01,3205.00,3247.25,3195.75,3238.75,212200,3238.75
2016-11-30,3205.00,3217.95,3178.3999,3196.8999,604600,3196.8999
2016-11-29,3173.8501,3202.80,3160.00,3188.25,242300,3188.25
2016-11-28,3170.50,3190.50,3161.00,3172.8999,204300,3172.8999
2016-11-25,3124.00,3203.6499,3076.00,3168.45,304100,3168.45
2016-11-24,3135.00,3148.55,3085.00,3111.70,296900,3111.70
2016-11-23,3100.00,3146.00,3095.05,3128.6001,309600,3128.6001
2016-11-22,3135.00,3152.75,3075.3501,3121.6499,213300,3121.6499
2016-11-21,3194.1001,3194.70,3111.05,3134.3999,243000,3134.3999
2016-11-18,3244.00,3258.00,3142.1001,3214.8501,218600,3214.8501
2016-11-17,3182.50,3225.00,3156.1001,3207.1499,232100,3207.1499
2016-11-16,3335.00,3354.95,3195.00,3210.95,336900,3210.95
2016-11-15,3256.50,3330.00,3256.50,3310.70,319000,3310.70
2016-11-14,3256.25,3256.25,3256.25,3256.25,000,3256.25
2016-11-11,3228.00,3300.8501,3228.00,3256.25,334700,3256.25
2016-11-10,3310.00,3333.3501,3265.05,3278.25,313500,3278.25
2016-11-09,3001.00,3341.00,2960.05,3282.55,663900,3282.55
2016-11-08,3111.00,3147.00,3099.00,3119.00,303000,3119.00
2016-11-07,3124.00,3154.95,3081.05,3106.6499,229100,3106.6499
2016-11-04,3168.00,3168.00,3066.80,3079.70,632000,3079.70
2016-11-03,3270.00,3290.00,3255.05,3262.3501,160800,3262.3501
2016-11-02,3311.00,3340.00,3250.00,3260.80,400000,3260.80
2016-11-01,3328.00,3361.75,3302.95,3326.6001,311500,3326.6001
2016-10-31,3363.45,3363.45,3363.45,3363.45,000,3363.45
2016-10-28,3320.00,3399.8999,3316.70,3363.45,549600,3363.45
2016-10-27,3260.00,3332.95,3242.20,3324.80,690800,3324.80
2016-10-26,3206.00,3254.8999,3153.1499,3242.30,492500,3242.30
2016-10-25,3108.8999,3209.00,3068.50,3200.6001,1112800,3200.6001
2016-10-24,3120.00,3132.25,3072.1001,3089.25,273700,3089.25
2016-10-21,3099.00,3143.00,3088.6001,3113.6001,313700,3113.6001
2016-10-20,3075.1001,3090.00,3055.6001,3078.80,100900,3078.80
2016-10-19,3046.00,3074.00,3046.00,3065.50,214300,3065.50
2016-10-18,3035.00,3054.00,3021.00,3045.3501,155200,3045.3501
2016-10-17,3030.00,3055.8501,3012.00,3028.95,200900,3028.95
2016-10-14,3062.95,3062.95,3021.6001,3031.25,412100,3031.25
2016-10-13,3070.80,3084.75,3027.6001,3050.1499,387900,3050.1499
2016-10-12,3078.6499,3078.6499,3078.6499,3078.6499,000,3078.6499
2016-10-11,3078.6499,3078.6499,3078.6499,3078.6499,000,3078.6499
2016-10-10,3054.00,3098.80,3039.00,3078.6499,317000,3078.6499
2016-10-07,3070.00,3082.00,3045.00,3054.30,180500,3054.30
2016-10-06,3115.00,3119.8501,3060.00,3077.1499,160500,3077.1499
2016-10-05,3148.00,3149.8999,3105.00,3123.1499,180900,3123.1499
2016-10-04,3179.00,3179.00,3142.3999,3148.3501,158500,3148.3501
2016-10-03,3114.6001,3185.00,3114.6001,3160.55,216100,3160.55
2016-09-30,3128.00,3129.00,3058.30,3107.3999,237100,3107.3999
2016-09-29,3200.00,3209.80,3111.1499,3135.3999,432200,3135.3999
2016-09-28,3199.20,3227.70,3187.6499,3200.3501,237100,3200.3501
2016-09-27,3195.00,3220.00,3180.00,3190.70,174700,3190.70
2016-09-26,3184.00,3220.00,3161.05,3199.6499,232100,3199.6499
2016-09-23,3169.00,3186.95,3150.3999,3182.20,155100,3182.20
2016-09-22,3152.00,3175.50,3142.1499,3149.30,287600,3149.30
2016-09-21,3162.00,3179.00,3135.00,3153.00,250000,3153.00
2016-09-20,3170.00,3200.00,3150.3501,3157.80,281100,3157.80
2016-09-19,3167.00,3174.8999,3141.00,3157.3501,132800,3157.3501
2016-09-16,3141.00,3178.1499,3135.00,3150.1499,208300,3150.1499
2016-09-15,3163.8999,3179.80,3132.05,3139.45,111800,3139.45
2016-09-14,3149.95,3170.00,3135.00,3157.80,140500,3157.80
2016-09-13,3137.6001,3137.6001,3137.6001,3137.6001,000,3137.6001
2016-09-12,3153.00,3185.00,3132.00,3137.6001,167400,3137.6001
2016-09-09,3172.50,3225.00,3170.6001,3193.30,199500,3193.30
2016-09-08,3153.1499,3198.00,3142.00,3188.45,200500,3188.45
2016-09-07,3136.00,3157.6499,3115.6499,3138.8501,152500,3138.8501
2016-09-06,3131.00,3145.00,3115.50,3133.05,132500,3133.05
2016-09-05,3123.05,3123.05,3123.05,3123.05,000,3123.05
2016-09-02,3097.1001,3139.00,3082.1001,3123.05,196200,3123.05
2016-09-01,3070.05,3108.8999,3066.30,3097.6499,272300,3097.6499
2016-08-31,3097.50,3130.1499,3079.80,3089.8501,478100,3089.8501
2016-08-30,3064.00,3100.00,3041.00,3090.75,215600,3090.75
2016-08-29,3055.00,3059.00,3017.50,3052.1499,145800,3052.1499
2016-08-26,3060.00,3071.05,3025.00,3040.3999,234500,3040.3999
2016-08-25,3051.00,3078.00,3041.00,3050.30,464700,3050.30
2016-08-24,3025.00,3044.00,3007.20,3039.80,253900,3039.80
2016-08-23,3023.00,3023.8501,2995.00,3009.20,217700,3009.20
2016-08-22,3018.00,3024.75,2983.00,3013.00,173300,3013.00
2016-08-19,3030.00,3035.8501,3003.00,3010.1499,173800,3010.1499
2016-08-18,3030.00,3043.00,3015.6499,3027.20,264700,3027.20
2016-08-17,2982.1001,3019.8999,2982.1001,3004.6499,352600,3004.6499
2016-08-16,3009.00,3017.95,2982.00,3006.8501,304600,3006.8501
2016-08-15,3011.1499,3011.1499,3011.1499,3011.1499,000,3011.1499
