Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,23198.00,24188.00,23050.00,24029.70,100000,24029.70
2017-01-31,23327.30,23396.00,22405.30,23028.40,56900,23028.40
2017-01-30,23590.00,23710.70,23100.50,23234.40,37500,23234.40
2017-01-27,23195.30,23650.70,23125.60,23482.70,75500,23482.70
2017-01-26,22990.90,22990.90,22990.90,22990.90,000,22990.90
2017-01-25,23040.00,23165.00,22885.80,22990.90,39300,22990.90
2017-01-24,22800.00,23049.50,22700.20,23000.70,27600,23000.70
2017-01-23,22705.00,22915.00,22550.00,22736.90,21500,22736.90
2017-01-20,22922.10,23070.00,22600.10,22789.20,26200,22789.20
2017-01-19,22450.00,23079.90,22185.70,22822.10,46900,22822.10
2017-01-18,22400.00,22701.00,22345.00,22449.90,35600,22449.90
2017-01-17,22325.00,22530.00,22175.10,22350.20,43800,22350.20
2017-01-16,22701.00,22701.30,22310.00,22343.30,38500,22343.30
2017-01-13,23000.00,23000.00,22679.20,22793.60,21800,22793.60
2017-01-12,23276.20,23341.80,22785.00,22826.50,38000,22826.50
2017-01-11,23055.50,23320.00,22935.00,23161.30,39800,23161.30
2017-01-10,23053.10,23217.70,22690.00,23005.00,33200,23005.00
2017-01-09,22899.00,23166.70,22850.00,22999.90,44300,22999.90
2017-01-06,22424.30,22851.40,22350.10,22717.80,49700,22717.80
2017-01-05,22315.40,22494.90,22218.10,22324.30,74000,22324.30
2017-01-04,22590.00,22615.70,22088.80,22196.50,28800,22196.50
2017-01-03,22555.00,22649.90,22321.60,22500.70,35200,22500.70
2017-01-02,22400.00,22848.00,22301.10,22523.90,67600,22523.90
2016-12-30,21600.00,21900.00,21600.00,21803.10,34100,21803.10
2016-12-29,20910.00,21584.70,20650.00,21491.20,61400,21491.20
2016-12-28,20759.00,21000.00,20730.00,20884.80,34900,20884.80
2016-12-27,20302.00,20830.00,20292.00,20701.10,34400,20701.10
2016-12-26,20800.00,20875.80,20228.00,20272.80,34000,20272.80
2016-12-23,21350.00,21437.80,20788.00,20921.90,40900,20921.90
2016-12-22,21300.00,21545.20,21150.00,21305.30,80400,21305.30
2016-12-21,21275.00,21626.60,21211.20,21304.70,30900,21304.70
2016-12-20,21750.00,21750.00,21100.00,21156.20,28600,21156.20
2016-12-19,21700.00,21700.00,21500.00,21600.80,21500,21600.80
2016-12-16,21570.00,21927.00,21500.00,21759.10,71500,21759.10
