Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,469.70,488.00,463.60,484.90,4194400,476.40
2017-01-31,481.00,481.50,465.00,468.15,7760100,459.9436
2017-01-30,483.00,485.00,478.95,483.85,2087000,475.3684
2017-01-27,480.00,493.80,480.00,482.05,5642100,473.60
2017-01-26,475.90,475.90,475.90,475.90,000,467.5578
2017-01-25,475.00,478.00,470.50,475.90,3645200,467.5578
2017-01-24,474.00,475.45,468.70,474.55,2340600,466.2314
2017-01-23,460.50,474.95,460.45,470.90,3434400,462.6454
2017-01-20,465.05,471.15,456.70,460.10,5481900,452.0347
2017-01-19,441.50,465.00,436.50,461.65,7212600,453.5576
2017-01-18,447.00,449.80,436.20,439.50,1871100,431.7958
2017-01-17,447.80,452.55,437.50,445.60,1759300,437.7889
2017-01-16,453.00,455.95,446.60,447.80,1545600,439.9503
2017-01-13,442.25,455.00,442.25,452.25,2880200,444.3223
2017-01-12,445.00,449.00,441.20,442.05,1856100,434.3011
2017-01-11,442.10,447.30,439.65,444.70,3490000,436.9047
2017-01-10,436.40,443.80,436.40,440.70,2223200,432.9748
2017-01-09,443.50,444.70,434.95,435.70,1370400,428.0625
2017-01-06,444.40,450.75,441.00,442.55,1562600,434.7924
2017-01-05,445.20,445.60,439.50,442.15,1760100,434.3994
2017-01-04,441.25,446.80,438.25,440.15,1678800,432.4344
2017-01-03,435.70,444.70,434.00,441.45,1654600,433.7117
2017-01-02,440.00,441.70,434.00,435.15,1990100,427.5221
2016-12-30,425.80,443.00,423.50,439.20,2795900,431.5011
2016-12-29,424.65,430.90,418.50,425.55,4461300,418.0904
2016-12-28,424.50,426.80,419.20,424.65,1290200,417.2061
2016-12-27,429.00,430.85,420.75,424.05,1807400,416.6167
2016-12-26,430.00,433.75,424.10,428.50,1262400,420.9887
2016-12-23,425.40,434.00,418.00,431.55,1379100,423.9852
2016-12-22,427.80,430.45,424.30,425.95,1222800,418.4834
2016-12-21,430.00,432.75,423.20,430.15,1257200,422.6097
2016-12-20,424.75,432.50,424.00,429.85,1732200,422.315
2016-12-19,414.00,428.30,413.00,425.85,2024900,418.3851
2016-12-16,418.00,423.50,410.65,415.10,1661000,407.8236
2016-12-15,417.15,424.55,414.00,416.95,933700,409.6411
2016-12-14,425.00,425.25,418.00,419.10,1121600,411.7534
2016-12-13,428.45,430.00,421.40,424.90,1487700,417.4518
2016-12-12,427.75,430.25,423.20,429.10,1158000,421.5782
2016-12-09,432.90,434.35,427.00,429.35,856800,421.8238
2016-12-08,431.90,436.70,428.55,429.90,1491300,422.3641
2016-12-07,432.00,435.20,424.10,427.55,1050900,420.0553
2016-12-06,430.00,436.20,429.10,431.40,1746200,423.8378
2016-12-05,431.75,434.45,425.85,427.45,1337100,419.9571
2016-12-02,436.00,443.40,431.25,432.90,1814100,425.3115
2016-12-01,426.00,445.40,425.95,439.65,3873100,431.9432
2016-11-30,431.80,432.80,422.50,424.75,2489500,417.3044
2016-11-29,417.50,429.15,416.85,428.00,3266400,420.4974
2016-11-28,416.20,423.80,413.50,417.50,2316400,410.1815
2016-11-25,406.90,419.70,403.65,417.20,2098400,409.8868
2016-11-24,408.95,412.65,401.00,402.55,1585700,395.4935
2016-11-23,418.70,420.05,408.50,412.35,1639700,405.1218
2016-11-22,423.00,428.70,408.00,414.55,1969900,407.2832
2016-11-21,430.00,433.50,420.00,420.85,1531100,413.4728
2016-11-18,435.15,441.55,425.05,427.00,1339300,419.515
2016-11-17,425.00,437.20,425.00,434.95,1045800,427.3256
2016-11-16,441.00,445.85,424.50,428.30,2479600,420.7922
2016-11-15,443.00,446.80,420.60,435.90,2458700,428.2589
2016-11-14,438.25,438.25,438.25,438.25,000,430.5678
2016-11-11,444.40,448.00,428.15,438.25,2415700,430.5678
2016-11-10,453.00,456.00,445.60,449.25,1787800,441.3749
2016-11-09,425.00,448.70,418.00,446.50,2205900,438.6731
2016-11-08,428.20,441.50,424.20,439.10,2069800,431.4029
2016-11-07,425.70,430.00,421.75,426.35,1134100,418.8764
2016-11-04,430.00,432.70,421.50,424.00,1377700,416.5675
2016-11-03,427.30,434.00,424.30,428.05,3021600,420.5465
2016-11-02,429.00,431.65,419.30,427.95,2190900,420.4483
2016-11-01,432.80,442.00,430.50,432.35,1754600,424.7712
2016-10-31,433.40,433.40,433.40,433.40,000,425.8028
2016-10-28,435.30,435.30,428.90,433.40,1669900,425.8028
2016-10-27,432.25,436.80,430.40,435.40,1577900,427.7677
2016-10-26,435.20,437.20,429.80,432.50,1593800,424.9185
2016-10-25,445.40,445.60,433.20,435.05,1624200,427.4238
2016-10-24,443.40,451.00,441.75,444.05,2544400,436.2661
2016-10-21,438.00,448.95,437.30,439.95,2548200,432.238
2016-10-20,440.00,443.65,433.60,439.35,2783100,431.6485
2016-10-19,431.00,445.00,429.75,436.05,3979500,428.4063
2016-10-18,428.90,434.70,426.60,429.00,1829700,421.4799
2016-10-17,434.90,437.90,424.70,427.85,2081200,420.3501
2016-10-14,415.45,432.75,413.30,430.40,4014000,422.8554
2016-10-13,415.30,425.00,410.05,413.70,2648400,406.4481
2016-10-12,419.10,419.10,419.10,419.10,000,411.7534
2016-10-11,419.10,419.10,419.10,419.10,000,411.7534
2016-10-10,416.00,424.30,412.75,419.10,2064700,411.7534
2016-10-07,416.10,419.00,412.40,414.05,2384000,406.792
2016-10-06,402.05,419.80,400.00,414.45,4720200,407.185
2016-10-05,404.80,407.80,399.10,400.40,2084600,393.3812
2016-10-04,386.00,412.00,386.00,402.45,7794400,395.3953
2016-10-03,372.95,387.70,371.55,385.85,2924100,379.0863
2016-09-30,365.05,376.40,364.10,374.65,1781200,368.0826
2016-09-29,378.80,384.00,357.75,363.45,4002400,357.079
2016-09-28,373.05,378.80,373.05,375.45,1963100,368.8686
2016-09-27,377.00,378.50,371.85,373.05,1951900,366.5107
2016-09-26,384.05,387.00,375.05,376.75,1980700,370.1458
2016-09-23,387.10,393.30,385.00,386.10,3040200,379.3319
2016-09-22,390.60,394.00,388.35,390.05,1631100,383.2127
2016-09-21,386.40,391.80,386.10,387.20,2989700,380.4126
2016-09-20,388.80,391.65,384.30,385.05,1426600,378.3003
2016-09-19,388.60,394.00,387.10,388.45,1272000,381.6407
2016-09-16,387.00,395.50,387.00,388.40,2824500,381.5916
2016-09-15,386.55,393.50,384.60,385.45,1322900,378.6933
2016-09-14,386.00,390.00,384.55,386.00,1453300,379.2337
2016-09-13,386.50,386.50,386.50,386.50,000,379.7249
2016-09-12,389.40,389.80,383.40,386.50,1729100,379.7249
2016-09-09,388.10,399.00,388.00,395.00,3875900,388.0759
2016-09-08,407.00,407.00,387.00,388.75,4044500,381.9355
2016-09-07,405.95,407.70,385.35,395.95,3433100,386.0618
