Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,805.00,819.50,778.65,813.95,4516600,813.95
2017-01-31,835.25,837.30,787.10,811.15,4822500,805.15
2017-01-30,831.10,842.40,828.10,840.25,949500,834.0348
2017-01-27,844.00,849.90,840.65,844.20,1349500,837.9556
2017-01-26,841.25,841.25,841.25,841.25,000,835.0274
2017-01-25,853.00,857.30,837.55,841.25,1927800,835.0274
2017-01-24,842.00,854.00,826.90,848.80,3695300,842.5215
2017-01-23,834.00,860.50,828.00,857.30,1984500,850.9586
2017-01-20,840.00,845.00,833.70,838.75,1109800,832.5459
2017-01-19,844.00,851.45,837.60,844.15,1056000,837.906
2017-01-18,837.50,845.55,836.25,844.05,1084300,837.8067
2017-01-17,827.00,843.50,827.00,837.75,2049600,831.5533
2017-01-16,847.90,847.90,826.80,830.55,1214600,824.4065
2017-01-13,850.20,857.95,838.60,850.25,2286900,843.9608
2017-01-12,830.05,849.90,830.05,847.70,1645200,841.4297
2017-01-11,839.50,844.50,826.75,833.25,1383000,827.0866
2017-01-10,842.70,844.00,834.50,837.85,1306900,831.6525
2017-01-09,806.50,840.15,805.95,838.30,1919700,832.0992
2017-01-06,835.00,840.30,806.75,814.40,2795700,808.376
2017-01-05,860.00,869.75,840.10,844.65,2078800,838.4023
2017-01-04,835.55,860.00,833.05,856.95,2116800,850.6113
2017-01-03,831.00,837.00,823.50,835.15,718500,828.9725
2017-01-02,823.00,834.00,822.30,828.50,421200,822.3717
2016-12-30,822.00,830.00,814.90,827.95,1025900,821.8258
2016-12-29,807.10,824.90,805.30,819.35,1780000,813.2893
2016-12-28,810.00,817.75,804.15,807.05,717200,801.0803
2016-12-27,788.90,809.90,787.00,804.85,505700,798.8966
2016-12-26,791.90,797.80,783.30,790.40,558500,784.5535
2016-12-23,816.00,816.00,791.00,793.75,1452600,787.8787
2016-12-22,818.30,822.90,806.00,817.10,791200,811.056
2016-12-21,835.00,836.80,816.30,820.80,1031800,814.7286
2016-12-20,825.00,834.15,824.35,830.15,1402200,824.0095
2016-12-19,820.60,826.90,815.00,824.70,1074000,818.5998
2016-12-16,835.80,835.80,815.20,820.60,1316400,814.5301
