Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,857.00,867.55,849.20,854.05,1750400,854.05
2017-01-31,856.00,862.90,851.25,855.40,1210100,855.40
2017-01-30,856.95,863.20,851.15,853.55,600700,853.55
2017-01-27,869.00,875.70,853.80,855.95,1272400,855.95
2017-01-26,869.20,869.20,869.20,869.20,000,869.20
2017-01-25,857.00,869.95,855.95,869.20,1360300,869.20
2017-01-24,856.00,862.40,842.10,860.35,1843700,860.35
2017-01-23,854.60,866.80,851.55,862.40,1615900,862.40
2017-01-20,855.20,872.00,854.50,860.45,1032000,860.45
2017-01-19,865.40,875.95,858.55,860.30,1350300,860.30
2017-01-18,840.70,867.75,837.60,864.95,2032900,864.95
2017-01-17,826.75,843.00,826.75,840.65,1081100,840.65
2017-01-16,828.00,831.35,822.45,827.50,472300,827.50
2017-01-13,830.00,835.60,825.10,827.95,567700,827.95
2017-01-12,843.70,843.70,824.70,825.90,985100,825.90
2017-01-11,832.10,845.00,830.10,841.50,867600,841.50
2017-01-10,833.80,835.95,829.00,830.55,337700,830.55
2017-01-09,838.00,838.55,828.35,831.05,323200,831.05
2017-01-06,832.90,874.80,831.70,833.75,545800,833.75
2017-01-05,824.90,835.75,822.00,833.15,800800,833.15
2017-01-04,829.85,837.40,816.55,821.60,1298600,821.60
2017-01-03,826.45,832.80,819.50,829.85,617500,829.85
2017-01-02,828.00,828.00,819.10,825.35,439700,825.35
2016-12-30,819.45,829.45,818.50,826.35,709300,826.35
2016-12-29,811.25,821.95,806.55,818.50,1295800,818.50
2016-12-28,808.00,821.20,806.00,810.30,811500,810.30
2016-12-27,801.90,808.50,796.60,806.75,552300,806.75
2016-12-26,788.00,804.90,785.05,801.80,686600,801.80
2016-12-23,786.50,799.40,781.95,789.50,893200,789.50
2016-12-22,796.00,802.50,783.85,787.05,1147400,787.05
2016-12-21,802.00,805.00,795.90,796.80,1024100,796.80
2016-12-20,808.75,812.75,798.45,801.40,1057300,801.40
2016-12-19,817.00,817.80,808.00,809.75,709500,809.75
2016-12-16,817.50,827.00,813.60,816.95,907200,816.95
2016-12-15,818.00,823.70,813.65,816.05,552100,816.05
2016-12-14,831.00,832.85,818.80,821.80,418700,821.80
2016-12-13,834.00,836.40,824.90,831.15,716700,831.15
2016-12-12,845.00,845.85,830.35,832.60,317000,832.60
2016-12-09,839.90,847.00,836.35,845.05,463800,845.05
2016-12-08,836.00,846.80,836.00,843.00,609800,843.00
2016-12-07,839.85,844.00,832.05,833.70,394100,833.70
2016-12-06,845.40,849.80,833.20,836.00,611300,836.00
2016-12-05,832.90,851.40,832.00,844.90,760100,844.90
2016-12-02,845.00,848.40,828.15,831.45,623700,831.45
2016-12-01,844.00,855.70,840.90,848.10,951900,848.10
2016-11-30,835.25,850.30,831.05,844.00,2734400,844.00
2016-11-29,837.00,841.00,830.25,832.70,1157800,832.70
2016-11-28,830.45,841.95,829.00,837.85,930000,837.85
2016-11-25,830.00,838.00,825.65,833.60,788400,833.60
2016-11-24,828.80,834.50,820.55,825.30,1588800,825.30
2016-11-23,820.35,834.00,815.10,831.70,1254000,831.70
2016-11-22,806.30,822.50,802.80,819.90,1226000,819.90
2016-11-21,802.85,805.80,792.65,797.75,993500,797.75
2016-11-18,813.00,814.80,795.55,802.85,1462200,802.85
2016-11-17,808.75,816.00,803.00,811.65,665600,811.65
