Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,777.50,782.95,739.15,777.05,4951800,777.05
2017-01-31,777.00,780.30,763.05,774.15,1400600,774.15
2017-01-30,786.00,790.00,771.10,775.60,2183400,775.60
2017-01-27,798.00,802.10,780.45,785.05,3709300,785.05
2017-01-26,795.20,795.20,795.20,795.20,000,795.20
2017-01-25,747.50,800.90,745.05,795.20,8772500,795.20
2017-01-24,737.50,745.00,734.10,743.35,1206600,743.35
2017-01-23,722.50,739.90,722.00,732.75,1457100,732.75
2017-01-20,732.75,733.15,718.00,723.05,1115000,723.05
2017-01-19,731.00,737.00,727.00,728.20,915300,728.20
2017-01-18,725.10,741.75,725.10,731.10,1125800,731.10
2017-01-17,732.80,735.00,724.30,726.00,681300,726.00
2017-01-16,726.10,736.20,723.00,731.20,741900,731.20
2017-01-13,731.50,735.60,724.40,727.75,1006000,727.75
2017-01-12,732.45,732.45,723.05,727.95,1106700,727.95
2017-01-11,715.00,733.80,708.00,728.40,3577500,728.40
2017-01-10,711.10,715.70,710.00,712.65,867000,712.65
2017-01-09,718.00,724.25,707.10,709.25,1540300,709.25
2017-01-06,698.00,718.50,693.35,716.85,3664600,716.85
2017-01-05,702.85,702.85,696.20,698.95,2180200,698.95
2017-01-04,713.00,713.00,692.50,695.60,4258600,695.60
2017-01-03,714.95,717.45,707.15,711.75,1381900,711.75
2017-01-02,720.00,721.00,708.25,714.80,1206500,714.80
2016-12-30,714.10,722.75,714.10,719.70,990300,719.70
2016-12-29,710.00,715.00,708.35,713.40,1303100,713.40
2016-12-28,712.00,718.90,709.10,713.05,1211900,713.05
2016-12-27,707.15,716.00,705.60,712.15,1337000,712.15
2016-12-26,711.90,714.00,704.25,711.05,485600,711.05
2016-12-23,705.10,714.00,704.10,711.75,1021600,711.75
2016-12-22,718.50,719.00,711.50,713.15,841000,713.15
2016-12-21,717.10,726.50,717.10,719.80,1074500,719.80
2016-12-20,721.00,723.00,716.90,718.35,916700,718.35
2016-12-19,719.00,721.95,715.40,719.65,1016900,719.65
2016-12-16,725.00,727.00,717.20,719.10,3781500,719.10
2016-12-15,718.80,734.60,712.00,724.75,1043300,724.75
2016-12-14,730.30,731.55,723.50,727.80,852500,727.80
2016-12-13,728.00,738.35,723.00,730.95,686000,730.95
2016-12-12,746.00,746.50,728.60,729.85,395400,729.85
2016-12-09,749.50,752.50,742.85,745.25,811000,745.25
2016-12-08,736.10,751.40,736.10,748.65,826600,748.65
2016-12-07,735.55,739.50,724.55,734.35,2132300,734.35
2016-12-06,731.00,737.70,730.25,734.00,496100,734.00
2016-12-05,726.00,731.90,723.00,729.80,927900,729.80
2016-12-02,740.00,744.00,720.00,723.55,2845000,723.55
2016-12-01,755.00,756.45,741.20,744.95,1151000,744.95
2016-11-30,746.00,760.00,740.00,755.45,1133700,755.45
2016-11-29,748.00,752.50,742.70,745.40,1010000,745.40
2016-11-28,744.40,753.00,736.20,750.15,2300800,750.15
2016-11-25,747.00,759.65,744.95,752.15,1567100,752.15
2016-11-24,760.00,760.00,736.85,742.10,5074900,742.10
2016-11-23,772.00,774.00,765.00,766.15,1377600,766.15
2016-11-22,765.20,772.50,761.55,769.60,1700500,769.60
2016-11-21,780.00,780.95,753.70,762.70,2051800,762.70
2016-11-18,780.95,785.00,773.35,779.25,1350300,779.25
2016-11-17,766.10,782.20,766.10,776.25,1588700,776.25
2016-11-16,796.85,796.85,766.90,770.55,4728400,770.55
2016-11-15,818.50,818.50,783.50,789.55,3019800,789.55
2016-11-14,815.60,815.60,815.60,815.60,000,815.60
2016-11-11,813.00,825.50,807.50,815.60,2315600,815.60
2016-11-10,828.20,833.45,813.10,819.25,2577100,819.25
2016-11-09,778.80,829.40,762.00,822.10,4270100,822.10
2016-11-08,802.80,815.30,794.00,811.80,966300,811.80
2016-11-07,807.60,807.95,800.00,801.85,996500,801.85
2016-11-04,809.80,812.00,790.10,799.65,1094300,799.65
2016-11-03,803.70,810.95,797.00,806.00,796400,806.00
2016-11-02,799.90,806.15,795.90,804.00,1268700,804.00
2016-11-01,819.90,819.90,804.00,805.55,1175500,805.55
2016-10-31,819.35,819.35,819.35,819.35,000,819.35
2016-10-28,806.55,822.00,800.00,819.35,1441900,819.35
2016-10-27,812.00,812.00,801.00,806.60,1094800,806.60
2016-10-26,783.00,821.00,781.10,811.50,4431700,811.50
2016-10-25,789.95,793.00,780.55,786.55,3267400,786.55
2016-10-24,781.90,789.55,777.50,787.35,939900,787.35
2016-10-21,770.05,783.15,768.95,781.50,1767400,781.50
2016-10-20,781.90,783.00,770.55,772.35,1661800,772.35
2016-10-19,779.00,785.00,772.45,774.00,1057800,774.00
2016-10-18,774.90,780.95,769.90,776.95,1627300,776.95
2016-10-17,782.90,782.90,764.00,769.25,1920000,769.25
2016-10-14,776.00,783.95,770.60,781.75,1033000,781.75
2016-10-13,778.00,778.15,765.30,772.35,1764000,772.35
2016-10-12,780.20,780.20,780.20,780.20,000,780.20
2016-10-11,780.20,780.20,780.20,780.20,000,780.20
2016-10-10,784.90,785.50,779.00,780.20,749600,780.20
2016-10-07,782.60,785.00,775.15,782.65,740400,782.65
2016-10-06,782.00,790.00,777.50,783.00,1362600,783.00
2016-10-05,794.80,794.80,780.50,782.15,1007500,782.15
2016-10-04,790.90,796.60,782.30,791.70,1152100,791.70
2016-10-03,788.95,792.70,783.15,788.05,982700,788.05
2016-09-30,772.00,782.30,766.10,777.00,2432000,777.00
2016-09-29,787.50,799.45,769.25,772.60,55058300,772.60
2016-09-28,783.00,791.80,778.50,782.30,1955200,782.30
2016-09-27,785.25,798.25,782.50,784.45,1427300,784.45
2016-09-26,792.15,794.25,784.35,787.75,1117700,787.75
2016-09-23,795.70,803.40,793.05,796.15,4190600,796.15
2016-09-22,799.00,801.90,791.00,795.15,2111400,795.15
2016-09-21,794.10,795.75,786.65,788.40,2317800,788.40
2016-09-20,802.00,803.30,791.50,792.75,1557000,792.75
2016-09-19,808.40,812.20,799.10,802.85,2257900,802.85
2016-09-16,810.90,819.95,804.70,806.60,4352400,806.60
2016-09-15,806.95,811.75,803.30,808.60,1182600,808.60
2016-09-14,813.90,820.00,803.30,805.95,2041100,805.95
2016-09-13,813.30,813.30,813.30,813.30,000,813.30
2016-09-12,811.95,815.00,805.00,813.30,741500,813.30
2016-09-09,819.70,825.40,808.60,818.85,1144900,818.85
2016-09-08,804.75,822.30,800.25,819.75,1724300,819.75
2016-09-07,818.85,823.00,802.45,804.10,1171000,804.10
2016-09-06,819.90,822.00,815.00,818.05,1027800,818.05
2016-09-05,813.60,813.60,813.60,813.60,000,813.60
2016-09-02,812.00,815.75,808.30,813.60,930700,813.60
2016-09-01,813.00,817.45,807.50,810.70,1161900,810.70
2016-08-31,795.00,814.95,793.15,806.90,3346400,806.90
2016-08-30,781.90,787.05,780.20,786.15,799000,786.15
2016-08-29,780.70,788.90,775.15,781.40,762000,781.40
2016-08-26,782.50,789.00,772.85,780.80,853900,780.80
2016-08-25,778.00,784.00,772.05,780.75,1477100,780.75
2016-08-24,779.00,781.90,772.10,777.00,1141700,777.00
2016-08-23,773.35,780.00,771.05,778.35,572900,778.35
2016-08-22,780.00,782.00,768.80,772.85,612700,772.85
2016-08-19,785.95,785.95,774.00,778.75,996100,778.75
2016-08-18,766.90,785.95,766.85,784.40,1765700,784.40
2016-08-17,771.00,771.60,761.10,765.65,814800,765.65
2016-08-16,766.50,775.90,762.15,772.80,1826100,772.80
2016-08-15,762.90,762.90,762.90,762.90,000,762.90
2016-08-12,771.90,771.90,760.00,762.90,1128100,762.90
2016-08-11,761.00,768.95,759.15,764.65,1006500,764.65
2016-08-10,769.70,769.70,758.65,761.25,1093900,761.25
2016-08-09,772.80,772.90,760.10,764.75,877500,764.75
2016-08-08,777.00,781.80,767.95,771.50,1659800,771.50
2016-08-05,759.80,776.00,756.60,774.35,2365300,774.35
2016-08-04,759.75,761.30,751.00,756.40,1249500,756.40
2016-08-03,759.00,764.00,754.80,756.20,1344300,756.20
2016-08-02,750.30,763.00,749.90,760.10,1495700,760.10
2016-08-01,766.00,769.45,748.00,753.15,1750600,753.15
2016-07-29,751.50,766.15,749.30,763.50,1457500,763.50
2016-07-28,756.00,760.05,745.65,750.35,3435500,750.35
2016-07-27,752.10,760.00,745.50,754.00,1076700,754.00
2016-07-26,765.50,766.00,746.35,751.70,1749000,751.70
2016-07-25,761.95,773.20,750.00,764.40,3393100,764.40
2016-07-22,762.00,764.90,753.25,760.05,1429600,760.05
2016-07-21,786.50,787.50,759.00,760.65,3849100,760.65
2016-07-20,778.00,784.35,778.00,782.20,1316900,782.20
2016-07-19,779.50,781.45,769.40,777.80,1608800,777.80
2016-07-18,775.00,782.85,769.35,776.80,2358900,776.80
2016-07-15,779.00,781.00,767.65,772.15,2059200,772.15
2016-07-14,779.00,784.00,774.40,780.20,1555800,780.20
2016-07-13,763.45,776.75,760.45,775.00,2018500,774.50
2016-07-12,765.00,766.75,757.95,763.65,1541500,763.1573
2016-07-11,750.95,763.00,747.10,760.55,1871600,760.0593
2016-07-08,745.10,747.70,737.60,743.45,604400,742.9704
2016-07-07,741.00,751.50,739.15,745.90,963200,745.4188
2016-07-06,740.40,740.40,740.40,740.40,000,739.9223
2016-07-05,744.45,747.40,738.40,740.40,1125300,739.9223
2016-07-04,755.50,756.25,741.20,743.95,1172600,743.47
2016-07-01,764.00,766.00,750.90,753.40,1565200,752.914
2016-06-30,759.90,766.55,754.25,763.35,3334300,762.8575
2016-06-29,745.00,754.00,742.65,752.80,1477200,752.3143
2016-06-28,738.40,747.80,737.70,743.30,761200,742.8204
2016-06-27,723.05,744.60,723.05,739.40,774800,738.923
2016-06-24,730.00,738.05,710.75,733.90,2002100,733.4265
2016-06-23,741.00,750.10,738.15,747.25,987600,746.7679
2016-06-22,747.00,750.95,733.40,739.35,2686900,738.873
2016-06-21,750.10,753.55,742.80,746.75,702800,746.2682
2016-06-20,741.80,756.80,740.00,751.95,894000,751.4649
2016-06-17,756.00,760.85,748.75,751.10,814200,750.6154
2016-06-16,765.90,765.90,746.35,754.45,1079000,753.9633
2016-06-15,757.00,768.10,753.00,765.55,887200,765.0561
2016-06-14,758.50,758.50,749.30,752.10,663500,751.6148
2016-06-13,746.00,757.45,745.00,755.90,1629800,755.4123
2016-06-10,751.10,757.50,743.35,750.70,1510600,750.2157
2016-06-09,761.90,761.90,750.10,752.75,1301300,752.2644
2016-06-08,768.10,770.00,755.00,759.35,1227600,758.8601
2016-06-07,770.00,778.85,760.85,772.05,1857700,771.5519
2016-06-06,770.10,775.00,762.55,765.25,1157600,764.7563
2016-06-03,750.00,772.45,743.10,769.30,2480700,768.8037
2016-06-02,749.00,750.00,736.40,746.30,1605900,745.8185
2016-06-01,749.75,749.75,740.40,745.35,918200,744.8691
2016-05-31,743.30,750.00,739.50,746.55,1167600,746.0683
2016-05-30,748.70,754.50,740.05,742.60,729000,742.1209
2016-05-27,734.40,744.65,733.10,742.55,1293500,742.0709
2016-05-26,716.10,739.00,714.35,730.20,1936100,729.7289
2016-05-25,704.00,715.50,700.50,712.75,2907800,712.2902
2016-05-24,702.90,702.95,692.50,698.40,2068900,697.9494
2016-05-23,706.00,710.65,701.00,703.15,1437900,702.6964
2016-05-20,709.90,710.70,700.25,702.15,600500,701.697
2016-05-19,708.25,710.50,701.65,706.05,964100,705.5945
2016-05-18,708.00,713.65,700.25,708.90,1147900,708.4427
2016-05-17,719.00,725.00,708.00,708.90,2471600,708.4427
2016-05-16,708.10,720.00,703.00,718.25,2438900,717.7866
2016-05-13,727.00,728.90,707.00,708.25,1429500,707.7931
2016-05-12,735.70,743.75,721.00,726.75,2785700,726.2811
2016-05-11,717.80,737.00,714.00,731.55,4117400,731.078
2016-05-10,717.75,730.00,711.40,722.85,1576800,722.3836
2016-05-09,703.00,716.00,702.90,713.85,1885300,713.3894
2016-05-06,706.05,710.00,696.10,702.95,667200,702.4965
2016-05-05,713.90,715.25,704.05,709.15,975900,708.6925
2016-05-04,706.05,720.60,704.80,712.65,2111300,712.1903
2016-05-03,719.00,722.95,699.00,707.45,1358100,706.9936
2016-05-02,714.20,724.75,712.10,718.20,1296500,717.7367
2016-04-29,699.00,719.35,695.50,717.15,1490100,716.6873
2016-04-28,715.00,718.40,698.50,701.45,1515200,700.9975
2016-04-27,702.40,719.80,701.00,712.50,1929100,712.0403
2016-04-26,679.95,705.00,678.85,700.85,2108400,700.3978
2016-04-25,671.10,682.85,671.10,680.45,1211600,680.011
2016-04-22,680.05,683.75,672.95,676.10,1975000,675.6638
2016-04-21,689.00,689.60,683.15,686.70,2137400,686.257
2016-04-20,687.40,692.00,680.20,687.15,1087600,686.7067
2016-04-19,683.35,683.35,683.35,683.35,000,682.9091
2016-04-18,691.10,691.10,657.70,683.35,1638200,682.9091
2016-04-15,692.35,692.35,692.35,692.35,000,691.9033
2016-04-14,692.35,692.35,692.35,692.35,000,691.9033
2016-04-13,687.00,699.95,683.20,692.35,2437700,691.9033
2016-04-12,669.85,682.05,669.75,677.35,1185600,676.913
2016-04-11,670.90,674.95,660.30,671.30,1990800,670.8669
2016-04-08,658.10,670.40,658.10,665.35,1007700,664.9207
2016-04-07,667.00,668.00,655.50,662.50,1619400,662.0726
2016-04-06,669.00,674.30,664.30,668.00,1683700,667.569
2016-04-05,684.00,684.75,664.75,668.75,2892500,668.3185
2016-04-04,681.50,689.30,674.25,687.30,2059900,686.8566
2016-04-01,682.00,686.65,677.15,679.90,1470300,679.4614
