Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1471.00,1484.80,1435.70,1474.10,894400,1474.10
2017-01-31,1510.00,1510.05,1466.35,1470.70,688000,1470.70
2017-01-30,1494.10,1508.85,1487.00,1499.70,452500,1499.70
2017-01-27,1518.00,1518.70,1488.15,1492.30,727800,1492.30
2017-01-26,1519.25,1519.25,1519.25,1519.25,000,1519.25
2017-01-25,1515.00,1529.80,1502.30,1519.25,846700,1519.25
2017-01-24,1477.50,1509.80,1477.50,1504.70,432700,1504.70
2017-01-23,1460.00,1496.00,1450.05,1483.25,812700,1483.25
2017-01-20,1483.00,1488.45,1455.25,1465.35,573900,1465.35
2017-01-19,1493.00,1505.00,1470.55,1479.15,444300,1479.15
2017-01-18,1492.10,1510.75,1490.50,1496.90,451200,1496.90
2017-01-17,1503.00,1509.15,1490.05,1494.00,427500,1494.00
2017-01-16,1498.95,1513.00,1493.05,1509.15,372800,1509.15
2017-01-13,1500.00,1507.95,1487.10,1496.25,397500,1496.25
2017-01-12,1495.00,1521.00,1485.10,1491.00,859200,1491.00
2017-01-11,1492.50,1525.50,1492.50,1521.75,747000,1521.75
2017-01-10,1490.00,1501.90,1483.40,1488.50,633600,1488.50
2017-01-09,1511.00,1520.10,1486.50,1489.50,443200,1489.50
2017-01-06,1513.25,1527.80,1506.00,1512.05,442800,1512.05
2017-01-05,1499.90,1518.00,1486.70,1512.10,663300,1512.10
2017-01-04,1505.90,1510.75,1485.00,1489.00,650600,1489.00
2017-01-03,1514.95,1514.95,1492.10,1505.50,575700,1505.50
2017-01-02,1488.00,1510.00,1476.20,1505.75,432500,1505.75
2016-12-30,1470.00,1489.95,1470.00,1486.95,427600,1486.95
2016-12-29,1464.00,1470.30,1451.05,1467.85,487700,1467.85
2016-12-28,1450.00,1468.60,1447.30,1454.35,582800,1454.35
2016-12-27,1404.95,1452.50,1404.00,1446.10,841400,1446.10
2016-12-26,1445.00,1463.35,1397.30,1402.95,877900,1402.95
2016-12-23,1447.95,1460.00,1440.00,1445.80,488600,1445.80
2016-12-22,1465.10,1469.80,1442.00,1447.40,542800,1447.40
2016-12-21,1459.00,1476.00,1445.00,1465.15,595600,1465.15
2016-12-20,1485.00,1487.65,1446.00,1449.25,685300,1449.25
2016-12-19,1467.40,1494.00,1460.80,1474.30,569300,1474.30
2016-12-16,1484.00,1485.00,1461.00,1469.40,625000,1469.40
2016-12-15,1479.00,1489.95,1470.00,1480.40,626600,1480.40
2016-12-14,1497.95,1503.95,1482.00,1486.95,363000,1486.95
2016-12-13,1507.00,1508.80,1476.25,1494.30,660200,1494.30
2016-12-12,1506.00,1524.75,1498.55,1503.50,396000,1503.50
2016-12-09,1526.00,1527.95,1501.50,1511.55,444900,1511.55
2016-12-08,1516.40,1527.80,1505.00,1524.50,516100,1524.50
2016-12-07,1535.00,1545.00,1501.25,1504.75,777300,1504.75
2016-12-06,1546.90,1548.00,1523.05,1527.10,656900,1527.10
2016-12-05,1500.00,1540.00,1495.20,1535.85,1257600,1535.85
2016-12-02,1512.70,1514.00,1485.75,1489.10,602900,1489.10
2016-12-01,1505.00,1538.00,1499.00,1512.70,1016300,1512.70
2016-11-30,1530.00,1547.10,1497.40,1504.85,1689400,1504.85
2016-11-29,1499.90,1523.00,1486.45,1518.15,768000,1518.15
2016-11-28,1515.00,1517.90,1484.00,1509.20,811100,1509.20
2016-11-25,1470.00,1518.80,1445.60,1508.65,1241100,1508.65
2016-11-24,1470.00,1494.25,1452.40,1458.50,1575800,1458.50
2016-11-23,1424.00,1496.00,1415.05,1486.90,2141200,1486.90
2016-11-22,1408.00,1417.00,1402.55,1412.85,949500,1412.85
2016-11-21,1434.25,1435.00,1390.85,1398.25,921200,1398.25
2016-11-18,1414.00,1425.50,1408.10,1417.75,649500,1417.75
2016-11-17,1406.60,1438.00,1402.65,1413.50,907900,1413.50
2016-11-16,1450.70,1454.85,1390.65,1407.05,1493400,1407.05
2016-11-15,1460.00,1466.15,1428.65,1440.95,1037900,1440.95
2016-11-14,1458.80,1458.80,1458.80,1458.80,000,1458.80
2016-11-11,1496.85,1496.85,1452.35,1458.80,834700,1458.80
