Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,208.60,208.60,204.75,205.80,4120500,205.80
2017-01-31,205.50,209.25,204.45,207.20,4271400,207.20
2017-01-30,204.30,206.45,202.50,205.70,3281000,205.70
2017-01-27,203.50,206.95,202.55,204.55,6241100,204.55
2017-01-26,203.10,203.10,203.10,203.10,000,203.10
2017-01-25,203.65,204.05,201.90,203.10,5814200,203.10
2017-01-24,201.00,204.70,200.60,203.35,4006500,203.35
2017-01-23,199.85,202.20,199.05,200.20,4125400,200.20
2017-01-20,202.60,202.60,197.45,199.40,7305200,199.40
2017-01-19,198.90,203.70,197.25,201.80,4925800,201.80
2017-01-18,198.00,199.65,197.05,198.45,11941700,198.45
2017-01-17,199.40,200.65,195.10,197.75,5733900,197.75
2017-01-16,197.00,201.05,196.75,199.40,4766300,199.40
2017-01-13,199.90,199.90,196.05,197.15,13462300,197.15
2017-01-12,190.00,199.75,190.00,198.00,15107500,198.00
2017-01-11,187.30,191.40,185.90,189.80,12282500,189.80
2017-01-10,186.60,188.30,185.05,186.55,2602600,186.55
2017-01-09,189.20,189.20,185.10,186.55,1663000,186.55
2017-01-06,191.15,192.85,188.25,188.80,3542800,188.80
2017-01-05,187.05,191.25,186.10,190.85,3578800,190.85
2017-01-04,188.05,188.85,186.05,186.75,4404000,186.75
2017-01-03,184.90,188.50,184.50,188.05,4398500,188.05
2017-01-02,183.50,185.20,182.60,183.65,1019000,183.65
2016-12-30,180.40,185.10,180.25,183.50,2740800,183.50
2016-12-29,179.20,181.45,179.00,180.05,8289600,180.05
2016-12-28,181.05,183.00,179.10,180.00,2103700,180.00
2016-12-27,178.70,181.70,176.55,181.05,2562700,181.05
2016-12-26,182.35,182.35,178.25,178.80,3337200,178.80
2016-12-23,181.60,182.70,179.00,182.30,2703300,182.30
2016-12-22,183.00,183.45,181.10,181.75,1492600,181.75
2016-12-21,182.05,183.70,181.75,183.25,2969600,183.25
2016-12-20,184.00,184.45,181.75,181.95,3238300,181.95
2016-12-19,184.15,185.00,182.85,184.10,2040700,184.10
2016-12-16,183.55,186.25,181.70,183.80,14639300,183.80
2016-12-15,181.00,185.75,180.50,183.35,2955300,183.35
2016-12-14,185.00,185.40,181.45,181.95,4113300,181.95
2016-12-13,185.50,186.55,182.45,185.25,2484800,185.25
2016-12-12,184.25,185.45,183.40,184.75,2075200,184.75
2016-12-09,186.00,186.00,183.75,184.45,1941200,184.45
2016-12-08,183.95,185.95,181.55,185.65,3044900,185.65
2016-12-07,184.70,185.50,182.00,182.45,2399100,182.45
2016-12-06,185.40,186.60,182.50,182.90,2559500,182.90
2016-12-05,183.70,186.05,180.85,185.10,6909000,185.10
2016-12-02,185.00,185.90,182.50,183.80,5442900,183.80
2016-12-01,192.50,192.50,183.50,184.30,6219000,184.30
2016-11-30,190.80,192.70,187.60,191.90,4188800,191.90
2016-11-29,190.65,191.55,188.50,189.45,6978800,189.45
2016-11-28,187.00,194.80,186.95,190.50,5804100,190.50
2016-11-25,186.10,190.20,185.00,188.65,8278200,188.65
2016-11-24,181.95,186.90,180.30,185.05,10352400,185.05
2016-11-23,184.20,187.55,179.60,181.65,7664400,181.65
2016-11-22,185.90,186.70,180.75,183.75,6736500,183.75
2016-11-21,193.65,193.65,184.30,185.05,6855300,185.05
2016-11-18,193.75,195.30,191.40,191.95,6844800,191.95
2016-11-17,187.95,196.40,184.20,192.90,5283100,192.90
2016-11-16,186.55,190.50,183.35,188.50,5739200,188.50
2016-11-15,182.55,186.60,182.55,184.95,6462700,184.95
2016-11-14,183.10,183.10,183.10,183.10,000,183.10
2016-11-11,186.00,188.50,181.50,183.10,4933400,183.10
2016-11-10,185.00,190.00,181.15,188.45,10151300,188.45
2016-11-09,170.00,181.30,166.95,180.20,7451500,180.20
2016-11-08,174.25,177.60,173.90,177.00,1837000,177.00
2016-11-07,174.30,174.60,173.55,174.00,4309200,174.00
2016-11-04,175.00,175.85,171.25,173.55,2351100,173.55
2016-11-03,175.15,175.70,174.30,174.95,2294200,174.95
2016-11-02,175.95,176.50,174.45,175.10,2733500,175.10
2016-11-01,175.25,179.55,174.15,176.90,2968500,176.90
2016-10-31,175.90,175.90,175.90,175.90,000,175.90
2016-10-28,175.80,177.00,172.05,175.90,2408800,175.90
2016-10-27,175.10,176.85,173.70,175.50,3947300,175.50
2016-10-26,178.00,178.30,174.80,175.50,2209100,175.50
2016-10-25,176.55,178.95,175.60,178.35,1689100,178.35
2016-10-24,176.60,178.35,175.15,176.10,1656700,176.10
2016-10-21,179.35,179.35,176.10,176.95,5822000,176.95
2016-10-20,179.35,180.25,177.85,178.65,2271300,178.65
2016-10-19,176.95,180.75,176.10,178.55,5074100,178.55
2016-10-18,176.75,177.80,175.00,176.40,4100500,176.40
2016-10-17,176.30,177.65,174.80,176.05,2550800,176.05
2016-10-14,175.80,178.50,172.55,177.70,2789300,177.70
2016-10-13,177.55,177.85,173.70,175.00,8379700,175.00
2016-10-12,178.05,178.05,178.05,178.05,000,178.05
2016-10-11,178.05,178.05,178.05,178.05,000,178.05
