Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,385.60,396.35,381.50,394.25,989100,394.25
2017-01-31,387.00,388.40,383.80,386.20,581600,386.20
2017-01-30,392.25,392.25,386.35,388.55,690500,388.55
2017-01-27,394.00,397.90,389.85,392.35,844500,392.35
2017-01-26,392.80,392.80,392.80,392.80,000,392.80
2017-01-25,403.00,405.00,391.60,392.80,2272400,392.80
2017-01-24,381.50,402.75,378.45,400.40,6170000,400.40
2017-01-23,381.40,384.00,378.60,381.00,735000,381.00
2017-01-20,389.50,392.25,378.15,379.10,716500,379.10
2017-01-19,385.45,391.70,379.45,389.95,1368700,389.95
2017-01-18,377.10,384.90,377.10,383.15,638400,383.15
2017-01-17,383.00,385.20,375.50,378.35,789100,378.35
2017-01-16,382.10,384.25,379.65,382.75,564300,382.75
2017-01-13,389.25,390.75,382.30,383.95,450100,383.95
2017-01-12,381.90,390.00,377.70,388.40,1098700,388.40
2017-01-11,383.70,386.35,379.30,380.50,943900,380.50
2017-01-10,385.00,388.75,382.30,383.45,950900,383.45
2017-01-09,387.05,389.25,382.85,384.75,671400,384.75
2017-01-06,385.90,392.85,384.75,387.10,1746400,387.10
2017-01-05,376.95,389.70,376.25,384.80,2392600,384.80
2017-01-04,377.00,377.80,372.00,375.25,818900,375.25
2017-01-03,356.65,384.15,356.65,377.40,2784600,377.40
2017-01-02,357.20,369.40,355.40,367.65,1099900,367.65
2016-12-30,363.90,367.00,358.45,360.50,917300,360.50
2016-12-29,353.40,367.90,347.80,364.65,2550600,364.65
2016-12-28,349.10,356.70,346.40,353.45,1529400,353.45
2016-12-27,362.05,364.00,349.35,351.65,1510200,351.65
2016-12-26,370.65,370.65,365.25,366.60,381100,366.60
2016-12-23,366.00,371.80,364.20,370.65,683500,370.65
2016-12-22,369.00,374.75,365.00,367.15,1246700,367.15
2016-12-21,370.00,373.05,369.95,371.10,797100,371.10
2016-12-20,376.60,377.50,369.65,370.55,664100,370.55
2016-12-19,378.40,381.00,374.40,376.10,550900,376.10
2016-12-16,379.00,383.60,374.05,378.20,603500,378.20
2016-12-15,376.20,381.00,373.65,379.40,615400,379.40
2016-12-14,382.40,387.40,378.40,380.15,2958000,380.15
2016-12-13,368.15,384.35,367.00,382.20,3136100,382.20
2016-12-12,363.35,368.80,357.55,367.55,738500,367.55
2016-12-09,365.80,366.85,360.50,363.45,592700,363.45
2016-12-08,363.95,364.80,361.10,363.30,787100,363.30
2016-12-07,356.00,363.05,354.10,360.60,916900,360.60
2016-12-06,359.00,360.75,354.00,354.95,747900,354.95
2016-12-05,358.00,362.55,352.80,356.85,910000,356.85
