Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,295.55,306.00,293.65,304.60,3158500,304.60
2017-01-31,303.50,305.95,292.50,293.35,3859700,293.35
2017-01-30,303.75,305.85,301.35,302.60,2241400,302.60
2017-01-27,305.00,308.95,302.10,303.95,3386600,303.95
2017-01-26,304.65,304.65,304.65,304.65,000,304.65
2017-01-25,295.25,306.10,294.45,304.65,4477000,304.65
2017-01-24,287.00,294.95,286.00,293.15,1945200,293.15
2017-01-23,285.15,289.35,284.15,286.25,2261700,286.25
2017-01-20,295.00,296.35,283.40,284.15,3279600,284.15
2017-01-19,292.10,297.50,292.00,295.35,2290500,295.35
2017-01-18,296.75,300.55,290.05,291.90,2613200,291.90
2017-01-17,302.45,302.45,292.60,294.85,2231200,294.85
2017-01-16,294.70,302.95,292.40,300.65,3614700,300.65
2017-01-13,294.50,295.15,290.55,294.05,1699900,294.05
2017-01-12,297.00,298.85,289.55,292.75,3420700,292.75
2017-01-11,295.90,299.75,294.50,295.65,3323800,295.65
2017-01-10,285.10,294.70,285.00,293.90,5779700,293.90
2017-01-09,286.35,289.00,282.60,284.70,2877200,284.70
2017-01-06,288.80,291.80,285.00,286.05,5651400,286.05
2017-01-05,276.30,288.90,275.50,287.50,5997000,287.50
2017-01-04,275.15,276.90,272.20,274.90,2741200,274.90
2017-01-03,275.20,277.70,272.05,273.95,2064800,273.95
2017-01-02,269.80,276.90,267.00,273.80,2622100,273.80
2016-12-30,265.00,271.15,264.40,268.45,3744100,268.45
2016-12-29,268.00,268.10,262.65,264.65,4400300,264.65
2016-12-28,267.90,271.85,267.10,268.50,3862400,268.50
2016-12-27,261.00,269.65,258.20,266.95,5604700,266.95
2016-12-26,262.00,262.00,257.25,260.00,2684600,260.00
2016-12-23,262.15,268.50,259.05,262.90,3336800,262.90
2016-12-22,271.75,273.50,261.10,263.55,2771600,263.55
2016-12-21,274.40,275.65,270.10,274.20,2500100,274.20
2016-12-20,276.10,276.10,268.45,272.40,1657300,272.40
2016-12-19,280.90,281.00,275.25,276.45,2479200,276.45
2016-12-16,286.00,286.00,279.20,280.25,3752200,280.25
2016-12-15,290.10,291.65,283.05,284.25,4952500,284.25
2016-12-14,287.45,288.35,282.10,283.85,2454500,283.85
2016-12-13,281.40,287.20,278.45,286.00,2703300,286.00
2016-12-12,285.00,285.45,279.30,281.35,1781300,281.35
2016-12-09,289.45,291.30,284.25,285.65,3130500,285.65
2016-12-08,279.90,288.30,279.90,287.10,4172900,287.10
2016-12-07,272.50,282.90,272.30,277.40,3768900,277.40
2016-12-06,274.00,274.50,270.10,271.90,3001700,271.90
2016-12-05,266.50,273.40,263.70,268.70,4802000,268.70
2016-12-02,273.70,274.40,264.25,265.90,2854200,265.90
2016-12-01,280.00,280.35,271.70,275.10,2039100,275.10
2016-11-30,278.90,281.90,276.25,277.90,4877000,277.90
2016-11-29,275.00,280.00,267.60,276.90,4965600,276.90
2016-11-28,266.95,274.50,264.15,272.75,5898300,272.75
2016-11-25,260.00,266.00,255.75,265.05,3644300,265.05
2016-11-24,263.70,263.70,256.15,257.70,4052500,257.70
2016-11-23,263.95,264.70,258.10,263.70,4191100,263.70
2016-11-22,257.00,263.20,257.00,260.80,4773200,260.80
2016-11-21,262.05,265.00,245.15,255.70,4715900,255.70
2016-11-18,265.00,266.30,256.80,261.90,2821100,261.90
2016-11-17,267.00,269.40,262.20,264.60,2448500,264.60
2016-11-16,271.00,275.00,260.90,265.25,3586000,265.25
2016-11-15,280.70,280.70,258.00,266.65,4007100,266.65
2016-11-14,276.75,276.75,276.75,276.75,000,276.75
2016-11-11,288.00,293.00,272.85,276.75,4430400,276.75
2016-11-10,289.00,297.15,286.00,294.55,4488600,294.55
2016-11-09,268.00,283.00,260.90,282.40,7432700,282.40
2016-11-08,295.70,295.70,286.50,289.85,4446500,289.85
2016-11-07,298.30,298.30,290.80,293.50,4697000,293.50
2016-11-04,289.00,291.85,284.25,287.70,6331900,287.70
2016-11-03,299.70,301.90,287.10,288.20,5762000,288.20
2016-11-02,300.00,304.15,297.15,299.90,4954900,299.90
2016-11-01,307.00,308.00,301.45,305.15,5197200,305.15
2016-10-31,307.00,307.00,307.00,307.00,000,307.00
2016-10-28,306.00,309.70,302.35,307.00,6175700,307.00
2016-10-27,305.45,308.80,299.35,305.00,6866800,305.00
2016-10-26,312.95,316.50,299.35,305.10,11974600,305.10
2016-10-25,286.65,317.00,280.55,312.80,20614000,312.80
2016-10-24,285.40,294.90,283.00,285.65,7433000,285.65
2016-10-21,286.00,288.25,281.65,285.75,4031800,285.75
2016-10-20,272.85,286.40,268.70,285.25,7256200,285.25
2016-10-19,269.00,273.40,262.80,271.60,4745500,271.60
2016-10-18,251.55,269.00,251.55,267.00,4975600,267.00
2016-10-17,253.00,255.05,249.40,250.75,1657100,250.75
2016-10-14,252.00,256.20,251.25,254.35,2690300,254.35
2016-10-13,263.30,263.30,248.10,251.10,5621900,251.10
2016-10-12,264.00,264.00,264.00,264.00,000,264.00
2016-10-11,264.00,264.00,264.00,264.00,000,264.00
2016-10-10,268.95,268.95,263.15,264.00,4104000,264.00
2016-10-07,267.40,268.20,262.35,266.85,3109700,266.85
2016-10-06,267.00,267.60,261.20,264.90,3683300,264.90
2016-10-05,269.95,269.95,264.00,265.45,2157400,265.45
2016-10-04,267.60,269.80,263.10,268.70,3083100,268.70
2016-10-03,260.70,267.50,259.30,264.50,3775900,264.50
2016-09-30,258.00,259.80,249.10,256.75,8404900,256.75
2016-09-29,273.30,273.70,254.45,256.80,7369800,256.80
2016-09-28,266.70,272.00,262.10,271.00,4450500,271.00
2016-09-27,273.00,273.70,263.80,264.70,3623900,264.70
2016-09-26,274.50,274.50,268.80,270.40,2817100,270.40
2016-09-23,276.75,277.70,273.30,275.10,3066600,275.10
2016-09-22,273.20,277.40,271.55,275.35,4923600,275.35
2016-09-21,275.00,276.00,268.00,269.70,5226900,269.70
2016-09-20,276.95,276.95,267.85,270.10,4084500,270.10
2016-09-19,272.00,277.70,269.65,276.15,3949500,276.15
2016-09-16,268.00,275.00,267.70,271.15,5596200,271.15
2016-09-15,266.05,269.75,262.00,267.40,2969700,267.40
2016-09-14,261.00,268.00,256.85,264.70,5183700,264.70
2016-09-13,260.00,260.00,260.00,260.00,000,260.00
2016-09-12,268.90,268.90,256.40,260.00,4089100,260.00
2016-09-09,274.95,275.50,270.10,272.20,2254000,272.20
2016-09-08,272.00,276.50,272.00,275.60,3257300,275.60
2016-09-07,270.00,274.10,266.30,272.25,3506300,272.25
2016-09-06,270.00,271.75,267.60,270.60,4376600,270.60
2016-09-05,268.20,268.20,268.20,268.20,000,268.20
2016-09-02,259.00,269.40,256.80,268.20,6194100,268.20
2016-09-01,263.15,263.90,257.80,258.70,3552200,258.70
2016-08-31,263.25,266.45,261.70,262.95,5047200,262.95
