Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,970.70,1001.05,970.20,991.00,1241400,991.00
2017-01-31,972.80,977.50,964.00,970.70,603900,970.70
2017-01-30,969.00,979.00,963.00,973.20,572100,973.20
2017-01-27,979.80,989.60,964.10,969.60,1043600,969.60
2017-01-26,977.70,977.70,977.70,977.70,000,977.70
2017-01-25,979.00,981.35,971.15,977.70,1128200,977.70
2017-01-24,963.50,979.85,953.60,973.45,1748100,973.45
2017-01-23,967.40,973.55,957.75,964.70,1206100,964.70
2017-01-20,960.30,977.85,954.15,967.20,2190300,967.20
2017-01-19,965.10,965.75,954.40,962.70,770700,962.70
2017-01-18,960.15,972.45,960.00,963.35,1216800,963.35
2017-01-17,940.00,963.50,937.00,960.15,1742400,960.15
2017-01-16,930.00,941.55,926.90,935.25,889700,935.25
2017-01-13,935.55,938.20,927.15,933.25,770300,933.25
2017-01-12,935.00,939.35,926.30,933.55,955700,933.55
2017-01-11,926.50,940.60,921.50,934.65,1236400,934.65
2017-01-10,915.00,929.00,907.95,923.60,1735000,923.60
2017-01-09,932.00,933.05,906.00,910.10,1356100,910.10
2017-01-06,918.00,932.50,914.60,929.50,1717500,929.50
2017-01-05,913.90,919.90,901.50,916.50,2569300,916.50
2017-01-04,901.90,914.50,897.00,906.60,1408200,906.60
2017-01-03,910.00,910.00,893.45,896.60,2068200,896.60
2017-01-02,893.00,907.50,882.25,904.65,1031400,904.65
2016-12-30,884.95,895.00,882.50,891.05,935400,891.05
2016-12-29,879.00,887.00,877.00,880.05,1203200,880.05
2016-12-28,876.00,890.00,869.55,875.70,1093700,875.70
2016-12-27,871.90,877.80,863.40,876.00,846800,876.00
2016-12-26,874.00,885.00,860.00,867.80,1313400,867.80
2016-12-23,875.00,885.00,861.50,874.00,1325600,874.00
2016-12-22,865.55,874.30,851.10,870.30,1472300,870.30
2016-12-21,867.20,876.50,861.55,865.55,1321900,865.55
2016-12-20,875.50,882.00,860.05,865.70,1811300,865.70
2016-12-19,901.40,902.00,875.10,878.40,1905600,878.40
2016-12-16,911.95,911.95,898.00,899.90,1041600,899.90
2016-12-15,909.65,916.75,901.70,903.00,958900,903.00
2016-12-14,908.00,923.20,908.00,914.35,944600,914.35
2016-12-13,915.00,915.00,895.00,906.75,1572200,906.75
2016-12-12,931.30,937.15,909.00,910.25,1531800,910.25
2016-12-09,942.00,953.95,935.05,941.75,1600100,941.75
2016-12-08,941.95,947.55,929.80,936.15,1024500,936.15
2016-12-07,936.00,948.50,928.20,932.20,809100,932.20
2016-12-06,940.90,944.70,924.15,934.15,889100,934.15
2016-12-05,910.00,941.60,895.25,937.65,1881900,937.65
2016-12-02,936.00,936.50,902.00,904.85,2139900,904.85
2016-12-01,967.00,968.00,936.00,939.15,1517100,939.15
2016-11-30,967.95,974.90,952.55,969.90,4460900,969.90
2016-11-29,940.40,967.00,935.20,958.55,2507500,958.55
2016-11-28,950.00,968.65,933.50,936.10,1335500,936.10
2016-11-25,943.90,953.30,938.80,945.45,1460400,945.45
2016-11-24,938.25,965.75,932.05,936.10,2908100,936.10
2016-11-23,915.90,946.40,912.00,942.05,2371800,942.05
2016-11-22,908.00,912.95,895.00,907.75,1678200,907.75
2016-11-21,918.00,918.00,891.75,900.00,1639400,900.00
2016-11-18,925.90,928.95,899.85,908.20,1335200,908.20
2016-11-17,946.00,947.15,917.00,918.45,1310100,918.45
2016-11-16,917.50,945.90,903.00,935.70,3032000,935.70
2016-11-15,970.95,970.95,869.00,890.80,5354000,890.80
2016-11-14,962.30,962.30,962.30,962.30,000,962.30
2016-11-11,1000.00,1004.95,958.00,962.30,2665900,962.30
2016-11-10,1056.00,1060.00,1008.00,1011.30,1719000,1011.30
2016-11-09,999.00,1058.10,952.00,1050.95,2005800,1050.95
2016-11-08,1044.75,1060.00,1040.00,1057.00,780300,1057.00
2016-11-07,1048.00,1059.60,1027.90,1037.35,829700,1037.35
2016-11-04,1039.20,1054.80,1035.10,1043.05,976200,1043.05
2016-11-03,1058.30,1075.00,1033.45,1037.15,1075100,1037.15
2016-11-02,1067.90,1083.35,1055.35,1062.75,872500,1062.75
2016-11-01,1077.10,1088.20,1072.00,1076.70,983100,1076.70
2016-10-31,1069.90,1069.90,1069.90,1069.90,000,1069.90
2016-10-28,1081.00,1096.95,1066.05,1069.90,1732900,1069.90
2016-10-27,1133.00,1134.40,1081.00,1085.45,1764500,1085.45
2016-10-26,1153.30,1157.00,1113.90,1123.10,1323200,1123.10
2016-10-25,1131.95,1158.30,1117.10,1139.75,3014800,1139.75
