Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,675.00,678.15,660.00,667.95,2425900,667.95
2017-01-31,698.70,700.10,679.00,681.80,999300,681.80
2017-01-30,713.90,714.35,693.00,695.20,1294200,695.20
2017-01-27,709.80,717.55,706.75,713.60,995400,713.60
2017-01-26,705.65,705.65,705.65,705.65,000,705.65
2017-01-25,712.00,715.00,704.25,705.65,909800,705.65
2017-01-24,690.00,713.70,686.30,711.60,1483700,711.60
2017-01-23,695.00,697.00,681.30,692.20,985200,692.20
2017-01-20,711.30,719.25,695.00,698.05,1137000,698.05
2017-01-19,730.80,730.80,712.55,714.65,1149000,714.65
2017-01-18,706.10,730.00,705.40,724.90,1518000,724.90
2017-01-17,700.70,714.25,700.70,707.40,943200,707.40
2017-01-16,703.95,709.50,697.60,703.30,674300,703.30
2017-01-13,694.70,713.75,694.00,704.45,1765100,704.45
2017-01-12,690.00,699.45,678.40,694.80,1985100,694.80
2017-01-11,702.90,706.95,700.15,704.90,1006400,704.90
2017-01-10,699.00,703.80,690.20,699.65,1514700,699.65
2017-01-09,721.00,722.30,692.00,694.55,3556300,694.55
2017-01-06,686.50,710.00,683.00,692.40,1493400,692.40
2017-01-05,670.00,688.70,666.40,686.25,2070800,686.25
2017-01-04,675.00,678.95,664.20,666.95,1108900,666.95
2017-01-03,674.00,675.00,666.35,672.20,794600,672.20
2017-01-02,673.00,678.80,661.10,675.50,1185500,675.50
2016-12-30,655.00,672.50,652.00,669.30,2681200,669.30
2016-12-29,654.30,655.50,644.60,647.20,1232700,647.20
2016-12-28,648.95,660.00,641.35,651.75,1720100,651.75
2016-12-27,627.00,649.00,623.00,644.70,1851100,644.70
2016-12-26,646.00,646.00,621.90,624.50,2718600,624.50
2016-12-23,663.90,667.15,645.35,647.55,2210700,647.55
2016-12-22,667.95,670.50,655.65,659.00,1497000,659.00
2016-12-21,682.00,687.30,663.55,665.10,2930300,665.10
2016-12-20,686.10,694.70,669.35,672.65,5039000,672.65
2016-12-19,690.00,712.45,689.35,698.70,2793900,698.70
2016-12-16,683.85,699.50,664.10,690.65,4824200,690.65
2016-12-15,693.55,708.00,689.05,694.25,1875200,694.25
2016-12-14,718.60,722.00,696.00,702.45,3022100,702.45
2016-12-13,717.00,721.45,715.00,718.60,915700,718.60
2016-12-12,722.90,723.90,712.05,715.30,751900,715.30
2016-12-09,723.00,727.90,720.00,723.90,1182200,723.90
2016-12-08,727.10,727.80,715.50,720.50,1652700,720.50
2016-12-07,735.00,735.00,719.00,722.65,901200,722.65
2016-12-06,730.00,735.35,726.45,731.25,743100,731.25
2016-12-05,723.50,730.60,714.95,724.20,1033300,724.20
2016-12-02,743.45,743.45,717.00,719.55,1457700,719.55
2016-12-01,744.90,756.90,738.40,743.15,1251300,743.15
2016-11-30,745.20,749.50,736.80,740.80,1432400,740.80
2016-11-29,740.70,746.90,730.20,740.55,1504900,740.55
2016-11-28,740.50,748.10,732.85,736.85,1677900,736.85
2016-11-25,716.90,744.40,712.40,740.65,1948100,740.65
2016-11-24,728.90,729.95,705.10,709.65,2520700,709.65
2016-11-23,725.95,732.15,716.70,730.20,1674600,728.95
2016-11-22,719.90,729.50,704.10,720.15,2012900,718.9172
2016-11-21,725.00,727.25,710.00,712.20,1648200,710.9808
2016-11-18,715.05,727.80,712.55,722.40,1791800,721.1634
2016-11-17,710.10,722.90,704.00,710.10,2864100,708.8844
2016-11-16,746.00,757.00,698.00,714.25,4153600,713.0273
2016-11-15,783.50,791.00,728.90,733.90,3077800,732.6437
2016-11-14,772.20,772.20,772.20,772.20,000,770.8781
2016-11-11,785.00,795.30,767.05,772.20,1891400,770.8781
2016-11-10,772.25,804.40,772.25,792.20,2889100,790.8439
2016-11-09,700.15,771.60,680.10,759.65,4672600,758.3496
2016-11-08,773.00,774.00,749.40,755.65,1288000,754.3565
2016-11-07,756.00,776.50,750.70,767.30,3012300,765.9865
2016-11-04,761.10,769.00,707.50,728.10,5798500,726.8536
2016-11-03,793.00,795.00,767.00,769.30,1491100,767.9831
2016-11-02,803.00,803.00,786.60,789.50,1080500,788.1485
2016-11-01,824.80,826.75,806.80,809.10,1108100,807.7149
