Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,166.40,173.70,165.30,173.05,17004000,173.05
2017-01-31,167.30,168.80,164.35,165.15,4227800,165.15
2017-01-30,167.10,170.30,165.10,167.75,7176900,167.75
2017-01-27,163.00,169.20,162.30,167.70,12394600,167.70
2017-01-26,161.95,161.95,161.95,161.95,000,161.95
2017-01-25,156.50,164.00,155.25,161.95,12590100,161.95
2017-01-24,155.30,156.50,154.50,156.05,4541700,156.05
2017-01-23,153.50,157.00,153.15,154.20,4199500,154.20
2017-01-20,159.40,160.70,153.55,154.35,4787700,154.35
2017-01-19,158.50,160.80,157.85,160.10,4541200,160.10
2017-01-18,159.40,160.85,157.85,158.85,4034200,158.85
2017-01-17,160.40,162.00,158.35,159.05,5138400,159.05
2017-01-16,157.75,160.00,157.00,159.60,5216500,159.60
2017-01-13,159.15,159.70,156.70,157.75,4635200,157.75
2017-01-12,160.00,160.65,158.00,158.70,5849300,158.70
2017-01-11,153.90,160.20,153.25,159.60,11384200,159.60
2017-01-10,153.50,154.15,151.25,152.95,5444600,152.95
2017-01-09,154.00,155.00,152.40,152.80,6078600,152.80
2017-01-06,151.00,154.60,151.00,153.25,8101300,153.25
2017-01-05,149.55,151.60,149.30,150.95,7807800,150.95
2017-01-04,148.00,149.85,147.40,148.00,4993800,148.00
2017-01-03,149.10,150.20,146.70,148.60,10690900,148.60
2017-01-02,153.95,154.60,147.60,148.90,9644400,148.90
2016-12-30,151.60,153.90,151.30,153.40,6069600,153.40
2016-12-29,150.00,152.40,148.35,151.50,19597700,151.50
2016-12-28,150.25,152.65,149.10,150.15,6665700,150.15
2016-12-27,147.70,151.00,146.10,149.90,4460800,149.90
2016-12-26,152.00,152.35,146.00,147.35,6151900,147.35
2016-12-23,155.00,156.35,152.60,153.00,3909500,153.00
2016-12-22,157.00,157.00,153.30,155.05,4094100,155.05
2016-12-21,156.70,158.20,154.55,157.50,4650400,157.50
