Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,137.70,140.70,135.70,139.90,8356700,139.90
2017-01-31,138.00,141.10,136.20,137.05,6697700,137.05
2017-01-30,139.00,139.80,137.45,138.00,4207900,138.00
2017-01-27,132.75,142.20,132.75,139.60,16301200,139.60
2017-01-26,131.90,131.90,131.90,131.90,000,131.90
2017-01-25,132.45,133.00,129.85,131.90,7756000,131.90
2017-01-24,128.70,132.40,128.70,131.75,7770900,131.75
2017-01-23,128.90,129.65,127.00,128.30,4019400,128.30
2017-01-20,131.80,132.95,128.50,129.05,3274100,129.05
2017-01-19,133.40,134.55,131.65,132.40,6071900,132.40
2017-01-18,128.55,134.10,128.25,132.40,11996200,132.40
2017-01-17,129.00,129.50,127.60,127.95,1995400,127.95
2017-01-16,129.00,129.15,127.75,128.50,2887400,128.50
2017-01-13,130.15,130.35,128.00,128.75,6075500,128.75
2017-01-12,129.00,129.00,126.15,127.95,5194700,127.95
2017-01-11,128.70,129.80,128.20,128.65,4304500,128.65
2017-01-10,127.70,129.20,127.70,128.25,2587900,128.25
2017-01-09,127.00,128.45,126.00,127.60,2883200,127.60
2017-01-06,127.40,128.50,126.10,126.40,4221100,126.40
2017-01-05,127.25,128.55,126.15,127.95,4042900,127.95
2017-01-04,125.05,127.95,125.05,127.10,6436100,127.10
2017-01-03,122.75,126.25,122.60,124.80,5189500,124.80
2017-01-02,121.20,123.30,120.70,122.50,3236600,122.50
2016-12-30,119.50,121.60,119.00,121.20,5018400,121.20
2016-12-29,119.05,120.40,118.40,118.75,4847400,118.75
2016-12-28,119.90,121.20,119.10,119.35,2472700,119.35
2016-12-27,117.30,119.70,116.10,119.25,2516600,119.25
2016-12-26,119.00,119.15,116.55,117.20,2984100,117.20
2016-12-23,118.85,120.75,118.55,119.00,3385100,119.00
2016-12-22,120.50,120.90,118.20,119.00,3640200,119.00
2016-12-21,121.20,122.20,120.55,120.80,2447400,120.80
2016-12-20,122.00,122.50,120.65,120.90,2626100,120.90
2016-12-19,123.00,123.40,121.05,121.55,4867900,121.55
2016-12-16,125.70,125.85,122.50,122.80,5392000,122.80
2016-12-15,124.00,126.70,123.90,125.35,2916900,125.35
2016-12-14,125.75,126.65,124.80,125.25,2874500,125.25
2016-12-13,127.05,127.20,125.15,125.45,3394900,125.45
2016-12-12,128.70,128.70,125.95,127.50,3537900,127.50
2016-12-09,129.65,130.45,128.50,129.05,3909000,129.05
2016-12-08,128.60,130.00,128.20,128.70,3469400,128.70
2016-12-07,128.90,129.20,126.40,127.60,3802900,127.60
2016-12-06,128.80,129.50,127.50,128.10,3655900,128.10
2016-12-05,126.70,129.35,125.60,128.65,3681000,128.65
2016-12-02,128.50,129.20,126.25,126.90,3167900,126.90
2016-12-01,130.60,131.20,128.15,128.75,2867200,128.75
2016-11-30,129.95,131.45,129.10,130.15,5803700,130.15
2016-11-29,128.75,130.45,127.95,129.20,4680700,129.20
2016-11-28,126.80,129.00,126.20,127.60,4133300,127.60
2016-11-25,125.10,127.50,124.70,126.75,4798900,126.75
2016-11-24,124.90,125.75,123.45,124.40,8297500,124.40
2016-11-23,125.20,126.35,122.50,125.10,8953000,125.10
2016-11-22,130.30,130.35,123.60,124.40,12473900,124.40
2016-11-21,135.00,135.25,126.35,128.90,8053100,128.90
2016-11-18,133.90,135.50,132.75,134.30,3343400,134.30
2016-11-17,134.00,135.55,131.60,133.30,8308100,133.30
2016-11-16,136.00,136.60,131.05,131.75,4980400,131.75
2016-11-15,136.15,138.15,132.10,133.75,6199000,133.75
2016-11-14,136.15,136.15,136.15,136.15,000,136.15
2016-11-11,139.75,142.80,134.50,136.15,11877500,136.15
2016-11-10,141.80,143.80,139.10,140.65,9071200,140.65
2016-11-09,131.00,140.45,128.90,138.60,15564800,138.60
2016-11-08,141.00,146.80,140.55,143.20,23554000,143.20
2016-11-07,136.30,140.45,136.20,139.05,6543900,139.05
2016-11-04,138.35,138.90,133.65,134.70,5276600,134.70
2016-11-03,137.20,140.10,137.00,137.65,3726400,137.65
2016-11-02,139.75,139.90,136.65,137.00,5166800,137.00
2016-11-01,140.00,143.50,138.60,141.55,7068500,141.55
2016-10-31,138.95,138.95,138.95,138.95,000,138.95
2016-10-28,138.50,139.95,138.10,138.95,4573100,138.95
2016-10-27,139.00,139.20,136.15,138.25,4595400,138.25
2016-10-26,139.75,141.80,138.75,139.30,4901500,139.30
2016-10-25,141.40,142.30,138.65,140.10,3889500,140.10
2016-10-24,142.40,142.70,141.00,141.25,3387500,141.25
2016-10-21,142.00,142.65,140.35,141.70,4626600,141.70
2016-10-20,142.25,142.90,140.75,142.15,5790900,142.15
2016-10-19,139.10,143.65,139.10,141.25,18683600,141.25
2016-10-18,132.80,137.00,132.40,136.20,7898200,136.20
2016-10-17,133.20,133.90,129.80,131.70,5174100,131.70
2016-10-14,133.00,133.95,132.15,132.90,4047100,132.90
2016-10-13,134.80,134.90,131.35,132.45,6260300,132.45
2016-10-12,134.95,134.95,134.95,134.95,000,134.95
2016-10-11,134.95,134.95,134.95,134.95,000,134.95
2016-10-10,136.20,136.60,134.25,134.95,3726300,134.95
2016-10-07,136.20,136.40,134.50,135.20,5229800,135.20
2016-10-06,137.65,140.00,135.80,136.10,9079700,136.10
2016-10-05,138.30,138.90,135.70,136.80,5046300,136.80
2016-10-04,139.00,139.10,136.70,138.00,4890000,138.00
2016-10-03,136.60,137.90,135.30,137.20,5971200,137.20
2016-09-30,133.00,135.35,131.90,134.70,7896300,134.70
2016-09-29,144.80,145.30,129.60,133.00,17649200,133.00
2016-09-28,141.95,144.70,140.80,143.90,5655800,143.90
2016-09-27,143.70,143.95,140.50,141.15,5911200,141.15
2016-09-26,146.00,146.75,142.30,142.80,8015700,142.80
2016-09-23,147.50,150.70,145.60,146.15,13606500,146.15
2016-09-22,146.50,147.80,145.60,147.10,6075600,147.10
2016-09-21,148.00,148.00,143.55,144.35,7132300,144.35
2016-09-20,147.50,148.30,145.25,145.75,10277700,145.75
2016-09-19,146.90,149.40,146.55,147.15,6780400,147.15
2016-09-16,152.95,153.30,145.60,146.65,13625500,146.65
2016-09-15,147.40,151.45,145.35,150.30,16496900,150.30
2016-09-14,148.00,149.45,144.70,146.35,10833500,146.35
2016-09-13,147.50,147.50,147.50,147.50,000,147.10
2016-09-12,150.50,153.85,146.25,147.50,11723500,147.10
2016-09-09,155.05,156.90,153.00,154.05,12309700,153.233
2016-09-08,158.45,162.90,153.55,156.75,40482000,155.919
2016-09-07,137.95,161.55,134.05,159.65,79287100,158.804
2016-09-06,137.00,138.90,137.00,138.15,3761700,137.418
2016-09-05,136.10,136.10,136.10,136.10,000,135.378
2016-09-02,134.25,136.90,134.25,136.10,4706300,135.378
2016-09-01,139.10,139.95,134.60,135.45,5065900,134.732
2016-08-31,140.10,141.65,138.15,139.10,4848600,138.363
2016-08-30,140.50,142.25,139.15,140.55,4345100,139.805
2016-08-29,139.25,141.50,137.65,140.95,3901000,140.203
2016-08-26,140.00,142.20,138.00,139.45,4432700,138.711
2016-08-25,136.50,142.00,136.30,140.90,13325300,140.153
2016-08-24,136.45,138.10,135.35,136.80,5087900,136.075
2016-08-23,143.45,143.45,135.90,136.90,9763800,136.174
2016-08-22,141.90,146.40,141.10,143.90,8409700,143.137
2016-08-19,140.95,142.80,140.15,142.00,3788500,141.247
2016-08-18,138.65,141.20,138.00,140.35,3891700,139.606
2016-08-17,137.00,138.70,136.50,137.60,3085200,136.871
2016-08-16,139.00,139.00,135.50,137.10,4901400,136.373
2016-08-15,138.50,138.50,138.50,138.50,000,137.766
2016-08-12,137.90,139.60,137.35,138.50,4733400,137.766
2016-08-11,138.10,139.00,134.20,136.40,6098500,135.677
2016-08-10,140.00,141.05,136.00,136.35,5793500,135.627
2016-08-09,140.15,142.15,138.70,139.70,6219100,138.959
2016-08-08,139.00,141.85,136.20,140.15,7585700,139.407
2016-08-05,135.05,138.60,135.00,137.70,5236300,136.97
2016-08-04,135.00,135.75,132.20,133.90,6300000,133.19
2016-08-03,138.50,138.85,132.50,133.30,6156000,132.593
2016-08-02,142.40,144.00,138.00,138.65,5629500,137.915
2016-08-01,146.00,149.00,141.25,141.85,9346000,141.098
2016-07-29,148.00,148.90,145.00,145.90,7471800,145.127
2016-07-28,149.95,151.20,147.60,149.45,7224500,148.658
2016-07-27,146.95,151.25,146.20,149.00,10411900,148.21
2016-07-26,148.95,148.95,146.15,147.30,6725400,146.519
2016-07-25,141.00,148.30,140.60,147.30,7323400,146.519
2016-07-22,141.00,142.30,139.50,140.90,5511600,140.153
2016-07-21,144.75,144.75,138.60,140.10,4721800,139.357
2016-07-20,139.85,144.50,139.60,144.15,6133400,143.386
2016-07-19,139.35,140.75,137.05,139.80,6190400,139.059
2016-07-18,142.70,144.90,138.70,139.80,6239800,139.059
2016-07-15,144.90,145.55,142.00,142.60,4424100,141.844
2016-07-14,141.60,145.25,140.20,144.75,6654800,143.983
2016-07-13,139.00,147.00,139.00,141.50,13073600,140.75
2016-07-12,139.50,140.15,136.35,138.30,6351500,137.567
2016-07-11,140.00,141.80,138.50,139.20,3167100,138.462
2016-07-08,140.00,141.70,135.65,137.90,6827800,137.169
2016-07-07,139.75,141.95,139.35,139.95,6505300,139.208
2016-07-06,139.40,139.40,139.40,139.40,000,138.661
2016-07-05,138.45,141.45,136.85,139.40,12272000,138.661
2016-07-04,133.25,138.70,133.25,138.05,12509600,137.318
2016-07-01,129.00,132.95,128.90,132.05,11649100,131.35
2016-06-30,123.85,128.20,123.20,127.70,13145400,127.023
2016-06-29,120.30,122.80,119.70,121.95,5925000,121.303
2016-06-28,119.65,120.50,118.60,118.95,4449100,118.319
2016-06-27,118.35,120.55,118.25,119.05,3703400,118.419
2016-06-24,119.80,119.80,113.75,118.25,8559300,117.623
2016-06-23,122.30,123.30,119.35,122.45,4271600,121.801
2016-06-22,122.10,123.20,121.50,122.65,3381800,122.00
2016-06-21,124.60,124.95,121.50,121.85,6206400,121.204
2016-06-20,120.90,124.75,120.30,123.90,4947800,123.243
2016-06-17,122.80,123.90,121.40,122.35,5327500,121.701
