Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,22319.00,24000.00,22181.30,23299.70,25900,23299.70
2017-01-31,22254.90,22544.70,22070.00,22130.80,14200,22130.80
2017-01-30,22370.00,22445.00,22101.10,22254.90,9000,22254.90
2017-01-27,22861.00,22950.00,22234.00,22459.70,25200,22459.70
2017-01-26,22877.90,22877.90,22877.90,22877.90,000,22877.90
2017-01-25,21848.00,23035.00,21666.20,22877.90,47900,22877.90
2017-01-24,21390.00,21915.00,21300.60,21819.40,11500,21819.40
2017-01-23,21301.90,21393.00,21022.40,21266.20,17100,21266.20
2017-01-20,21250.00,21607.00,20990.00,21301.90,19700,21301.90
2017-01-19,21100.90,21345.00,21012.00,21245.00,6700,21245.00
2017-01-18,21349.90,21589.70,21001.10,21100.90,12900,21100.90
2017-01-17,21510.00,21765.10,21199.90,21416.20,7800,21416.20
2017-01-16,21300.00,22100.00,21001.00,21478.80,12300,21478.80
2017-01-13,21499.00,21499.00,21144.70,21270.00,5400,21270.00
2017-01-12,21194.40,21570.00,21105.30,21449.30,11600,21449.30
2017-01-11,21274.00,21274.00,20934.80,21194.40,10700,21194.40
2017-01-10,21051.80,21224.00,20908.10,21146.30,6800,21146.30
2017-01-09,21280.00,21299.70,20740.10,20904.30,6200,20904.30
2017-01-06,20750.00,21949.00,20715.00,21111.30,16300,21111.30
2017-01-05,20530.00,21000.00,20410.10,20903.80,15100,20903.80
2017-01-04,20900.00,20999.90,20020.00,20336.80,23200,20336.80
2017-01-03,21095.00,21154.20,20745.00,20798.60,7700,20798.60
2017-01-02,21200.00,21285.10,20839.90,21096.10,9000,21096.10
2016-12-30,20700.00,21200.00,20650.00,21049.90,19000,21049.90
2016-12-29,20200.00,20717.10,20197.80,20650.00,14100,20650.00
2016-12-28,19960.00,20485.80,19960.00,20172.00,15300,20172.00
2016-12-27,19250.00,20300.10,19250.00,19958.80,15100,19958.80
2016-12-26,19600.00,19650.00,19235.10,19318.20,9900,19318.20
2016-12-23,19314.00,19880.00,19225.20,19715.90,14200,19715.90
2016-12-22,19350.00,19399.90,18973.30,19234.90,9500,19234.90
2016-12-21,19340.00,19600.00,19240.00,19314.20,12800,19314.20
2016-12-20,19750.00,19750.00,19150.90,19235.70,29600,19235.70
2016-12-19,20187.00,20187.00,19737.30,19822.20,8800,19822.20
2016-12-16,20050.00,20289.00,19910.00,20123.40,16700,20123.40
2016-12-15,20239.00,20500.00,19800.00,19974.80,17400,19974.80
2016-12-14,20987.00,21049.10,20300.00,20366.20,8900,20366.20
2016-12-13,20780.00,21000.00,20451.80,20916.60,10900,20916.60
2016-12-12,20700.00,21248.90,20500.00,20764.90,15300,20764.90
2016-12-09,20922.10,20943.30,20501.00,20739.10,10300,20739.10
2016-12-08,20450.00,21300.00,20400.50,20922.60,19400,20922.60
2016-12-07,20675.00,20700.00,20171.20,20253.50,9600,20253.50
2016-12-06,20990.00,20998.00,20400.50,20465.60,10800,20465.60
2016-12-05,20300.00,20980.00,20300.00,20850.80,21000,20850.80
2016-12-02,20339.00,20662.20,20000.00,20361.70,10900,20361.70
2016-12-01,20511.00,20550.00,20180.00,20382.30,17800,20382.30
2016-11-30,20340.50,20579.00,20150.00,20525.30,27400,20525.30
2016-11-29,19475.00,20327.70,19300.00,20171.10,24700,20171.10
2016-11-28,18940.00,19490.20,18900.00,19407.60,11000,19407.60
2016-11-25,18852.00,19075.00,18750.00,18840.90,11600,18840.90
2016-11-24,18900.00,19333.90,18627.70,18828.10,17900,18828.10
2016-11-23,18690.00,19061.20,18477.60,18975.20,15500,18975.20
2016-11-22,18500.50,18750.00,17671.60,18523.80,21600,18523.80
2016-11-21,19500.00,19500.00,18233.80,18407.90,18200,18407.90
2016-11-18,19061.00,19342.40,18905.60,19226.80,15000,19226.80
2016-11-17,19200.00,19579.90,18966.00,19016.80,20200,19016.80
2016-11-16,19700.00,19800.00,19130.00,19174.20,16400,19174.20
2016-11-15,20150.00,20280.00,19311.10,19511.20,14900,19511.20
2016-11-14,20023.00,20023.00,20023.00,20023.00,000,20023.00
2016-11-11,20700.00,20999.90,19902.70,20023.00,21000,20023.00
2016-11-10,22200.00,22200.00,20675.20,20866.30,19700,20866.30
2016-11-09,20400.00,21399.00,19593.00,21259.40,29100,21259.40
2016-11-08,21550.00,21800.00,21406.00,21580.90,9100,21580.90
2016-11-07,21670.00,22221.00,21300.00,21422.60,19100,21422.60
2016-11-04,21500.00,21750.00,20921.70,21511.00,12200,21511.00
2016-11-03,21700.00,21875.00,21410.00,21510.20,10400,21510.20
2016-11-02,22199.90,22199.90,21650.00,21678.90,9200,21678.90
2016-11-01,21900.00,22377.60,21815.00,22314.20,15800,22314.20
2016-10-31,21891.10,21891.10,21891.10,21891.10,000,21891.10
2016-10-28,22349.00,22381.40,21800.00,21891.10,14200,21891.10
2016-10-27,22460.00,22507.10,22100.00,22207.80,12300,22207.80
2016-10-26,22625.00,22654.90,22378.50,22462.20,6700,22462.20
2016-10-25,22936.40,22938.70,22551.00,22622.60,6000,22622.60
2016-10-24,22600.00,23098.80,22504.80,22936.30,14300,22936.30
2016-10-21,22406.40,22668.80,22240.00,22633.60,7300,22633.60
2016-10-20,22433.00,22689.90,22294.50,22406.40,4900,22406.40
2016-10-19,22508.30,22600.00,22210.00,22376.20,9300,22376.20
2016-10-18,22250.00,22563.20,22180.00,22485.70,8900,22485.70
2016-10-17,22879.90,22879.90,22060.00,22150.90,12600,22150.90
2016-10-14,22840.00,23006.40,22650.00,22803.80,10400,22803.80
2016-10-13,22900.00,23037.90,22716.00,22784.10,17600,22784.10
2016-10-12,23101.60,23101.60,23101.60,23101.60,000,23101.60
2016-10-11,23101.60,23101.60,23101.60,23101.60,000,23101.60
2016-10-10,23160.00,23220.60,23030.10,23101.60,13800,23101.60
2016-10-07,23100.00,23205.00,22860.20,23135.60,11200,23135.60
2016-10-06,22850.00,23550.00,22761.00,23098.30,36800,23098.30
2016-10-05,22860.00,22935.00,22707.10,22803.60,6700,22803.60
2016-10-04,22950.00,23040.00,22702.40,22838.30,15800,22838.30
2016-10-03,22930.00,23127.00,22695.70,22752.90,20000,22752.90
2016-09-30,22737.00,22903.40,22524.10,22797.80,10700,22797.80
2016-09-29,23330.10,23590.00,22459.50,22634.20,27600,22634.20
2016-09-28,22700.10,23320.00,22621.50,23189.40,21500,23189.40
2016-09-27,22902.10,23100.00,22611.00,22747.80,6900,22747.80
2016-09-26,23299.50,23333.60,22720.90,22844.70,12000,22844.70
2016-09-23,23403.00,23501.20,23226.80,23340.10,8100,23340.10
2016-09-22,23480.10,23625.50,23327.10,23403.60,7600,23403.60
