Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,682.05,697.20,673.20,692.75,1842900,692.75
2017-01-31,705.50,705.50,677.05,681.65,2274500,681.65
2017-01-30,706.40,708.00,694.70,704.65,976200,704.65
2017-01-27,713.00,726.80,691.30,704.75,1911200,704.75
2017-01-26,711.20,711.20,711.20,711.20,000,711.20
2017-01-25,686.00,718.30,677.65,711.20,3631000,711.20
2017-01-24,677.00,688.20,673.70,682.40,1855400,682.40
2017-01-23,662.00,682.00,661.50,677.05,1700400,677.05
2017-01-20,672.00,676.00,662.00,664.75,1363100,664.75
2017-01-19,657.10,676.70,654.10,673.90,1817800,673.90
2017-01-18,664.10,664.15,650.30,655.45,2106100,655.45
2017-01-17,669.95,672.45,662.05,664.95,879000,664.95
2017-01-16,662.65,671.10,655.60,668.10,1311000,668.10
2017-01-13,664.90,664.90,651.00,657.65,1185400,657.65
2017-01-12,662.00,668.70,657.15,659.30,1049000,659.30
2017-01-11,662.00,666.00,654.70,660.90,1672900,660.90
2017-01-10,659.75,676.00,658.30,660.30,1963200,660.30
2017-01-09,664.25,667.65,651.00,653.10,1173500,653.10
2017-01-06,671.00,681.00,661.55,664.85,1651100,664.85
2017-01-05,654.50,674.45,653.00,672.70,2480400,672.70
2017-01-04,649.80,660.90,641.85,655.45,2785400,655.45
2017-01-03,644.00,658.00,636.60,650.55,3157300,650.55
2017-01-02,640.00,644.75,637.40,640.50,1126700,640.50
2016-12-30,635.55,638.45,630.00,635.50,1558700,635.50
2016-12-29,615.50,645.00,614.05,639.65,4990800,639.65
2016-12-28,616.00,619.50,610.35,615.15,2335900,615.15
2016-12-27,603.00,616.95,601.20,615.55,1109000,615.55
2016-12-26,611.00,611.05,600.40,602.25,815300,602.25
2016-12-23,609.75,616.25,607.25,610.90,849000,610.90
2016-12-22,614.80,615.65,605.90,610.75,841200,610.75
2016-12-21,611.60,616.35,602.40,613.80,2150400,613.80
2016-12-20,614.40,618.05,609.15,612.05,1922800,612.05
2016-12-19,618.90,623.00,610.10,611.85,1995500,611.85
2016-12-16,610.00,616.75,604.00,611.10,2257000,611.10
2016-12-15,619.90,630.80,608.40,615.65,2777000,615.65
2016-12-14,626.90,633.00,618.15,620.60,1620600,620.60
2016-12-13,612.10,631.00,609.50,628.65,1562100,628.65
2016-12-12,627.90,631.80,610.00,611.85,2132800,611.85
2016-12-09,637.80,638.00,625.30,634.65,2156600,634.65
2016-12-08,641.00,641.85,632.20,638.05,1782700,638.05
2016-12-07,616.00,634.00,615.40,632.15,2675700,632.15
2016-12-06,608.00,615.95,605.10,612.95,2257500,612.95
2016-12-05,604.90,616.95,598.15,604.20,2722100,604.20
2016-12-02,620.00,624.70,605.45,608.15,4917500,608.15
2016-12-01,636.80,640.00,618.55,628.90,3216200,628.90
2016-11-30,645.50,651.00,635.60,643.95,25612900,643.95
2016-11-29,653.00,657.65,642.00,643.80,2561400,643.80
2016-11-28,641.00,663.75,640.05,651.30,4149300,651.30
2016-11-25,641.00,647.30,635.20,639.40,1483800,639.40
2016-11-24,628.10,643.90,626.55,638.10,2679500,638.10
2016-11-23,640.00,643.00,624.40,633.90,3069800,633.90
2016-11-22,634.50,644.60,634.00,640.90,2862400,640.90
2016-11-21,646.70,647.50,630.05,633.85,3136000,633.85
2016-11-18,636.15,646.75,634.00,642.55,3661500,642.55
2016-11-17,635.00,643.80,621.15,635.50,4539800,635.50
2016-11-16,650.00,661.05,629.15,634.15,3657700,634.15
2016-11-15,646.30,654.80,621.55,643.60,6595000,643.60
2016-11-14,649.60,649.60,649.60,649.60,000,649.60
2016-11-11,650.00,660.50,644.95,649.60,2854800,649.60
2016-11-10,658.50,672.95,658.50,664.55,2279500,664.55
2016-11-09,635.00,669.00,626.60,659.95,1900300,659.95
2016-11-08,657.00,667.90,654.35,660.55,1378500,660.55
2016-11-07,648.00,666.50,646.60,660.10,1624300,660.10
2016-11-04,643.00,649.40,632.00,643.50,1885300,643.50
2016-11-03,663.70,664.00,640.80,644.05,1909500,644.05
2016-11-02,670.00,670.00,655.00,660.15,1399900,660.15
2016-11-01,671.05,679.85,667.15,676.15,1506900,676.15
2016-10-31,669.05,669.05,669.05,669.05,000,669.05
2016-10-28,673.00,676.50,666.35,669.05,1877400,669.05
2016-10-27,669.00,680.25,665.15,676.60,2285200,676.60
2016-10-26,683.40,686.45,670.90,676.05,1908800,676.05
2016-10-25,681.10,687.50,673.30,685.45,1785300,685.45
2016-10-24,669.50,687.95,667.05,686.20,1880500,686.20
2016-10-21,665.00,671.50,661.70,668.25,1321900,668.25
2016-10-20,661.00,665.00,654.05,662.15,1548800,662.15
2016-10-19,658.05,669.70,655.80,660.60,1825200,660.60
2016-10-18,661.00,663.60,646.00,656.75,1755800,656.75
2016-10-17,673.80,674.70,656.10,659.10,2027000,659.10
2016-10-14,660.95,672.40,659.00,666.85,1741400,666.85
2016-10-13,653.00,670.45,645.90,657.10,3260300,657.10
2016-10-12,657.80,657.80,657.80,657.80,000,657.80
2016-10-11,657.80,657.80,657.80,657.80,000,657.80
2016-10-10,664.00,666.90,653.30,657.80,1568500,657.80
2016-10-07,674.90,679.90,656.00,663.55,1916700,663.55
2016-10-06,653.70,683.60,652.00,670.70,3359100,670.70
2016-10-05,637.70,652.05,627.00,649.90,1679300,649.90
2016-10-04,628.25,639.00,628.05,637.45,1619600,637.45
2016-10-03,616.00,630.50,615.00,627.75,1837200,627.75
2016-09-30,605.00,618.70,604.00,612.60,1758300,612.60
2016-09-29,615.70,622.85,600.40,610.15,4478500,610.15
2016-09-28,612.00,619.75,609.45,616.30,1387100,616.30
2016-09-27,628.20,628.60,608.40,610.75,2788000,610.75
2016-09-26,605.00,624.90,595.30,622.45,3162700,622.45
2016-09-23,601.30,608.15,600.60,604.65,2083800,604.65
2016-09-22,593.00,600.50,588.70,598.80,2585000,598.80
2016-09-21,590.00,595.40,580.15,586.80,1773700,586.80
2016-09-20,587.00,589.95,582.80,585.75,2093100,585.75
2016-09-19,581.00,587.60,579.85,585.20,2150000,585.20
2016-09-16,575.00,581.90,569.10,577.95,11505900,577.95
2016-09-15,579.80,579.80,565.40,568.15,1934000,568.15
2016-09-14,571.60,578.50,566.40,575.35,2397300,575.35
2016-09-13,565.90,565.90,565.90,565.90,000,565.90
2016-09-12,580.35,585.60,563.10,565.90,2745500,565.90
2016-09-09,587.10,595.00,585.05,588.55,1825700,588.55
2016-09-08,590.00,593.05,584.45,587.20,2110000,587.20
2016-09-07,599.90,599.95,587.05,589.80,1646500,589.80
2016-09-06,592.50,599.90,588.75,598.60,2275700,598.60
2016-09-05,586.75,586.75,586.75,586.75,000,586.75
2016-09-02,590.00,591.00,581.30,586.75,2598200,586.75
2016-09-01,600.30,606.95,583.50,586.80,3724600,586.80
2016-08-31,609.00,609.95,597.60,602.60,9920800,602.60
2016-08-30,602.80,611.35,601.50,608.25,2978300,608.25
2016-08-29,596.95,601.80,593.90,598.80,2451400,598.80
2016-08-26,597.90,601.95,593.10,595.75,3074400,595.75
2016-08-25,587.00,600.00,581.10,598.25,5646700,598.25
2016-08-24,580.00,585.90,575.05,581.75,3660500,581.75
2016-08-23,601.00,602.10,571.50,576.10,3760000,576.10
2016-08-22,595.00,605.40,593.75,597.50,3289400,597.50
2016-08-19,589.00,595.10,581.30,593.20,2603700,593.20
2016-08-18,588.10,596.90,585.00,587.10,2535300,587.10
2016-08-17,596.00,598.80,583.55,587.35,1957000,587.35
2016-08-16,580.00,602.50,578.20,596.40,3269300,596.40
2016-08-15,579.95,579.95,579.95,579.95,000,579.95
2016-08-12,589.20,594.50,574.95,579.95,3005700,579.95
2016-08-11,589.00,600.00,581.00,596.85,4216100,596.85
2016-08-10,597.55,604.50,578.40,583.55,4158400,583.55
2016-08-09,608.95,613.75,592.40,595.65,4917200,595.65
2016-08-08,593.10,617.70,589.00,606.75,8163500,606.75
2016-08-05,575.80,587.80,573.55,586.55,2765600,586.55
2016-08-04,574.25,578.10,558.00,569.30,2484100,569.30
2016-08-03,580.00,583.05,567.75,572.90,2845600,572.90
2016-08-02,596.55,599.70,577.15,579.35,2678600,579.35
2016-08-01,596.95,603.50,590.25,594.60,2221600,594.60
2016-07-29,587.60,597.00,582.60,592.65,1765600,592.65
2016-07-28,589.45,592.90,575.05,583.80,4264700,583.80
2016-07-27,588.65,596.35,582.45,588.50,2179900,588.50
2016-07-26,594.50,600.85,585.50,588.35,2146000,588.35
2016-07-25,587.00,601.85,585.40,593.50,3073300,593.50
2016-07-22,577.70,584.95,568.55,583.20,1959200,583.20
2016-07-21,582.20,590.60,573.30,576.25,2766900,576.25
2016-07-20,570.00,583.00,570.00,574.50,2316900,574.50
2016-07-19,555.60,574.00,554.05,572.15,2914900,572.15
2016-07-18,556.00,562.75,551.60,556.15,1695900,556.15
2016-07-15,554.00,557.90,547.00,554.75,2432100,554.75
2016-07-14,546.25,556.45,546.25,553.40,1570300,553.40
2016-07-13,559.90,563.00,543.60,545.60,3740800,545.60
2016-07-12,566.10,578.00,556.55,560.275,7373200,280.1375
2016-07-11,563.45,575.00,560.05,566.65,6288500,283.325
2016-07-08,560.55,561.95,552.225,557.35,5675000,278.675
2016-07-07,549.575,560.50,544.75,557.05,5035100,278.525
2016-07-06,548.975,548.975,548.975,548.975,000,274.4875
2016-07-05,553.75,558.90,546.20,548.975,3917400,274.4875
2016-07-04,547.50,555.00,547.50,553.075,3385400,276.5375
2016-07-01,537.50,551.15,533.50,545.975,2131700,272.9875
2016-06-30,531.00,539.00,525.55,536.075,4698300,268.0375
2016-06-29,527.45,530.30,521.65,527.175,1664900,263.5875
2016-06-28,520.90,527.05,520.10,525.85,2375900,262.925
2016-06-27,510.00,523.45,508.275,519.10,2867600,259.55
2016-06-24,506.00,512.20,498.05,506.725,2172200,253.3625
2016-06-23,505.50,515.25,501.50,511.925,1493200,255.9625
2016-06-22,504.00,506.775,501.625,504.675,1551900,252.3375
2016-06-21,502.40,506.10,499.55,504.275,1468300,252.1375
2016-06-20,499.975,506.25,497.025,502.40,1242500,251.20
2016-06-17,508.375,509.875,500.50,502.475,1754000,251.2375
2016-06-16,507.10,510.00,500.30,505.75,2199000,252.875
2016-06-15,497.625,506.90,497.625,505.50,1677700,252.75
2016-06-14,508.00,508.50,494.075,495.575,2151100,247.7875
2016-06-13,491.125,506.475,490.00,504.325,2489400,252.1625
2016-06-10,499.50,502.175,492.275,493.425,1692800,246.7125
2016-06-09,495.15,502.90,493.50,498.725,2634000,249.3625
2016-06-08,486.125,492.70,484.575,490.075,2045800,245.0375
2016-06-07,501.00,501.125,486.70,488.125,2347000,244.0625
