Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,573.00,579.25,566.29999,572.15002,873300,572.15002
2017-01-31,581.54999,583.00,572.59998,575.34998,712900,575.34998
2017-01-30,578.70001,584.54999,577.15002,582.25,589500,582.25
2017-01-27,584.70001,591.40002,579.45001,580.15002,622100,580.15002
2017-01-26,585.65002,585.65002,585.65002,585.65002,000,585.65002
2017-01-25,581.25,588.84998,577.65002,585.65002,888900,585.65002
2017-01-24,574.70001,581.29999,574.09998,579.90002,527000,579.90002
2017-01-23,574.45001,583.45001,573.00,575.75,1197300,575.75
2017-01-20,583.79999,592.50,574.40002,577.59998,1100500,577.59998
2017-01-19,582.29999,587.40002,573.34998,580.34998,772600,580.34998
2017-01-18,588.79999,593.40002,577.34998,580.79999,591400,580.79999
2017-01-17,590.50,592.00,581.20001,587.25,737900,587.25
2017-01-16,577.40002,592.00,577.40002,588.79999,634500,588.79999
2017-01-13,587.00,589.09998,579.45001,583.40002,557000,583.40002
2017-01-12,573.95001,587.79999,567.29999,586.25,1086000,586.25
2017-01-11,576.95001,579.00,569.50,576.95001,543700,576.95001
2017-01-10,577.50,582.90002,573.59998,574.90002,430600,574.90002
2017-01-09,583.54999,588.95001,574.90002,576.70001,545900,576.70001
2017-01-06,580.04999,591.00,577.20001,582.84998,851700,582.84998
2017-01-05,570.20001,581.50,569.29999,579.84998,919500,579.84998
2017-01-04,572.95001,576.00,567.50,568.25,729300,568.25
2017-01-03,566.79999,576.79999,562.00,573.65002,626800,573.65002
2017-01-02,569.75,572.45001,563.25,566.00,520100,566.00
2016-12-30,565.59998,573.45001,565.59998,568.79999,673900,568.79999
2016-12-29,563.09998,569.00,562.75,564.84998,985900,564.84998
2016-12-28,567.00,572.00,560.79999,562.40002,743200,562.40002
2016-12-27,559.00,566.20001,555.15002,563.65002,1063400,563.65002
2016-12-26,581.29999,581.29999,548.09998,554.95001,2106300,554.95001
2016-12-23,561.00,589.15002,552.00,582.29999,2585800,582.29999
2016-12-22,562.29999,565.95001,560.00,561.40002,1870500,561.40002
2016-12-21,565.00,567.40002,561.90002,562.79999,743800,562.79999
2016-12-20,572.84998,573.79999,562.00,563.09998,873000,563.09998
2016-12-19,565.00,574.50,561.40002,569.15002,997700,569.15002
2016-12-16,562.90002,569.90002,561.34998,566.20001,665500,566.20001
2016-12-15,568.00,576.54999,559.09998,563.15002,1032400,563.15002
2016-12-14,579.00,579.65002,564.25,568.00,585600,568.00
2016-12-13,574.09998,581.20001,570.50,578.84998,553300,578.84998
2016-12-12,576.40002,582.00,572.59998,574.79999,848000,574.79999
2016-12-09,586.00,586.00,576.45001,578.90002,539300,578.90002
2016-12-08,573.50,583.90002,570.20001,582.75,1177400,582.75
2016-12-07,577.45001,577.59998,569.40002,570.84998,694500,570.84998
2016-12-06,575.00,580.45001,570.95001,574.84998,779900,574.84998
2016-12-05,573.50,581.40002,571.34998,573.00,1158100,573.00
2016-12-02,566.00,573.90002,566.00,571.20001,984500,571.20001
2016-12-01,567.00,579.84998,566.09998,568.20001,1064200,568.20001
2016-11-30,570.00,573.25,563.50,566.59998,1366300,566.59998
2016-11-29,573.00,573.95001,564.29999,569.15002,832400,569.15002
2016-11-28,569.29999,577.00,568.04999,570.54999,1224000,570.54999
2016-11-25,557.00,569.95001,548.50,565.04999,1022600,565.04999
2016-11-24,551.40002,558.29999,545.04999,553.65002,1816600,553.65002
2016-11-23,554.90002,559.40002,547.15002,552.79999,1520900,552.79999
2016-11-22,547.09998,559.34998,543.50,550.50,1300500,550.50
2016-11-21,550.00,555.34998,542.09998,545.09998,1056700,545.09998
2016-11-18,541.20001,555.65002,541.20001,550.95001,1214000,550.95001
2016-11-17,539.00,549.34998,536.09998,545.70001,924100,545.70001
2016-11-16,562.00,564.84998,535.50,538.15002,1169200,538.15002
2016-11-15,547.59998,561.04999,528.59998,552.40002,1505300,552.40002
2016-11-14,547.95001,547.95001,547.95001,547.95001,000,547.95001
2016-11-11,559.70001,564.00,545.25,547.95001,1232500,547.95001
2016-11-10,545.00,568.00,545.00,563.70001,3982700,563.70001
2016-11-09,512.09998,532.00,486.54999,526.29999,3810900,526.29999
2016-11-08,549.70001,550.90002,530.20001,535.29999,1015500,535.29999
2016-11-07,549.50,555.75,544.00,545.75,939400,545.75
2016-11-04,556.09998,565.50,538.00,544.70001,1517300,544.70001
2016-11-03,556.00,563.79999,556.00,560.00,701500,560.00
2016-11-02,569.95001,569.95001,557.54999,560.09998,806300,560.09998
2016-11-01,579.45001,579.45001,570.09998,571.75,880800,571.75
2016-10-31,575.15002,575.15002,575.15002,575.15002,000,575.15002
2016-10-28,585.50,586.84998,573.70001,575.15002,911100,575.15002
2016-10-27,578.00,588.00,570.50,585.75,779100,585.75
