Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,310.00,313.70,306.30,313.05,3168100,313.05
2017-01-31,313.40,314.35,303.00,309.20,17232900,309.20
2017-01-30,316.60,317.55,313.40,314.70,1713700,314.70
2017-01-27,318.00,320.40,316.00,317.75,2607400,317.75
2017-01-26,317.20,317.20,317.20,317.20,000,317.20
2017-01-25,309.80,319.00,307.50,317.20,5594600,317.20
2017-01-24,304.50,310.75,303.60,309.45,2508700,309.45
2017-01-23,303.90,306.20,302.55,303.40,1855800,303.40
2017-01-20,307.00,308.35,302.45,303.70,3784900,303.70
2017-01-19,309.00,310.45,306.60,307.35,2434000,307.35
2017-01-18,304.80,309.80,304.55,308.70,3680800,308.70
2017-01-17,314.55,315.45,306.05,307.00,3759600,307.00
2017-01-16,319.00,319.00,310.35,313.80,3866100,313.80
2017-01-13,316.00,319.30,313.55,315.00,3458400,315.00
2017-01-12,318.00,318.65,310.50,313.20,2316800,313.20
2017-01-11,301.60,318.00,301.60,316.85,7657600,316.85
2017-01-10,301.05,303.25,299.10,300.60,1455300,300.60
2017-01-09,305.85,305.95,299.60,300.00,1947800,300.00
2017-01-06,309.00,310.55,305.00,306.20,940100,306.20
2017-01-05,307.10,311.40,306.60,308.30,1845900,308.30
2017-01-04,306.00,310.00,305.45,306.15,1954800,306.15
2017-01-03,301.00,307.30,299.50,305.30,1459900,305.30
2017-01-02,300.05,302.65,297.00,300.05,1729500,300.05
2016-12-30,298.00,301.30,296.10,300.00,3733300,300.00
2016-12-29,292.70,301.70,292.70,298.65,7139900,298.65
2016-12-28,290.00,296.40,288.70,295.20,3946000,295.20
2016-12-27,282.50,290.25,282.50,288.95,3419400,288.95
2016-12-26,288.40,288.40,282.60,285.00,2446500,285.00
2016-12-23,289.00,289.00,286.00,287.85,1478200,287.85
2016-12-22,291.00,291.90,287.05,287.65,1586000,287.65
2016-12-21,291.60,294.50,289.15,292.20,2448400,292.20
2016-12-20,290.00,292.60,289.20,290.60,2428400,290.60
2016-12-19,288.45,289.80,286.50,287.35,2396800,287.35
2016-12-16,292.15,292.50,287.10,288.25,4139100,288.25
2016-12-15,290.00,293.80,289.30,290.15,2606600,290.15
2016-12-14,297.00,298.90,291.05,292.00,7916300,292.00
2016-12-13,303.10,307.85,303.10,305.95,4145400,305.95
2016-12-12,305.90,309.70,304.65,305.30,1861300,305.30
2016-12-09,312.95,313.25,305.90,306.45,2583300,306.45
2016-12-08,307.80,313.65,306.50,312.10,2985500,312.10
2016-12-07,306.65,308.00,304.30,305.30,1896300,305.30
2016-12-06,306.55,309.50,304.55,305.70,3262800,305.70
2016-12-05,305.10,307.15,301.90,305.35,2694500,305.35
2016-12-02,308.15,311.70,304.50,305.85,3374200,305.85
2016-12-01,309.20,310.30,305.35,306.30,1906300,306.30
2016-11-30,310.65,310.70,305.05,308.60,3289100,308.60
2016-11-29,306.40,314.00,306.00,308.40,3068100,308.40
2016-11-28,304.90,305.70,302.10,304.90,1677000,304.90
2016-11-25,302.40,305.25,300.90,304.25,1621900,304.25
2016-11-24,304.00,304.50,298.60,300.35,3596300,300.35
2016-11-23,306.00,306.95,302.15,304.05,1537200,304.05
2016-11-22,302.00,304.95,298.85,303.40,2497300,303.40
2016-11-21,306.70,310.35,299.30,300.75,2929400,300.75
2016-11-18,307.20,309.35,304.00,306.70,2226300,306.70
2016-11-17,310.75,312.70,302.00,306.85,4774600,306.85
2016-11-16,317.30,317.30,309.05,313.05,3380000,313.05
2016-11-15,323.00,328.95,312.00,313.65,3886200,313.65
2016-11-14,324.05,324.05,324.05,324.05,000,324.05
2016-11-11,329.85,332.00,321.40,324.05,2674000,324.05
2016-11-10,321.80,337.30,320.00,333.20,5022600,333.20
2016-11-09,301.10,321.00,289.30,317.05,4814600,317.05
