Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,920.00,945.00,920.00,939.70,1652500,939.70
2017-01-31,956.20,967.55,906.75,910.55,3656600,910.55
2017-01-30,936.70,1005.55,935.00,969.55,4598200,969.55
2017-01-27,928.60,939.70,925.00,931.20,692400,931.20
2017-01-26,928.10,928.10,928.10,928.10,000,928.10
2017-01-25,909.00,942.40,905.00,928.10,3268200,928.10
2017-01-24,887.70,916.90,884.80,911.35,1329500,911.35
2017-01-23,864.75,887.00,859.50,883.70,1484000,883.70
2017-01-20,860.00,885.20,858.90,863.30,808000,863.30
2017-01-19,868.75,868.75,858.05,864.80,1503100,864.80
2017-01-18,849.00,868.65,844.65,865.10,1294200,865.10
2017-01-17,855.75,862.90,842.10,845.45,276300,845.45
2017-01-16,844.90,863.10,836.65,854.75,345200,854.75
2017-01-13,858.00,858.05,843.30,846.05,231500,846.05
2017-01-12,858.10,863.60,850.65,855.55,328100,855.55
2017-01-11,853.20,861.25,848.80,857.90,345200,857.90
2017-01-10,861.00,864.00,846.25,848.25,288300,848.25
2017-01-09,857.30,865.50,850.85,858.60,232000,858.60
2017-01-06,865.00,865.00,851.00,855.25,472200,855.25
2017-01-05,868.00,880.60,859.70,865.80,388800,865.80
2017-01-04,869.70,876.00,862.00,867.00,172500,867.00
2017-01-03,874.00,881.00,865.00,869.10,216800,869.10
2017-01-02,868.00,876.00,859.95,873.30,322700,873.30
2016-12-30,840.00,869.00,839.55,862.75,831500,862.75
2016-12-29,818.70,848.10,812.00,843.50,1354600,843.50
2016-12-28,812.70,830.45,805.85,811.10,351900,811.10
2016-12-27,813.85,819.70,800.05,811.40,617200,811.40
2016-12-26,828.40,828.40,811.95,814.85,295200,814.85
2016-12-23,817.50,832.00,812.95,828.55,210400,828.55
2016-12-22,827.80,830.00,811.30,818.65,335300,818.65
2016-12-21,829.10,835.00,821.65,828.75,327300,828.75
2016-12-20,824.00,833.45,820.00,828.85,392000,828.85
2016-12-19,818.00,829.90,815.50,824.15,333400,824.15
2016-12-16,835.40,835.80,814.45,817.50,747100,817.50
2016-12-15,845.80,855.00,828.35,831.40,557000,831.40
2016-12-14,850.00,862.00,845.70,850.90,288600,850.90
2016-12-13,860.00,863.15,842.00,850.55,426000,850.55
2016-12-12,876.50,880.85,851.55,861.75,429400,861.75
2016-12-09,898.00,898.00,876.40,878.35,1629300,878.35
2016-12-08,883.00,899.00,879.20,894.30,1102500,894.30
2016-12-07,878.35,881.00,870.00,876.50,784900,876.50
2016-12-06,876.35,884.00,866.50,874.15,468000,874.15
2016-12-05,877.70,879.90,852.25,871.95,472900,871.95
2016-12-02,866.00,879.00,863.55,872.80,1238000,872.80
2016-12-01,875.00,882.95,862.20,872.95,1079400,872.95
2016-11-30,853.05,875.40,842.00,870.30,1213100,870.30
2016-11-29,842.00,852.60,840.15,849.40,619000,849.40
2016-11-28,823.00,849.00,819.85,840.05,727300,840.05
2016-11-25,811.00,826.00,803.05,823.10,1094600,823.10
