Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1370.00,1417.45,1369.65,1412.10,2637800,1412.10
2017-01-31,1371.45,1388.20,1353.00,1365.85,2588100,1365.85
2017-01-30,1370.40,1379.40,1360.00,1371.90,2427400,1371.90
2017-01-27,1329.15,1379.00,1329.15,1373.70,4017400,1373.70
2017-01-26,1337.40,1337.40,1337.40,1337.40,000,1337.40
2017-01-25,1284.00,1341.45,1279.70,1337.40,5273300,1337.40
2017-01-24,1263.10,1282.00,1260.00,1280.75,1937400,1280.75
2017-01-23,1234.70,1262.00,1232.00,1259.75,2265500,1259.75
2017-01-20,1236.15,1245.00,1230.60,1237.30,1408900,1237.30
2017-01-19,1251.70,1251.70,1232.90,1242.40,1599700,1242.40
2017-01-18,1246.30,1260.95,1245.65,1249.05,1491300,1249.05
2017-01-17,1258.35,1261.00,1234.95,1245.80,1185400,1245.80
2017-01-16,1245.10,1264.00,1240.25,1256.90,1694000,1256.90
2017-01-13,1224.95,1250.60,1222.15,1247.50,2131700,1247.50
2017-01-12,1234.00,1242.95,1217.60,1221.10,1477800,1221.10
2017-01-11,1224.70,1233.00,1218.20,1230.05,1353700,1230.05
2017-01-10,1225.00,1227.95,1213.05,1217.25,2669800,1217.25
2017-01-09,1225.00,1229.00,1212.60,1223.55,2016500,1223.55
2017-01-06,1219.00,1232.00,1218.80,1222.35,2774400,1222.35
2017-01-05,1215.70,1220.40,1205.10,1217.20,3339700,1217.20
2017-01-04,1215.80,1224.50,1197.25,1212.10,2805900,1212.10
2017-01-03,1218.70,1222.60,1200.50,1214.00,3203300,1214.00
2017-01-02,1272.00,1272.00,1213.70,1217.10,2369300,1217.10
2016-12-30,1263.35,1269.75,1249.50,1262.60,1388800,1262.60
2016-12-29,1234.70,1261.55,1229.90,1257.20,2005400,1257.20
2016-12-28,1238.90,1248.05,1222.90,1237.95,2032700,1237.95
2016-12-27,1221.90,1237.00,1211.45,1232.15,872800,1232.15
2016-12-26,1220.00,1224.25,1206.00,1219.50,747300,1219.50
2016-12-23,1217.40,1232.30,1208.25,1224.85,1560500,1224.85
2016-12-22,1234.80,1237.85,1213.25,1217.40,2238700,1217.40
2016-12-21,1242.00,1256.95,1230.25,1235.60,3217900,1235.60
2016-12-20,1245.90,1255.90,1227.80,1235.55,1935600,1235.55
2016-12-19,1263.00,1263.90,1242.65,1247.90,1279500,1247.90
2016-12-16,1262.00,1278.00,1262.00,1269.15,2775300,1269.15
2016-12-15,1262.00,1277.40,1255.25,1259.20,1731600,1259.20
2016-12-14,1279.00,1279.00,1257.00,1266.55,1628800,1266.55
