Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,3175.00,3304.55,3169.50,3286.95,628700,3286.95
2017-01-31,3190.00,3218.85,3150.50,3172.35,273400,3172.35
2017-01-30,3215.00,3215.95,3156.75,3194.70,488900,3194.70
2017-01-27,3246.00,3267.95,3201.00,3215.85,532100,3215.85
2017-01-26,3247.45,3247.45,3247.45,3247.45,000,3247.45
2017-01-25,3144.90,3275.95,3121.00,3247.45,1050200,3247.45
2017-01-24,3123.50,3142.00,3085.00,3134.30,706800,3134.30
2017-01-23,3050.50,3107.00,3050.50,3096.80,621500,3096.80
2017-01-20,3099.95,3120.40,3044.25,3050.60,330400,3050.60
2017-01-19,3094.80,3110.95,3066.00,3102.35,277000,3102.35
2017-01-18,3151.00,3158.55,3076.10,3086.05,260700,3086.05
2017-01-17,3091.00,3154.65,3071.75,3132.65,224500,3132.65
2017-01-16,3047.00,3097.90,3026.60,3091.75,297300,3091.75
2017-01-13,3096.40,3099.00,3021.35,3046.55,168200,3046.55
2017-01-12,3100.00,3112.15,3070.00,3083.20,322300,3083.20
2017-01-11,3071.95,3092.00,3036.00,3084.25,379700,3084.25
2017-01-10,3055.00,3072.80,3019.45,3059.00,178800,3059.00
2017-01-09,3068.00,3107.90,3023.05,3031.45,211600,3031.45
2017-01-06,3085.00,3119.00,3052.00,3067.55,266900,3067.55
2017-01-05,3034.90,3083.80,3012.95,3071.75,383900,3071.75
2017-01-04,2999.00,3017.30,2971.00,3004.90,396800,3004.90
2017-01-03,2978.00,3016.15,2962.55,2986.55,454200,2986.55
2017-01-02,3042.00,3068.95,2992.55,3030.55,213600,3030.55
2016-12-30,3040.00,3063.00,3027.00,3043.65,240100,3043.65
2016-12-29,3003.00,3054.00,2974.05,3036.35,253200,3036.35
2016-12-28,3030.00,3050.00,2996.00,3001.60,194500,3001.60
2016-12-27,2995.00,3047.40,2958.00,3034.95,140000,3034.95
2016-12-26,3041.10,3049.90,2975.25,3007.60,143400,3007.60
2016-12-23,3000.00,3054.05,2990.05,3040.10,149000,3040.10
2016-12-22,3007.00,3040.90,2983.60,2998.80,210000,2998.80
2016-12-21,3065.45,3104.00,3015.00,3021.75,270700,3021.75
2016-12-20,3116.00,3116.00,3045.05,3058.95,245800,3058.95
2016-12-19,3127.90,3150.20,3086.00,3107.15,197000,3107.15
2016-12-16,3185.85,3185.85,3116.05,3127.90,285200,3127.90
2016-12-15,3137.30,3199.85,3116.10,3169.45,256400,3169.45
2016-12-14,3216.00,3224.95,3136.00,3159.60,396900,3159.60
2016-12-13,3201.00,3240.00,3201.00,3210.70,266200,3210.70
2016-12-12,3255.00,3265.00,3198.10,3212.45,253300,3212.45
2016-12-09,3330.00,3333.00,3265.95,3277.35,270400,3277.35
2016-12-08,3249.00,3327.35,3246.00,3316.25,379900,3316.25
2016-12-07,3208.10,3250.00,3202.70,3228.20,401100,3228.20
2016-12-06,3239.00,3243.30,3189.85,3196.95,349500,3196.95
2016-12-05,3151.10,3265.00,3151.10,3224.35,333100,3224.35
2016-12-02,3150.10,3209.95,3150.10,3183.65,309700,3183.65
2016-12-01,3161.00,3232.00,3145.00,3190.45,504100,3190.45
2016-11-30,3161.00,3174.25,3134.50,3166.05,453800,3166.05
2016-11-29,3097.00,3183.10,3074.20,3163.25,604700,3163.25
2016-11-28,3045.00,3121.60,3045.00,3106.40,318500,3106.40
2016-11-25,3055.00,3094.70,3028.00,3045.95,412700,3045.95
2016-11-24,2999.90,3068.70,2973.75,3051.95,802500,3051.95
2016-11-23,3030.00,3030.00,2995.00,3013.50,545600,3013.50
2016-11-22,2940.05,3015.00,2933.00,2997.70,581400,2997.70
2016-11-21,2942.95,2950.00,2895.10,2925.85,539900,2925.85
2016-11-18,2896.00,2944.90,2870.00,2935.40,522900,2935.40
2016-11-17,2919.00,2934.35,2849.50,2875.45,547700,2875.45
2016-11-16,2931.00,3015.00,2892.05,2909.55,824000,2909.55
2016-11-15,2974.00,2981.50,2868.05,2891.85,912700,2891.85
2016-11-14,2975.30,2975.30,2975.30,2975.30,000,2975.30
2016-11-11,3111.05,3130.00,2964.00,2975.30,629900,2975.30
2016-11-10,3312.00,3312.00,3135.00,3145.40,533300,3145.40
2016-11-09,3197.05,3251.95,3040.00,3235.90,649900,3235.90
2016-11-08,3386.00,3386.00,3324.40,3372.45,185300,3372.45
2016-11-07,3310.00,3382.55,3265.00,3358.60,359800,3358.60
2016-11-04,3379.00,3379.00,3251.00,3287.90,379800,3287.90
2016-11-03,3331.00,3401.00,3320.40,3378.50,544300,3378.50
2016-11-02,3348.00,3359.95,3320.00,3326.90,273300,3326.90
