Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,190.90,200.00,186.55,198.85,12602800,198.85
2017-01-31,191.95,193.20,189.20,189.95,9510100,189.95
2017-01-30,190.05,195.30,186.95,191.50,12048500,191.50
2017-01-27,190.50,195.00,188.05,190.75,19584300,190.75
2017-01-26,190.75,190.75,190.75,190.75,000,190.75
2017-01-25,187.40,191.65,187.15,190.75,21241900,190.75
2017-01-24,182.60,187.85,181.05,187.15,17125700,187.15
2017-01-23,173.00,182.40,172.25,181.70,18223100,181.70
2017-01-20,175.60,178.35,169.50,171.65,12034300,171.65
2017-01-19,176.30,177.25,173.50,176.10,8384300,176.10
2017-01-18,171.80,177.35,171.60,177.00,13047900,177.00
2017-01-17,173.60,174.80,169.30,171.05,7373700,171.05
2017-01-16,172.00,174.35,169.90,172.60,9673400,172.60
2017-01-13,178.80,178.80,170.85,172.25,17430500,172.25
2017-01-12,175.60,178.60,172.40,177.00,14225100,177.00
2017-01-11,167.10,175.65,166.45,174.95,24145100,174.95
2017-01-10,159.15,165.40,158.00,164.40,15806800,164.40
2017-01-09,161.60,162.20,157.65,158.00,6143200,158.00
2017-01-06,162.45,163.80,160.10,160.75,6830900,160.75
2017-01-05,160.00,162.65,159.90,162.00,9921300,162.00
2017-01-04,158.90,161.60,157.45,158.90,7732000,158.90
2017-01-03,159.85,161.00,157.05,158.85,6841100,158.85
2017-01-02,155.85,159.75,154.20,158.85,9537100,158.85
2016-12-30,155.00,156.20,153.25,155.05,8199700,155.05
2016-12-29,153.10,155.55,152.30,154.75,7714000,154.75
2016-12-28,156.50,158.25,152.60,153.60,9007100,153.60
2016-12-27,150.30,156.60,147.85,155.55,10782100,155.55
2016-12-26,157.50,157.50,149.70,151.50,10229400,151.50
2016-12-23,161.00,162.10,158.85,159.30,9804100,159.30
2016-12-22,168.70,168.70,160.25,161.25,9593000,161.25
2016-12-21,168.00,171.00,166.55,168.80,6539500,168.80
2016-12-20,169.70,169.75,165.35,167.15,5435700,167.15
2016-12-19,169.40,171.75,168.10,169.15,5526600,169.15
2016-12-16,176.90,176.90,169.10,170.20,9584300,170.20
2016-12-15,173.40,177.40,173.20,176.10,6165300,176.10
2016-12-14,177.25,178.20,174.85,176.00,6198900,176.00
2016-12-13,181.55,182.65,175.25,176.95,9690900,176.95
2016-12-12,180.80,183.20,179.25,181.95,8051000,181.95
2016-12-09,180.45,183.45,179.05,182.10,9543300,182.10
2016-12-08,177.45,181.40,176.30,179.20,9432700,179.20
2016-12-07,176.50,176.80,172.45,175.05,6213800,175.05
2016-12-06,176.95,177.85,174.20,175.40,8668100,175.40
2016-12-05,168.50,175.40,167.80,174.50,9144400,174.50
2016-12-02,170.95,174.15,167.50,168.75,11034600,168.75
2016-12-01,176.80,177.50,169.70,171.35,7638000,171.35
2016-11-30,175.00,178.70,172.80,175.75,15095700,175.75
2016-11-29,179.70,180.85,174.80,175.40,9819400,175.40
2016-11-28,180.30,182.35,177.70,178.65,12519400,178.65
2016-11-25,182.90,184.80,178.85,180.50,17338800,180.50
2016-11-24,173.50,181.15,172.15,180.45,24353500,180.45
2016-11-23,168.95,174.30,168.00,173.70,15975500,173.70
2016-11-22,158.85,167.30,158.65,166.55,15431900,166.55
2016-11-21,166.50,170.80,156.10,157.35,16027100,157.35
2016-11-18,169.00,169.30,163.60,165.35,8775500,165.35
2016-11-17,164.00,169.80,162.00,168.30,10560500,168.30
2016-11-16,171.80,172.70,161.20,162.80,11909700,162.80
2016-11-15,175.70,180.65,166.50,167.75,30748000,167.75
2016-11-14,172.30,172.30,172.30,172.30,000,172.30
2016-11-11,174.10,178.10,171.05,172.30,13455000,172.30
2016-11-10,168.50,177.35,167.00,175.75,16275400,175.75
2016-11-09,150.70,163.65,150.70,162.10,11328400,162.10
2016-11-08,170.00,172.40,165.85,167.40,23431700,167.40
2016-11-07,162.75,168.75,161.40,167.60,13926700,167.60
2016-11-04,164.00,164.95,154.75,158.85,14042100,158.85
2016-11-03,156.95,166.40,156.75,162.80,26147200,162.80
2016-11-02,154.80,158.20,153.15,156.50,11309700,156.50
2016-11-01,150.50,159.50,149.70,156.95,17722400,156.95
2016-10-31,149.65,149.65,149.65,149.65,000,149.65
2016-10-28,148.50,150.40,148.00,149.65,4501900,149.65
2016-10-27,150.20,150.85,147.40,148.30,8386200,148.30
2016-10-26,149.90,152.25,148.60,150.20,6191800,150.20
2016-10-25,151.20,152.50,147.65,150.50,8898800,150.50
2016-10-24,152.15,153.15,150.40,150.85,5649400,150.85
2016-10-21,155.40,155.40,150.85,151.85,5801300,151.85
2016-10-20,151.80,156.25,151.65,155.25,8035600,155.25
2016-10-19,153.40,153.95,150.00,151.00,8197000,151.00
2016-10-18,152.00,153.35,149.30,152.35,10851500,152.35
2016-10-17,154.20,155.60,150.00,150.65,7752000,150.65
2016-10-14,155.75,156.35,153.20,154.60,5656400,154.60
2016-10-13,157.90,159.25,152.10,155.15,8680800,155.15
2016-10-12,160.75,160.75,160.75,160.75,000,160.75
2016-10-11,160.75,160.75,160.75,160.75,000,160.75
2016-10-10,158.85,162.80,158.80,160.75,8157900,160.75
2016-10-07,158.95,160.40,156.65,158.00,7263800,158.00
2016-10-06,158.00,161.70,156.10,158.35,13604000,158.35
2016-10-05,156.50,159.30,155.75,157.25,10169500,157.25
2016-10-04,154.95,157.50,152.35,154.25,13696700,154.25
2016-10-03,154.50,155.20,152.60,154.10,9299200,154.10
2016-09-30,147.00,154.35,146.80,152.70,9167200,152.70
2016-09-29,157.45,157.85,147.80,150.00,14157600,150.00
2016-09-28,150.20,158.20,148.50,156.90,12785600,156.90
2016-09-27,154.35,155.30,149.55,150.05,8046000,150.05
2016-09-26,154.00,155.30,152.30,153.60,7234400,153.60
2016-09-23,154.60,156.85,153.05,154.45,10730500,154.45
2016-09-22,153.40,156.20,152.25,154.60,16321700,154.60
2016-09-21,145.55,151.35,144.10,149.55,14671900,149.55
2016-09-20,143.00,146.35,142.60,145.60,7633500,145.60
2016-09-19,143.10,144.60,141.70,143.95,4969900,143.95
2016-09-16,146.80,147.90,142.00,142.65,10327500,142.65
2016-09-15,144.95,146.25,141.15,145.55,10494500,145.55
2016-09-14,140.25,143.70,138.55,143.25,13195600,143.25
2016-09-13,140.85,140.85,140.85,140.85,000,140.85
2016-09-12,149.00,150.60,139.90,140.85,16165900,140.85
2016-09-09,162.85,162.85,154.00,154.85,9427700,154.85
2016-09-08,160.90,163.45,160.00,161.95,9379000,161.95
2016-09-07,158.55,161.80,158.05,159.70,7925100,159.70
2016-09-06,157.55,159.90,157.00,158.50,5189600,158.50
2016-09-05,157.25,157.25,157.25,157.25,000,156.25
2016-09-02,158.30,158.90,154.50,157.25,6820100,156.25
2016-09-01,159.00,160.65,156.60,157.50,6261100,156.4984
2016-08-31,163.00,164.70,158.25,159.25,15209500,158.2373
2016-08-30,159.90,163.50,159.05,162.75,7930300,161.715
2016-08-29,155.00,159.50,154.50,158.30,7488900,157.2933
2016-08-26,155.45,156.95,154.30,155.50,7924800,154.5111
2016-08-25,156.95,157.80,153.50,154.25,7136100,153.2691
2016-08-24,156.30,157.60,155.40,157.00,7012900,156.0016
2016-08-23,155.50,156.95,153.80,155.55,6120100,154.5608
2016-08-22,158.00,158.00,155.30,156.05,6708400,155.0576
2016-08-19,156.80,159.45,156.25,158.95,13625000,157.9392
2016-08-18,156.50,157.15,154.00,154.35,7030400,153.3685
2016-08-17,154.35,156.80,153.95,155.95,13401000,154.9583
2016-08-16,147.70,155.55,146.60,154.65,17292800,153.6665
2016-08-15,146.35,146.35,146.35,146.35,000,145.4193
2016-08-12,143.00,149.25,143.00,146.35,22086600,145.4193
2016-08-11,145.60,146.00,138.50,142.25,9200900,141.3454
2016-08-10,147.00,149.15,144.55,145.80,9266800,144.8728
2016-08-09,150.20,150.25,145.40,146.60,9816500,145.6677
2016-08-08,146.25,152.15,146.00,149.15,20168900,148.2015
2016-08-05,139.00,144.25,138.50,143.70,13302700,142.7862
2016-08-04,136.50,137.95,135.40,137.10,6943200,136.2281
2016-08-03,135.40,137.25,133.60,135.70,9958100,134.837
2016-08-02,137.40,138.25,134.60,135.50,9026100,134.6383
2016-08-01,134.50,138.80,134.10,136.60,12647800,135.7313
2016-07-29,134.95,135.65,132.15,133.55,7051600,132.7007
2016-07-28,134.00,135.60,132.10,134.25,10626300,133.3963
2016-07-27,132.65,134.60,131.20,133.80,9550300,132.9491
2016-07-26,135.20,136.80,131.00,131.65,12881100,130.8128
2016-07-25,136.50,136.90,133.90,135.20,6407100,134.3402
2016-07-22,133.20,137.00,130.35,136.00,15030500,135.1351
2016-07-21,137.15,137.50,133.50,133.90,11200400,133.0485
2016-07-20,138.85,139.30,134.30,135.90,11898100,135.0358
2016-07-19,136.90,139.50,136.60,138.00,10933100,137.1224
2016-07-18,137.90,141.45,136.15,137.25,13729600,136.3772
2016-07-15,136.90,138.00,135.55,137.40,10639800,136.5262
2016-07-14,136.00,137.35,133.75,135.80,11703200,134.9364
2016-07-13,136.00,139.90,134.70,135.80,20241000,134.9364
2016-07-12,130.35,136.20,130.00,135.25,26490300,134.3899
2016-07-11,128.30,129.75,128.05,129.05,7534900,128.2293
2016-07-08,128.70,128.70,125.50,126.85,8327200,126.0433
2016-07-07,125.00,128.70,124.60,127.70,15661200,126.8879
2016-07-06,123.65,123.65,123.65,123.65,000,122.8637
2016-07-05,126.00,127.40,123.30,123.65,9848600,122.8637
2016-07-04,126.10,126.75,125.50,125.95,5715300,125.149
2016-07-01,124.00,125.50,123.15,124.75,8905800,123.9567
2016-06-30,122.40,123.45,121.25,122.85,15709300,122.0688
2016-06-29,119.00,121.30,118.60,119.95,9327300,119.1872
2016-06-28,119.90,121.05,117.75,118.05,11037500,117.2993
2016-06-27,115.95,120.80,115.90,119.80,13603300,119.0382
2016-06-24,118.35,119.60,112.00,117.30,22745600,116.5541
2016-06-23,122.10,124.50,121.65,123.90,8243300,123.1121
2016-06-22,123.95,123.95,120.10,122.20,10065700,121.4229
2016-06-21,122.25,124.65,121.60,123.50,15274400,122.7146
