Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,265.85,283.50,262.80,281.00,40588400,281.00
2017-01-31,268.80,274.00,266.45,268.95,18668300,268.95
2017-01-30,273.00,275.60,269.70,270.80,15488600,270.80
2017-01-27,263.05,274.00,260.70,272.00,81303300,272.00
2017-01-26,259.95,259.95,259.95,259.95,000,259.95
2017-01-25,259.00,260.80,255.60,259.95,37343700,259.95
2017-01-24,258.55,258.55,255.65,257.15,24109100,257.15
2017-01-23,261.80,261.80,255.15,257.55,39812100,257.55
2017-01-20,267.00,267.95,262.55,263.45,11097300,263.45
2017-01-19,268.80,270.70,266.20,269.70,7823300,269.70
2017-01-18,267.40,272.10,266.75,268.45,9168700,268.45
2017-01-17,269.50,271.50,265.50,268.40,6334600,268.40
2017-01-16,267.40,270.85,264.80,269.30,8057800,269.30
2017-01-13,270.00,270.00,264.80,268.05,7100300,268.05
2017-01-12,266.60,269.50,265.45,268.35,10646600,268.35
2017-01-11,262.50,268.10,261.60,264.70,17786900,264.70
2017-01-10,260.00,261.90,258.30,260.20,13440000,260.20
2017-01-09,257.90,259.85,256.00,258.70,7159300,258.70
2017-01-06,258.25,261.40,257.20,258.15,8231900,258.15
2017-01-05,253.20,258.50,252.20,257.25,12573300,257.25
2017-01-04,254.25,255.75,250.40,251.10,6273800,251.10
2017-01-03,252.10,255.40,249.30,254.40,9306000,254.40
2017-01-02,256.30,256.30,248.10,251.95,9458500,251.95
2016-12-30,252.00,257.50,251.35,255.30,10514300,255.30
2016-12-29,252.10,253.00,250.05,251.10,5799600,251.10
2016-12-28,254.00,254.80,251.05,251.75,8342500,251.75
2016-12-27,249.00,254.35,246.70,253.55,8267700,253.55
2016-12-26,252.25,252.45,247.10,248.15,6151900,248.15
2016-12-23,252.95,254.75,250.15,251.85,6302300,251.85
2016-12-22,252.70,254.80,250.65,252.95,8137700,252.95
2016-12-21,253.00,255.35,251.20,253.25,6987000,253.25
2016-12-20,256.70,256.70,250.25,251.60,10536300,251.60
2016-12-19,255.40,258.95,254.75,257.10,6743300,257.10
2016-12-16,260.00,260.00,254.85,255.60,22713000,255.60
2016-12-15,258.70,261.70,257.75,260.30,21899600,260.30
2016-12-14,264.50,264.70,260.00,260.55,13062700,260.55
2016-12-13,263.40,265.35,262.50,264.40,9332300,264.40
2016-12-12,267.50,268.30,263.85,264.85,6832600,264.85
2016-12-09,263.95,269.80,263.00,268.45,15939300,268.45
2016-12-08,260.55,263.40,258.40,262.75,10305600,262.75
2016-12-07,262.80,264.40,251.00,258.70,12396000,258.70
2016-12-06,262.25,262.65,259.55,261.00,7577400,261.00
2016-12-05,259.60,261.40,257.80,260.85,7550000,260.85
2016-12-02,258.00,264.60,255.85,259.50,11159400,259.50
2016-12-01,266.25,268.00,257.75,259.15,14356400,259.15
2016-11-30,257.45,266.50,255.95,265.55,18846400,265.55
2016-11-29,255.50,259.40,254.30,255.45,29390600,255.45
2016-11-28,256.65,256.65,253.50,255.30,29945200,255.30
2016-11-25,262.40,262.40,257.05,260.10,15101500,260.10
2016-11-24,263.80,263.80,258.00,259.30,20511900,259.30
2016-11-23,264.10,265.85,260.50,264.95,15595300,264.95
2016-11-22,265.00,266.60,259.30,262.70,21733400,262.70
2016-11-21,266.20,267.00,254.85,261.20,19659800,261.20
2016-11-18,268.45,269.00,262.30,264.60,9076300,264.60
2016-11-17,267.95,270.65,264.00,267.65,13321900,267.65
2016-11-16,276.60,278.20,264.20,266.20,24066500,266.20
2016-11-15,277.00,280.80,266.15,269.75,34510400,269.75
2016-11-14,276.40,276.40,276.40,276.40,000,276.40
2016-11-11,287.25,294.25,274.50,276.40,30033300,276.40
2016-11-10,288.50,298.40,286.70,292.60,26488600,292.60
2016-11-09,254.90,284.75,245.00,281.45,46413600,281.45
2016-11-08,285.80,287.45,278.25,283.20,31957900,283.20
2016-11-07,275.80,281.20,272.50,278.70,17037200,278.70
2016-11-04,271.90,272.50,265.35,269.80,14874000,269.80
2016-11-03,272.00,276.40,268.40,269.75,11349700,269.75
2016-11-02,270.00,273.25,268.75,271.90,13764200,271.90
2016-11-01,279.45,279.75,274.50,275.35,10613900,275.35
2016-10-31,276.85,276.85,276.85,276.85,000,276.85
2016-10-28,282.00,282.50,275.55,276.85,16649200,276.85
2016-10-27,277.40,285.00,275.00,284.30,18061800,284.30
2016-10-26,284.45,284.45,277.00,278.40,27288800,278.40
2016-10-25,289.20,291.60,284.60,289.25,22809700,289.25
2016-10-24,279.15,286.45,279.15,284.55,20199400,284.55
2016-10-21,276.25,280.05,274.10,277.40,23966200,277.40
2016-10-20,267.15,278.90,267.15,277.60,32981900,277.60
2016-10-19,271.35,271.70,263.25,265.05,18153400,265.05
2016-10-18,259.55,271.40,259.50,270.35,38056000,270.35
2016-10-17,246.00,259.90,245.55,258.75,62802200,258.75
2016-10-14,241.20,243.00,239.70,241.75,9783400,241.75
2016-10-13,247.80,248.40,239.10,241.15,18851600,241.15
2016-10-12,250.10,250.10,250.10,250.10,000,250.10
2016-10-11,250.10,250.10,250.10,250.10,000,250.10
2016-10-10,251.90,253.20,249.15,250.10,6010100,250.10
2016-10-07,250.90,253.90,248.20,250.60,9551500,250.60
2016-10-06,257.00,257.05,249.20,251.25,12594900,251.25
2016-10-05,259.95,260.60,254.60,255.45,14581400,255.45
2016-10-04,256.85,259.95,254.90,258.20,14728400,258.20
2016-10-03,251.00,256.90,250.10,256.15,16420200,256.15
2016-09-30,248.05,253.30,246.95,252.15,13731700,252.15
2016-09-29,263.00,263.50,243.30,250.35,43764200,250.35
2016-09-28,260.40,262.45,259.05,260.75,16256100,260.75
2016-09-27,263.55,264.30,259.00,260.00,15778900,260.00
2016-09-26,268.50,268.70,261.80,262.55,14426100,262.55
2016-09-23,275.80,275.85,269.90,271.25,16343200,271.25
2016-09-22,276.00,277.90,272.30,275.50,13532900,275.50
2016-09-21,272.80,273.00,266.95,269.90,11578800,269.90
2016-09-20,271.90,274.20,269.35,272.10,10027600,272.10
2016-09-19,268.00,272.40,267.80,271.60,13767600,271.60
2016-09-16,271.75,275.60,266.30,267.35,29959500,267.35
2016-09-15,271.70,273.75,268.20,270.60,11032100,270.60
2016-09-14,266.70,273.80,266.35,271.45,15279800,271.45
2016-09-13,268.20,268.20,268.20,268.20,000,268.20
2016-09-12,267.00,269.45,262.70,268.20,18743000,268.20
2016-09-09,274.55,276.00,270.10,274.10,15136200,274.10
2016-09-08,278.60,280.70,275.55,276.35,11924000,276.35
2016-09-07,274.00,283.75,272.15,278.15,32162800,278.15
2016-09-06,262.70,273.90,262.70,272.70,21158200,272.70
2016-09-05,261.30,261.30,261.30,261.30,000,261.30
2016-09-02,262.50,264.30,260.25,261.30,7303600,261.30
2016-09-01,258.75,264.00,258.75,260.95,16453500,260.95
2016-08-31,257.10,260.85,257.00,258.00,15369100,258.00
2016-08-30,252.00,256.90,252.00,256.25,13864500,256.25
