Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,110.30,112.00,104.15,107.40,66753300,107.40
2017-01-31,101.20,119.00,97.80,110.10,283053000,110.10
2017-01-30,79.80,100.80,79.50,97.70,154863500,97.70
2017-01-27,76.00,78.25,75.65,78.00,7972300,78.00
2017-01-26,76.15,76.15,76.15,76.15,000,76.15
2017-01-25,75.45,76.90,73.75,76.15,24904000,76.15
2017-01-24,73.50,76.25,73.40,75.90,16981200,75.90
2017-01-23,71.40,73.65,70.40,73.35,16183300,73.35
2017-01-20,69.50,72.60,69.50,71.50,27427300,71.50
2017-01-19,67.30,69.85,66.85,69.35,21453800,69.35
2017-01-18,69.35,69.60,66.85,67.45,9667600,67.45
2017-01-17,69.95,70.25,68.90,69.25,5404700,69.25
2017-01-16,69.50,70.35,68.90,69.90,5485500,69.90
2017-01-13,72.00,72.00,66.30,68.80,26945200,68.80
2017-01-12,74.45,74.50,71.35,72.15,15143400,72.15
2017-01-11,74.70,75.45,74.25,74.60,2825500,74.60
2017-01-10,75.00,75.00,73.70,74.50,2250000,74.50
2017-01-09,73.45,74.50,73.00,74.10,2810400,74.10
2017-01-06,73.80,74.90,72.70,72.90,5192100,72.90
2017-01-05,74.00,75.20,73.40,74.80,5251100,74.80
2017-01-04,72.85,74.80,72.20,74.15,4840700,74.15
2017-01-03,74.90,75.45,72.85,73.40,4051100,73.40
2017-01-02,74.50,75.65,73.40,74.95,3312600,74.95
2016-12-30,73.10,74.55,72.15,74.15,6154900,74.15
2016-12-29,71.40,73.10,70.80,72.75,11121300,72.75
2016-12-28,70.05,72.00,70.05,71.40,7177300,71.40
2016-12-27,69.45,70.35,68.15,70.00,4907200,70.00
2016-12-26,71.45,71.45,69.10,69.40,3545500,69.40
2016-12-23,72.00,72.00,70.50,70.80,3829300,70.80
2016-12-22,72.30,72.65,71.10,71.50,4521700,71.50
2016-12-21,73.80,74.65,72.00,72.75,5324100,72.75
2016-12-20,76.65,76.65,73.00,73.25,8448500,73.25
2016-12-19,76.00,77.15,75.80,76.40,4973800,76.40
2016-12-16,77.00,77.20,75.25,76.20,5184600,76.20
2016-12-15,75.60,77.50,75.60,76.95,4585300,76.95
2016-12-14,76.95,77.85,75.95,77.15,6911400,77.15
2016-12-13,75.60,77.35,75.50,77.05,5589300,77.05
2016-12-12,76.00,76.55,74.50,75.60,6320900,75.60
2016-12-09,76.55,77.40,75.80,76.80,4396900,76.80
2016-12-08,76.05,77.05,75.80,76.65,4707600,76.65
2016-12-07,74.70,76.60,73.95,75.45,11419300,75.45
2016-12-06,72.65,74.65,72.65,74.40,5464100,74.40
2016-12-05,72.65,74.25,71.70,72.65,7542200,72.65
2016-12-02,71.05,74.00,71.05,73.45,12503600,73.45
2016-12-01,77.10,77.25,72.00,72.80,15678700,72.80
2016-11-30,79.60,79.90,76.60,77.45,11079100,77.45
2016-11-29,78.30,79.70,77.50,79.25,18331300,79.25
2016-11-28,73.50,76.40,73.35,75.80,7104100,75.80
2016-11-25,72.00,74.00,71.75,73.65,3677000,73.65
2016-11-24,71.90,72.95,71.10,71.45,8439100,71.45
2016-11-23,71.50,73.40,71.00,72.90,4517500,72.90
2016-11-22,71.40,71.95,70.45,70.95,9318200,70.95
2016-11-21,71.10,72.40,70.75,71.10,9381600,71.10
2016-11-18,70.60,71.80,69.30,71.10,4389400,71.10
2016-11-17,70.00,71.45,69.50,69.95,4351200,69.95
2016-11-16,72.80,72.80,69.60,70.55,6466400,70.55
2016-11-15,70.90,72.20,69.10,71.35,6970000,71.35
2016-11-14,69.95,69.95,69.95,69.95,000,69.95
2016-11-11,72.70,72.80,69.80,69.95,6117600,69.95
2016-11-10,72.90,74.45,72.60,73.05,4783800,73.05
2016-11-09,69.00,72.70,65.80,72.30,10839900,72.30
2016-11-08,72.95,73.70,71.75,73.00,5116800,73.00
2016-11-07,73.90,74.10,72.50,73.20,4510900,73.20
2016-11-04,73.80,74.45,71.60,72.15,6357900,72.15
2016-11-03,74.00,75.95,73.20,73.55,7406900,73.55
2016-11-02,76.00,76.20,74.05,74.30,5945700,74.30
2016-11-01,76.80,77.85,76.35,76.60,4494000,76.60
2016-10-31,76.20,76.20,76.20,76.20,000,76.20
2016-10-28,78.00,78.60,76.00,76.20,6669500,76.20
2016-10-27,78.00,79.00,76.20,77.50,19099200,77.50
2016-10-26,75.95,79.70,75.15,78.70,18478600,78.70
2016-10-25,74.05,76.95,74.05,75.30,20412100,75.30
2016-10-24,78.10,79.40,76.20,76.80,15832800,76.80
2016-10-21,78.30,80.60,77.40,80.00,9529000,80.00
2016-10-20,78.05,79.95,77.55,78.30,11699500,78.30
2016-10-19,72.65,78.20,72.55,76.30,9686600,76.30
2016-10-18,72.75,73.80,71.10,72.80,12077200,72.80
2016-10-17,75.00,75.35,72.05,72.25,7458900,72.25
2016-10-14,76.40,76.80,74.45,74.70,7388900,74.70
2016-10-13,79.75,80.05,75.70,76.05,11479700,76.05
2016-10-12,79.85,79.85,79.85,79.85,000,79.85
2016-10-11,79.85,79.85,79.85,79.85,000,79.85
