Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1261.00,1315.50,1246.00,1307.75,2248300,1307.75
2017-01-31,1244.05,1254.90,1236.55,1252.05,1283500,1252.05
2017-01-30,1251.00,1256.70,1233.05,1239.70,764800,1239.70
2017-01-27,1265.80,1269.00,1250.80,1253.35,1004000,1253.35
2017-01-26,1265.40,1265.40,1265.40,1265.40,000,1265.40
2017-01-25,1259.95,1269.00,1251.45,1265.40,1643700,1265.40
2017-01-24,1235.00,1256.95,1234.15,1251.55,1981400,1251.55
2017-01-23,1212.30,1235.00,1212.00,1231.25,1971100,1231.25
2017-01-20,1219.90,1240.70,1209.00,1220.25,1007900,1220.25
2017-01-19,1228.10,1230.05,1211.00,1220.35,962400,1220.35
2017-01-18,1212.65,1233.00,1212.65,1227.80,1190900,1227.80
2017-01-17,1220.00,1222.60,1207.85,1214.10,935700,1214.10
2017-01-16,1211.90,1225.40,1202.00,1217.50,793000,1217.50
2017-01-13,1223.80,1236.50,1203.00,1215.65,1059100,1215.65
2017-01-12,1234.10,1235.00,1208.35,1219.90,1447700,1219.90
2017-01-11,1185.00,1239.15,1185.00,1233.80,5867900,1233.80
2017-01-10,1170.00,1171.10,1142.05,1160.70,2779900,1160.70
2017-01-09,1146.10,1163.45,1138.10,1159.25,713100,1159.25
2017-01-06,1132.00,1155.00,1130.30,1144.05,1139600,1144.05
2017-01-05,1107.00,1129.85,1104.05,1127.55,2264100,1127.55
2017-01-04,1094.00,1107.40,1093.00,1100.15,795400,1100.15
2017-01-03,1088.00,1113.90,1082.05,1100.60,957600,1100.60
2017-01-02,1109.95,1114.65,1082.35,1087.45,512300,1087.45
2016-12-30,1102.50,1115.95,1097.50,1107.90,909800,1107.90
2016-12-29,1076.10,1109.00,1074.25,1105.65,1340200,1105.65
2016-12-28,1067.80,1097.90,1060.20,1082.10,1267700,1082.10
2016-12-27,1060.00,1067.20,1051.10,1063.35,1193100,1063.35
2016-12-26,1061.00,1064.50,1048.80,1060.50,705600,1060.50
2016-12-23,1051.05,1069.40,1037.00,1062.00,838300,1062.00
2016-12-22,1079.00,1080.60,1049.25,1060.80,899700,1060.80
2016-12-21,1075.00,1099.95,1063.05,1086.25,1544700,1086.25
2016-12-20,1086.85,1088.90,1067.25,1071.90,1103700,1071.90
2016-12-19,1081.00,1094.25,1074.10,1084.90,769000,1084.90
2016-12-16,1082.10,1094.15,1069.20,1082.70,2265400,1082.70
2016-12-15,1060.00,1092.90,1057.05,1081.05,1327100,1081.05
2016-12-14,1088.95,1088.95,1068.60,1071.85,791200,1071.85
2016-12-13,1081.25,1094.00,1076.00,1089.80,784700,1089.80
2016-12-12,1108.80,1108.80,1082.95,1085.30,412000,1085.30
2016-12-09,1105.00,1116.95,1092.35,1112.85,1068400,1112.85
2016-12-08,1081.90,1106.60,1081.00,1098.30,1091400,1098.30
2016-12-07,1086.00,1088.45,1057.55,1076.15,998300,1076.15
