Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,293.00,303.40,289.60,294.35,7891900,294.35
2017-01-31,333.00,333.00,282.70,293.80,17048100,293.80
2017-01-30,351.55,356.00,327.00,328.70,3144900,328.70
2017-01-27,352.25,356.70,352.25,353.90,570500,353.90
2017-01-26,351.75,351.75,351.75,351.75,000,351.75
2017-01-25,354.75,354.75,348.45,351.75,1602500,351.75
2017-01-24,350.95,352.55,344.30,350.65,1219400,350.65
2017-01-23,352.15,352.90,346.00,346.80,1309500,346.80
2017-01-20,357.00,357.85,350.45,353.20,766100,353.20
2017-01-19,350.20,359.90,348.85,358.25,1209100,358.25
2017-01-18,352.85,354.50,349.20,350.55,587300,350.55
2017-01-17,355.70,358.00,350.40,353.30,670800,353.30
2017-01-16,354.00,358.85,352.55,355.55,368000,355.55
2017-01-13,357.05,358.65,351.40,353.80,901800,353.80
2017-01-12,357.80,361.05,353.90,358.85,1760200,358.85
2017-01-11,352.70,358.00,351.45,353.25,1590500,353.25
2017-01-10,351.00,355.40,349.60,353.55,1066400,353.55
2017-01-09,354.25,355.30,347.75,349.20,210500,349.20
2017-01-06,351.90,357.40,351.05,354.25,792100,354.25
2017-01-05,349.20,353.50,343.55,350.10,1530500,350.10
2017-01-04,342.00,354.00,337.00,352.35,2191300,352.35
2017-01-03,344.20,345.95,338.15,341.50,1121800,341.50
2017-01-02,344.95,346.85,342.05,344.20,569600,344.20
2016-12-30,343.10,345.45,336.50,343.45,1445900,343.45
2016-12-29,338.70,343.80,338.15,341.90,1098600,341.90
2016-12-28,332.00,345.00,332.00,338.90,1619300,338.90
2016-12-27,325.00,333.90,324.25,331.85,463000,331.85
2016-12-26,336.50,339.00,325.10,326.85,1358300,326.85
2016-12-23,337.00,339.25,331.90,336.40,941500,336.40
2016-12-22,335.50,340.50,334.00,337.20,1364800,337.20
2016-12-21,347.75,349.50,335.00,335.95,1882900,335.95
2016-12-20,345.00,349.80,342.15,345.45,2721600,345.45
2016-12-19,357.45,357.45,344.05,344.95,1535500,344.95
2016-12-16,356.00,357.50,351.75,355.65,3328700,355.65
2016-12-15,356.35,359.15,350.25,351.10,3049400,351.10
2016-12-14,356.10,361.90,354.90,356.35,913100,356.35
2016-12-13,352.00,357.50,350.90,355.40,1208700,355.40
2016-12-12,359.60,362.25,350.00,351.60,2470600,351.60
2016-12-09,372.90,372.90,355.80,358.00,3412000,358.00
2016-12-08,380.00,382.80,369.00,370.25,1371200,370.25
2016-12-07,381.95,384.40,376.95,378.90,2016700,378.90
2016-12-06,386.55,388.95,377.00,381.70,1076400,381.70
2016-12-05,384.90,396.05,381.75,386.05,1838200,386.05
2016-12-02,385.10,393.00,381.40,385.90,2368600,385.90
2016-12-01,374.80,394.80,372.60,386.55,3321800,386.55
2016-11-30,371.50,378.00,360.25,375.45,2388800,375.45
2016-11-29,363.55,373.25,363.50,369.80,1114200,369.80
2016-11-28,355.00,366.20,355.00,363.50,841800,363.50
2016-11-25,360.90,363.10,355.00,355.60,1238700,355.60
2016-11-24,358.90,363.90,355.90,360.40,1568600,360.40
2016-11-23,361.05,363.75,356.30,360.20,2133400,360.20
2016-11-22,360.15,364.95,357.35,359.45,2316200,359.45
2016-11-21,353.00,364.50,351.20,359.65,1520200,359.65
2016-11-18,355.80,359.30,347.15,351.90,3429800,351.90
2016-11-17,360.90,369.95,354.60,358.85,1390000,358.85
2016-11-16,368.95,368.95,355.20,360.10,1746500,360.10
2016-11-15,359.05,373.00,354.60,364.85,2823300,364.85
2016-11-14,365.20,365.20,365.20,365.20,000,365.20
2016-11-11,378.55,381.85,361.25,365.20,1765700,365.20
2016-11-10,366.00,393.25,364.50,387.50,1824100,387.50
2016-11-09,347.50,367.40,325.00,362.40,1454100,362.40
2016-11-08,355.90,365.50,354.40,360.65,2131900,360.65
2016-11-07,369.90,369.90,353.10,355.40,2078000,355.40
2016-11-04,379.95,382.15,359.00,364.05,1707300,364.05
2016-11-03,367.95,384.50,364.05,380.90,2638200,380.90
