Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,33.10,33.20,32.05,32.85,380900,32.85
2017-01-31,32.65,33.60,32.20,33.15,604200,33.15
2017-01-30,31.30,32.50,30.55,32.30,1039200,32.30
2017-01-27,29.75,30.30,29.50,29.80,247100,29.80
2017-01-26,29.55,29.55,29.55,29.55,000,29.55
2017-01-25,29.70,29.70,29.35,29.55,41600,29.55
2017-01-24,29.20,29.70,29.20,29.30,37300,29.30
2017-01-23,29.50,29.90,29.10,29.25,42700,29.25
2017-01-20,29.95,30.30,29.20,29.35,56500,29.35
2017-01-19,30.50,30.50,29.70,29.95,29000,29.95
2017-01-18,30.20,30.50,30.00,30.05,33900,30.05
2017-01-17,30.20,30.75,30.00,30.15,51900,30.15
2017-01-16,29.45,30.70,29.45,30.10,198700,30.10
2017-01-13,29.90,29.90,29.35,29.45,44400,29.45
2017-01-12,29.70,29.70,29.25,29.50,54100,29.50
2017-01-11,29.10,29.70,29.10,29.60,128600,29.60
2017-01-10,29.50,29.55,28.50,29.05,82500,29.05
2017-01-09,29.45,29.50,29.00,29.35,45900,29.35
2017-01-06,29.55,29.70,29.10,29.20,52300,29.20
2017-01-05,29.00,29.60,29.00,29.25,47500,29.25
2017-01-04,29.15,29.40,29.10,29.15,16900,29.15
2017-01-03,29.35,29.40,29.10,29.15,31400,29.15
2017-01-02,28.95,29.20,28.70,29.05,30500,29.05
2016-12-30,28.75,29.20,28.55,28.65,98500,28.65
2016-12-29,28.20,28.90,28.20,28.75,16300,28.75
2016-12-28,28.50,29.25,28.20,28.45,46100,28.45
2016-12-27,28.25,28.60,28.10,28.45,43500,28.45
2016-12-26,29.00,29.15,28.20,28.30,50600,28.30
2016-12-23,28.50,29.15,28.50,29.00,31100,29.00
2016-12-22,29.15,29.45,28.70,28.90,44100,28.90
2016-12-21,29.30,29.75,29.00,29.15,57200,29.15
2016-12-20,31.25,31.25,29.05,29.30,281700,29.30
2016-12-19,29.30,32.00,29.10,30.95,213300,30.95
2016-12-16,29.55,29.55,29.10,29.20,43900,29.20
2016-12-15,29.50,29.90,29.05,29.25,52400,29.25
2016-12-14,29.50,30.05,29.10,29.35,42700,29.35
2016-12-13,29.70,29.70,29.10,29.40,38500,29.40
2016-12-12,29.50,29.70,29.20,29.40,25100,29.40
2016-12-09,29.50,29.70,29.40,29.55,64200,29.55
2016-12-08,29.30,29.70,29.30,29.40,47800,29.40
2016-12-07,29.80,29.95,29.20,29.40,75000,29.40
2016-12-06,29.50,30.10,29.35,29.55,46000,29.55
2016-12-05,29.20,29.95,29.10,29.80,69600,29.80
2016-12-02,29.30,29.90,29.05,29.15,59600,29.15
2016-12-01,29.70,29.95,29.15,29.35,64300,29.35
2016-11-30,29.30,29.85,29.30,29.70,39500,29.70
2016-11-29,29.30,29.60,29.15,29.30,31200,29.30
2016-11-28,28.90,29.70,28.80,29.30,63300,29.30
2016-11-25,29.25,29.50,28.90,29.35,45000,29.35
2016-11-24,28.75,29.40,28.60,29.00,42400,29.00
2016-11-23,28.70,29.15,28.55,28.70,73200,28.70
2016-11-22,29.35,29.35,28.40,29.00,99400,29.00
2016-11-21,29.80,30.30,28.50,29.05,208200,29.05
2016-11-18,30.00,30.35,29.35,29.80,92200,29.80
2016-11-17,29.90,30.40,29.65,29.90,80400,29.90
2016-11-16,31.20,31.25,28.80,29.60,215100,29.60
2016-11-15,31.00,31.50,30.35,30.65,299200,30.65
2016-11-14,30.35,30.35,30.35,30.35,000,30.35
2016-11-11,31.00,32.45,30.05,30.35,442100,30.35
2016-11-10,29.00,31.45,29.00,30.95,640900,30.95
2016-11-09,27.95,28.60,23.20,28.30,317200,28.30
2016-11-08,29.40,29.40,28.45,28.65,91100,28.65
2016-11-07,28.80,29.50,28.45,28.95,146000,28.95
2016-11-04,29.50,29.80,28.90,29.10,88100,29.10
2016-11-03,29.75,29.85,29.45,29.60,69500,29.60
2016-11-02,29.55,29.90,29.20,29.55,134100,29.55
2016-11-01,30.60,31.20,28.80,29.20,457600,29.20
2016-10-31,30.75,30.75,30.75,30.75,000,30.75
2016-10-28,30.50,30.90,30.40,30.75,69200,30.75
2016-10-27,30.95,30.95,30.40,30.75,67700,30.75
2016-10-26,30.60,30.80,30.20,30.70,70100,30.70
2016-10-25,30.80,30.95,30.50,30.60,25100,30.60
2016-10-24,30.75,30.95,30.65,30.80,64600,30.80
2016-10-21,30.70,30.90,30.25,30.45,58100,30.45
2016-10-20,30.65,31.00,30.40,30.70,84100,30.70
2016-10-19,30.40,30.75,30.25,30.35,51600,30.35
2016-10-18,30.50,30.60,30.00,30.40,63100,30.40
2016-10-17,31.00,31.00,29.80,29.95,135100,29.95
2016-10-14,31.00,31.10,30.40,30.50,58000,30.50
2016-10-13,30.85,31.20,30.60,30.85,138100,30.85
2016-10-12,30.85,30.85,30.85,30.85,000,30.85
2016-10-11,30.85,30.85,30.85,30.85,000,30.85
2016-10-10,31.10,31.20,30.60,30.85,54300,30.85
2016-10-07,30.80,30.95,30.00,30.55,91100,30.55
2016-10-06,31.50,31.50,30.70,30.80,65600,30.80
2016-10-05,31.50,31.50,31.10,31.25,78100,31.25
2016-10-04,31.70,31.70,30.50,31.20,158100,31.20
2016-10-03,30.10,31.00,30.10,30.60,63700,30.60
2016-09-30,30.00,30.45,29.80,30.15,79400,30.15
2016-09-29,31.50,31.50,29.80,30.05,162300,30.05
2016-09-28,30.90,31.50,30.90,31.05,141600,31.05
2016-09-27,31.00,31.50,30.70,30.85,110500,30.85
2016-09-26,31.30,31.35,30.80,30.90,62400,30.90
2016-09-23,31.40,31.70,31.00,31.10,63900,31.10
2016-09-22,31.30,31.85,31.15,31.40,46700,31.40
2016-09-21,31.05,31.35,30.95,31.10,32100,31.10
2016-09-20,31.05,31.35,30.90,31.05,64500,31.05
2016-09-19,31.90,31.90,31.10,31.15,53200,31.15
2016-09-16,31.80,32.35,30.85,31.35,158400,31.35
2016-09-15,31.50,32.25,31.50,31.75,78500,31.75
2016-09-14,32.20,32.20,31.45,31.60,104700,31.60
2016-09-13,31.50,31.50,31.50,31.50,000,31.50
2016-09-12,31.20,32.40,31.20,31.50,114000,31.50
2016-09-09,32.95,33.40,32.60,32.70,103300,32.70
2016-09-08,32.15,34.20,32.15,32.95,484400,32.95
2016-09-07,31.15,32.50,31.15,32.15,295200,32.15
2016-09-06,31.30,31.70,31.00,31.15,68500,31.15
2016-09-05,30.95,30.95,30.95,30.95,000,30.95
2016-09-02,31.05,31.20,30.80,30.95,32700,30.95
2016-09-01,31.60,31.75,30.75,31.05,61300,31.05
2016-08-31,31.00,31.80,30.80,31.60,152100,31.60
2016-08-30,30.30,31.00,30.25,30.85,82700,30.85
2016-08-29,30.65,30.80,30.15,30.30,70200,30.30
2016-08-26,31.00,31.35,30.50,30.55,48900,30.55
2016-08-25,31.25,31.50,30.75,30.80,76000,30.80
2016-08-24,31.50,31.60,31.05,31.15,40200,31.15
2016-08-23,31.50,31.70,31.10,31.20,82000,31.20
2016-08-22,31.55,31.85,31.30,31.40,55300,31.40
2016-08-19,31.50,31.90,31.20,31.55,72500,31.55
2016-08-18,31.15,31.70,30.70,31.35,113900,31.35
2016-08-17,31.05,31.15,30.60,30.70,57600,30.70
2016-08-16,30.70,31.30,30.15,30.95,176100,30.95
2016-08-15,31.65,31.65,31.65,31.65,000,31.65
2016-08-12,31.15,32.35,30.60,31.65,254700,31.65
2016-08-11,31.45,31.45,30.90,31.05,96100,31.05
2016-08-10,31.70,31.85,31.40,31.40,60500,31.40
2016-08-09,31.95,32.00,31.60,31.70,76700,31.70
2016-08-08,32.00,32.25,31.65,31.80,44200,31.80
2016-08-05,31.90,32.00,31.65,31.90,103100,31.90
2016-08-04,31.85,31.95,31.30,31.60,78100,31.60
2016-08-03,31.90,31.95,31.35,31.60,72800,31.60
2016-08-02,32.30,32.30,31.80,31.85,88900,31.85
2016-08-01,32.90,32.90,32.10,32.20,88400,32.20
2016-07-29,32.80,32.90,32.40,32.45,87200,32.45
2016-07-28,33.25,33.35,32.70,32.80,101800,32.80
2016-07-27,33.45,33.50,32.95,33.00,62300,33.00
2016-07-26,33.50,33.95,33.05,33.10,103900,33.10
2016-07-25,33.00,33.90,32.75,33.35,153800,33.35
2016-07-22,33.10,33.45,32.85,33.00,97800,33.00
2016-07-21,34.25,34.25,33.00,33.10,117500,33.10
2016-07-20,33.70,34.55,33.50,33.80,169400,33.80
2016-07-19,34.30,34.65,33.30,33.65,222400,33.65
2016-07-18,34.90,34.90,33.50,33.70,186100,33.70
2016-07-15,34.50,35.75,34.05,34.35,445100,34.35
2016-07-14,33.95,35.35,33.60,34.50,441300,34.50
2016-07-13,34.70,34.70,33.70,33.80,172300,33.80
2016-07-12,34.85,35.20,34.25,34.55,287100,34.55
2016-07-11,34.65,35.20,34.30,34.85,272400,34.85
2016-07-08,35.00,35.45,34.05,34.20,220500,34.20
2016-07-07,34.30,37.40,34.05,34.90,926300,34.90
2016-07-06,34.40,34.40,34.40,34.40,000,34.40
2016-07-05,33.55,35.00,33.55,34.40,688000,34.40
2016-07-04,32.80,34.50,32.80,33.90,552900,33.90
2016-07-01,32.60,33.50,32.60,33.05,222200,33.05
2016-06-30,33.55,33.55,32.60,32.65,160700,32.65
2016-06-29,33.35,33.85,32.80,33.05,146400,33.05
2016-06-28,32.85,33.50,32.60,33.25,197200,33.25
2016-06-27,32.00,33.45,31.80,32.85,265900,32.85
2016-06-24,31.95,32.45,30.80,31.80,345800,31.80
2016-06-23,33.75,33.80,32.80,33.00,192300,33.00
2016-06-22,33.10,34.90,32.50,33.40,688100,33.40
2016-06-21,33.95,34.00,32.80,33.05,224700,33.05
2016-06-20,32.55,34.40,32.40,33.70,764800,33.70
2016-06-17,31.20,33.70,30.80,33.20,1297100,33.20
2016-06-16,30.40,31.15,29.75,30.70,486700,30.70
2016-06-15,29.45,29.90,29.35,29.75,125300,29.75
2016-06-14,29.35,29.35,29.00,29.20,75600,29.20
2016-06-13,28.95,29.05,28.30,28.90,59400,28.90
2016-06-10,29.45,29.75,29.00,29.15,98400,29.15
2016-06-09,28.80,29.85,28.70,29.45,175700,29.45
2016-06-08,28.55,28.80,28.20,28.65,58000,28.65
2016-06-07,28.75,28.80,28.30,28.55,61300,28.55
2016-06-06,28.35,28.75,28.25,28.40,39600,28.40
2016-06-03,28.55,28.90,28.15,28.35,67200,28.35
2016-06-02,27.90,29.00,27.40,28.55,229300,28.55
2016-06-01,28.50,28.50,27.60,27.85,73600,27.85
2016-05-31,28.05,28.30,27.90,28.15,64200,28.15
2016-05-30,28.45,28.45,28.00,28.10,34100,28.10
2016-05-27,27.95,28.20,27.65,27.90,77500,27.90
2016-05-26,27.50,27.85,27.50,27.65,36200,27.65
2016-05-25,27.55,27.90,27.40,27.60,53500,27.60
2016-05-24,27.70,27.90,27.40,27.50,49700,27.50
2016-05-23,28.00,28.25,27.65,27.75,49500,27.75
2016-05-20,28.15,28.25,27.95,28.00,30100,28.00
2016-05-19,28.40,28.50,27.80,28.05,99500,28.05
2016-05-18,28.60,28.70,28.30,28.50,54900,28.50
2016-05-17,28.65,28.85,28.50,28.60,72000,28.60
2016-05-16,29.30,29.30,28.50,28.60,91700,28.60
2016-05-13,29.05,29.45,28.80,29.00,170300,29.00
2016-05-12,29.85,30.45,29.35,29.70,238500,29.70
2016-05-11,29.95,30.50,29.40,29.70,118400,29.70
2016-05-10,29.80,31.25,29.80,30.25,181800,30.25
2016-05-09,29.90,29.95,29.55,29.80,32200,29.80
2016-05-06,29.00,29.85,28.95,29.70,112200,29.70
2016-05-05,29.30,29.50,28.70,28.95,80700,28.95
2016-05-04,29.15,29.55,29.05,29.10,60800,29.10
2016-05-03,29.60,29.65,29.20,29.30,38700,29.30
2016-05-02,29.60,29.60,29.20,29.35,34800,29.35
2016-04-29,30.05,30.10,29.30,29.60,74200,29.60
2016-04-28,30.15,30.25,29.85,30.00,55500,30.00
2016-04-27,30.50,30.50,30.00,30.10,44300,30.10
2016-04-26,30.25,30.50,30.00,30.25,97900,30.25
2016-04-25,30.90,30.90,30.10,30.25,121400,30.25
2016-04-22,30.00,30.85,29.15,30.50,167600,30.50
2016-04-21,29.35,30.30,29.35,30.00,153300,30.00
2016-04-20,29.10,29.60,29.10,29.45,70600,29.45
2016-04-19,29.25,29.25,29.25,29.25,000,29.25
2016-04-18,29.30,29.85,29.20,29.25,59500,29.25
2016-04-15,29.40,29.40,29.40,29.40,000,29.40
2016-04-14,29.40,29.40,29.40,29.40,000,29.40
2016-04-13,29.75,29.80,29.15,29.40,145500,29.40
2016-04-12,29.90,29.90,29.40,29.55,40400,29.55
2016-04-11,29.55,29.95,29.10,29.60,59500,29.60
2016-04-08,29.35,29.50,29.10,29.20,65700,29.20
2016-04-07,29.85,29.85,29.25,29.35,45800,29.35
2016-04-06,29.75,29.85,29.25,29.40,40600,29.40
2016-04-05,29.40,30.75,29.40,29.75,161700,29.75
2016-04-04,29.70,30.10,29.65,30.00,108600,30.00
