Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,5900.00,6203.50,5886.00,6179.20,1212000,6179.20
2017-01-31,5889.00,5934.90,5875.50,5894.25,374600,5894.25
2017-01-30,5916.00,5939.00,5885.00,5894.95,323400,5894.95
2017-01-27,5842.00,5927.70,5825.05,5915.90,576900,5915.90
2017-01-26,5802.55,5802.55,5802.55,5802.55,000,5802.55
2017-01-25,5763.90,5834.00,5708.05,5802.55,1148700,5802.55
2017-01-24,5704.00,5745.75,5688.95,5737.20,301600,5737.20
2017-01-23,5668.95,5712.75,5643.80,5700.00,297500,5700.00
2017-01-20,5717.00,5749.00,5642.00,5668.95,444200,5668.95
2017-01-19,5675.00,5728.00,5675.00,5718.35,239000,5718.35
2017-01-18,5685.00,5719.00,5665.00,5684.45,308400,5684.45
2017-01-17,5690.00,5718.90,5657.05,5669.40,343000,5669.40
2017-01-16,5697.95,5725.20,5661.00,5676.90,290100,5676.90
2017-01-13,5792.00,5794.00,5683.65,5699.50,1086800,5699.50
2017-01-12,5770.00,5795.00,5742.00,5777.35,421600,5777.35
2017-01-11,5691.00,5772.90,5691.00,5762.35,539300,5762.35
2017-01-10,5680.00,5693.70,5641.00,5674.85,410400,5674.85
2017-01-09,5644.80,5680.00,5610.60,5658.50,345000,5658.50
2017-01-06,5650.00,5657.30,5597.00,5615.55,544600,5615.55
2017-01-05,5525.10,5649.90,5525.10,5634.95,744200,5634.95
2017-01-04,5530.00,5554.70,5494.00,5502.15,679400,5502.15
2017-01-03,5466.00,5524.20,5432.60,5508.40,631700,5508.40
2017-01-02,5320.05,5474.20,5267.80,5466.00,651300,5466.00
2016-12-30,5347.00,5377.90,5303.00,5319.55,559800,5319.55
2016-12-29,5217.20,5349.00,5217.20,5314.80,655300,5314.80
2016-12-28,5250.00,5278.00,5219.45,5231.25,595500,5231.25
2016-12-27,5185.00,5237.40,5117.20,5224.00,486700,5224.00
2016-12-26,5179.00,5257.80,5151.10,5167.35,510900,5167.35
2016-12-23,5050.00,5214.00,5041.00,5197.15,589000,5197.15
2016-12-22,5144.00,5144.00,5053.00,5084.40,399500,5084.40
2016-12-21,5119.40,5160.00,5073.55,5137.85,413000,5137.85
2016-12-20,5135.90,5147.50,5072.00,5108.00,377600,5108.00
2016-12-19,5175.00,5195.45,5104.05,5115.05,369100,5115.05
2016-12-16,5174.50,5207.00,5151.20,5188.65,1170500,5188.65
2016-12-15,5099.95,5197.00,5080.00,5152.05,457300,5152.05
2016-12-14,5179.95,5214.75,5130.20,5141.05,371600,5141.05
2016-12-13,5178.75,5207.00,5134.05,5163.15,484200,5163.15
2016-12-12,5228.00,5228.00,5120.05,5144.40,357400,5144.40
2016-12-09,5290.00,5312.50,5201.20,5235.00,562500,5235.00
2016-12-08,5172.00,5269.90,5170.00,5234.60,845900,5234.60
2016-12-07,5150.95,5209.75,5035.05,5116.65,590400,5116.65
2016-12-06,5220.00,5261.00,5118.05,5135.20,646600,5135.20
2016-12-05,5063.90,5219.90,5055.00,5202.95,578900,5202.95
2016-12-02,5220.00,5236.20,5046.00,5068.10,772200,5068.10
2016-12-01,5266.00,5307.50,5204.25,5252.10,1221800,5252.10
2016-11-30,5110.55,5282.00,5100.10,5266.00,1270600,5266.00
2016-11-29,4898.00,5119.00,4896.00,5088.15,874800,5088.15
2016-11-28,4866.00,4913.00,4833.00,4893.75,1387000,4893.75
2016-11-25,4849.00,4905.00,4792.45,4873.60,669500,4873.60
2016-11-24,4862.00,4883.90,4804.00,4830.15,550300,4830.15
2016-11-23,4945.00,4945.00,4860.00,4880.85,757700,4880.85
2016-11-22,4830.00,4956.00,4825.55,4934.55,845900,4934.55
2016-11-21,4990.00,4990.00,4765.30,4787.45,864600,4787.45
2016-11-18,4935.00,4989.90,4887.90,4950.90,699300,4950.90
2016-11-17,5030.00,5048.00,4916.30,4925.55,668700,4925.55
2016-11-16,4924.00,5009.40,4901.55,4990.80,1952200,4990.80
2016-11-15,5101.90,5119.05,4806.40,4846.60,2793900,4846.60
2016-11-14,5134.25,5134.25,5134.25,5134.25,000,5134.25
2016-11-11,5290.00,5292.95,5103.00,5134.25,1058400,5134.25
2016-11-10,5505.50,5517.25,5305.00,5328.50,942900,5328.50
2016-11-09,5305.00,5553.00,5305.00,5392.95,1299600,5392.95
2016-11-08,5727.80,5731.00,5581.50,5669.00,684000,5669.00
2016-11-07,5763.00,5784.85,5708.00,5715.95,532200,5715.95
2016-11-04,5789.00,5789.00,5667.30,5704.85,679800,5704.85
2016-11-03,5799.90,5859.90,5780.00,5805.55,585700,5805.55
2016-11-02,5805.00,5864.90,5785.00,5794.60,522300,5794.60
2016-11-01,5919.00,5974.00,5855.20,5878.10,1163800,5878.10
2016-10-31,5876.15,5876.15,5876.15,5876.15,000,5876.15
2016-10-28,5922.00,5928.55,5865.75,5876.15,935500,5876.15
2016-10-27,5897.00,5948.00,5789.10,5860.15,1864800,5860.15
2016-10-26,5796.60,5898.00,5785.00,5869.10,590800,5869.10
2016-10-25,5734.00,5799.00,5725.65,5781.45,339500,5781.45
2016-10-24,5666.00,5748.00,5666.00,5713.90,412400,5713.90
2016-10-21,5650.50,5670.00,5616.00,5650.20,224500,5650.20
2016-10-20,5615.00,5683.50,5615.00,5644.50,311700,5644.50
2016-10-19,5633.70,5647.90,5593.05,5604.60,384600,5604.60
2016-10-18,5621.00,5645.35,5580.10,5626.70,487700,5626.70
2016-10-17,5699.00,5699.00,5574.60,5599.10,400500,5599.10
2016-10-14,5760.20,5766.95,5669.10,5690.45,352300,5690.45
2016-10-13,5690.00,5752.80,5652.60,5718.55,441100,5718.55
2016-10-12,5712.35,5712.35,5712.35,5712.35,000,5712.35
2016-10-11,5712.35,5712.35,5712.35,5712.35,000,5712.35
