Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,172.65,173.30,169.30,170.90,8664200,170.90
2017-01-31,176.00,177.70,171.75,172.35,6200900,172.35
2017-01-30,176.85,177.90,174.50,175.70,4597100,175.70
2017-01-27,171.50,178.25,171.40,177.50,5076100,177.50
2017-01-26,171.35,171.35,171.35,171.35,000,171.35
2017-01-25,172.55,173.50,170.45,171.35,10929300,171.35
2017-01-24,169.70,174.20,169.70,172.35,6008000,172.35
2017-01-23,170.00,172.45,169.20,169.60,3768900,169.60
2017-01-20,173.70,174.10,169.80,170.45,3643800,170.45
2017-01-19,173.00,175.00,171.75,174.15,6564300,174.15
2017-01-18,176.00,176.25,172.00,172.75,5176200,172.75
2017-01-17,171.30,176.20,170.25,175.70,6560900,175.70
2017-01-16,169.35,173.15,169.00,170.65,4633700,170.65
2017-01-13,174.90,175.00,170.65,171.00,5360700,171.00
2017-01-12,165.00,174.35,164.50,173.70,10115400,173.70
2017-01-11,163.00,164.80,161.85,164.50,2303000,164.50
2017-01-10,163.35,163.80,161.70,162.30,2019800,162.30
2017-01-09,164.00,164.30,161.10,163.05,3808000,163.05
2017-01-06,165.05,166.30,163.60,164.00,4122800,164.00
2017-01-05,164.05,166.30,164.05,165.00,5544100,165.00
2017-01-04,165.05,167.50,164.35,164.85,3107700,164.85
2017-01-03,164.90,166.25,164.25,165.45,2040400,165.45
2017-01-02,165.05,167.15,164.40,164.80,2626800,164.80
2016-12-30,163.20,165.45,163.00,164.75,3536700,164.75
2016-12-29,160.50,164.25,160.50,163.55,4980000,163.55
2016-12-28,160.40,162.30,160.00,160.75,2165400,160.75
2016-12-27,159.90,161.45,159.50,160.40,2614900,160.40
2016-12-26,160.10,162.15,159.35,159.95,2402900,159.95
2016-12-23,160.10,161.85,157.90,161.05,2516000,161.05
2016-12-22,163.35,164.10,160.00,160.50,2415500,160.50
2016-12-21,162.35,164.90,161.05,163.65,3199000,163.65
2016-12-20,160.90,162.50,160.50,161.85,2401700,161.85
2016-12-19,161.00,161.25,159.25,159.90,2619200,159.90
2016-12-16,160.45,162.20,159.55,160.00,3607600,160.00
2016-12-15,162.70,164.55,159.75,160.20,2795100,160.20
2016-12-14,165.10,166.40,163.05,163.55,2795200,163.55
2016-12-13,166.35,167.00,163.05,164.80,2958900,164.80
2016-12-12,163.90,168.00,163.55,165.45,3103300,165.45
2016-12-09,163.45,164.40,161.10,164.05,2067900,164.05
2016-12-08,163.95,165.15,161.30,163.05,3462300,163.05
2016-12-07,163.85,165.80,162.50,163.15,3074500,163.15
2016-12-06,163.00,165.55,162.30,163.10,4461500,163.10
2016-12-05,160.55,163.20,160.55,162.45,2851800,162.45
2016-12-02,161.95,162.95,159.80,161.65,2927700,161.65
2016-12-01,163.15,164.95,161.15,161.90,3140000,161.90
2016-11-30,163.20,164.00,161.75,163.15,8062200,163.15
2016-11-29,164.50,165.20,162.20,163.00,5128900,163.00
2016-11-28,160.10,164.95,160.10,164.35,3835900,164.35
2016-11-25,157.95,162.45,155.50,161.50,4832200,161.50
2016-11-24,158.80,160.00,155.15,157.00,4259400,157.00
2016-11-23,154.40,161.00,150.95,159.85,8461000,159.85
2016-11-22,156.00,156.10,151.05,154.10,8815400,154.10
2016-11-21,159.00,159.85,154.45,154.90,8240200,154.90
2016-11-18,152.70,160.00,152.15,159.05,11036400,159.05
2016-11-17,150.00,152.70,149.20,151.80,5407200,151.80
2016-11-16,151.30,151.80,149.25,150.15,2820300,150.15
2016-11-15,151.40,152.55,149.00,150.15,3397700,150.15
2016-11-14,151.70,151.70,151.70,151.70,000,151.70
2016-11-11,154.00,154.00,150.80,151.70,3034500,151.70
2016-11-10,155.50,156.35,154.05,154.80,3688900,154.80
2016-11-09,147.70,156.00,145.60,154.10,6848400,154.10
2016-11-08,155.40,156.60,153.55,154.15,3741700,154.15
2016-11-07,154.15,156.90,153.35,155.10,3806000,155.10
2016-11-04,153.60,155.50,152.80,153.50,1995200,153.50
2016-11-03,156.80,157.30,152.50,153.05,3610000,153.05
2016-11-02,153.95,157.60,153.15,156.50,6798100,156.50
2016-11-01,151.70,156.55,150.70,155.00,3399000,155.00
2016-10-31,152.25,152.25,152.25,152.25,000,152.25
2016-10-28,151.90,154.95,150.25,152.25,6114800,152.25
2016-10-27,151.70,152.80,150.50,151.70,2751600,151.70
2016-10-26,151.45,152.90,151.10,151.85,1615400,151.85
2016-10-25,150.60,152.55,149.55,152.00,1694900,152.00
2016-10-24,149.85,152.00,149.70,151.35,1108200,151.35
2016-10-21,148.40,150.00,148.40,149.50,1520700,149.50
2016-10-20,149.75,149.90,148.35,149.00,2666600,149.00
2016-10-19,148.45,150.20,147.65,149.05,6718600,149.05
2016-10-18,148.00,148.80,147.15,148.00,8624800,148.00
2016-10-17,147.00,148.60,146.10,147.50,7877500,147.50
2016-10-14,145.30,145.60,143.50,145.00,3260300,145.00
2016-10-13,147.00,147.00,143.30,144.75,6351700,144.75
2016-10-12,146.65,146.65,146.65,146.65,000,146.65
2016-10-11,146.65,146.65,146.65,146.65,000,146.65
2016-10-10,148.80,149.45,145.90,146.65,4798100,146.65
2016-10-07,149.00,150.15,147.70,148.30,2354100,148.30
2016-10-06,153.20,153.85,148.50,148.95,4235900,148.95
2016-10-05,153.25,153.80,150.35,152.45,2883400,152.45
2016-10-04,150.80,152.85,150.45,152.25,2993800,152.25
2016-10-03,148.75,151.65,148.50,150.60,2048800,150.60
2016-09-30,149.20,151.85,147.30,148.00,3264900,148.00
2016-09-29,153.30,153.75,148.25,149.45,7538300,149.45
2016-09-28,152.50,153.60,152.15,152.70,1970600,152.70
2016-09-27,152.05,153.35,151.00,152.20,2450800,152.20
2016-09-26,155.50,156.50,151.30,152.15,4630900,152.15
2016-09-23,157.20,158.00,156.30,156.90,3864200,156.90
2016-09-22,156.75,157.30,155.00,157.00,2397700,157.00
2016-09-21,153.20,155.40,153.20,154.00,2773500,154.00
2016-09-20,154.90,155.00,153.00,153.40,3064700,153.40
2016-09-19,153.70,156.00,152.85,155.15,1850600,155.15
2016-09-16,154.55,156.95,152.40,153.05,6552600,153.05
2016-09-15,156.40,157.00,152.35,153.40,2688900,153.40
2016-09-14,152.00,156.60,152.00,155.70,3210600,155.70
2016-09-13,152.85,152.85,152.85,152.85,000,152.85
2016-09-12,156.80,158.20,152.25,152.85,3140300,152.85
2016-09-09,160.00,160.90,158.40,158.80,2126000,158.80
2016-09-08,159.10,162.00,159.05,159.75,2438300,159.75
2016-09-07,163.20,163.60,160.55,161.25,2543100,159.50
2016-09-06,160.50,164.00,160.50,163.55,4394900,161.78
2016-09-05,160.00,160.00,160.00,160.00,000,158.26
2016-09-02,159.20,160.80,157.75,160.00,3916600,158.26
2016-09-01,159.70,160.65,158.00,158.75,2819200,157.03
2016-08-31,160.30,162.25,158.55,159.25,9249400,157.52
2016-08-30,160.00,162.30,158.85,161.75,2427700,159.99
2016-08-29,158.00,160.00,156.80,159.55,1372300,157.82
2016-08-26,158.90,159.80,157.25,157.90,3297800,156.19
2016-08-25,160.70,161.50,158.10,158.65,7029100,156.93
2016-08-24,158.75,163.55,158.10,161.30,5657900,159.55
2016-08-23,163.20,163.60,157.75,159.00,6543400,157.27
2016-08-22,167.90,168.80,162.30,163.65,7453000,161.87
2016-08-19,167.65,170.00,165.85,166.75,4329600,164.94
2016-08-18,161.75,168.75,161.60,166.80,7346400,164.99
2016-08-17,160.55,162.00,160.10,161.55,1378100,159.80
2016-08-16,160.25,162.20,159.70,161.35,4280500,159.60
2016-08-15,160.55,160.55,160.55,160.55,000,158.81
2016-08-12,159.50,161.30,159.25,160.55,2328100,158.81
2016-08-11,159.00,160.00,157.20,159.55,1789200,157.82
2016-08-10,160.60,161.60,156.75,157.90,3266500,156.19
2016-08-09,159.55,162.25,159.15,159.85,2979100,158.12
2016-08-08,162.05,162.05,158.90,159.85,2117800,158.12
2016-08-05,160.00,163.00,159.05,161.45,2618300,159.70
2016-08-04,157.35,159.50,157.35,159.05,2505800,157.32
2016-08-03,158.90,159.35,156.70,157.50,2822800,155.79
2016-08-02,159.90,160.80,158.50,159.35,2300700,157.62
2016-08-01,158.60,160.00,157.45,159.40,3866600,157.67
2016-07-29,158.15,160.00,157.05,158.35,2519500,156.63
2016-07-28,159.10,160.00,156.30,158.60,8004700,156.88
2016-07-27,158.90,160.40,157.10,159.05,3185000,157.32
2016-07-26,157.80,158.85,157.10,158.10,1992700,156.38
2016-07-25,156.00,158.00,156.00,157.50,2301900,155.79
2016-07-22,155.00,157.10,154.10,156.60,3699400,154.90
2016-07-21,158.00,158.15,154.40,154.90,3001800,153.22
2016-07-20,156.20,158.00,155.45,157.35,3123000,155.64
2016-07-19,155.50,156.60,154.75,156.20,2722100,154.50
2016-07-18,156.00,156.80,154.65,155.60,3065700,153.91
2016-07-15,142.85,156.75,142.85,156.25,20806300,154.55
2016-07-14,156.75,159.20,156.75,158.70,2889300,156.98
2016-07-13,159.10,159.40,156.60,157.65,3126600,155.94
2016-07-12,157.70,159.35,157.35,158.30,2132200,156.58
2016-07-11,155.10,158.70,155.10,157.65,3070600,155.94
2016-07-08,152.25,154.45,150.65,153.80,1493800,152.13
2016-07-07,152.60,154.15,150.00,152.90,5160900,151.24
2016-07-06,152.60,152.60,152.60,152.60,000,150.94
2016-07-05,155.90,155.90,152.25,152.60,2756300,150.94
2016-07-04,156.00,158.00,154.25,155.95,2920400,154.26
2016-07-01,155.30,157.60,155.00,156.75,2518800,155.05
2016-06-30,152.45,157.00,152.35,156.30,7742800,154.60
2016-06-29,148.00,152.50,148.00,152.10,3055500,150.45
2016-06-28,150.60,150.65,147.15,148.00,2721100,146.39
2016-06-27,147.00,151.40,147.00,149.20,2373000,147.58
2016-06-24,145.95,149.95,143.25,149.20,2975700,147.58
2016-06-23,148.00,149.90,146.35,149.10,6374900,147.48
2016-06-22,152.00,153.35,150.20,152.60,2465000,150.94
2016-06-21,154.10,154.60,151.15,151.80,2654900,150.15
2016-06-20,150.75,154.95,150.75,154.45,2316500,152.77
2016-06-17,152.10,153.15,151.15,152.30,3030200,150.65
2016-06-16,154.15,154.50,150.10,151.80,3128000,150.15
2016-06-15,148.55,155.00,148.55,154.15,3819700,152.48
2016-06-14,148.35,149.15,147.10,148.25,2247100,146.64
2016-06-13,150.00,150.65,148.15,148.75,1152500,147.14
2016-06-10,151.00,152.75,150.05,151.50,2348700,149.86
2016-06-09,148.30,152.30,148.25,151.05,5910200,149.41
2016-06-08,148.80,149.65,147.20,148.15,3038200,146.54
2016-06-07,147.50,149.20,147.05,148.45,3467400,146.84
2016-06-06,148.00,148.35,146.40,147.10,2567400,145.50
2016-06-03,145.00,149.30,144.95,147.60,4359000,146.00
2016-06-02,144.30,145.95,144.00,144.95,3241700,143.38
2016-06-01,142.90,145.20,141.55,144.60,4648500,143.03
2016-05-31,144.10,147.95,139.90,143.15,41379100,141.60
2016-05-30,140.35,145.80,137.65,143.60,9543900,142.04
2016-05-27,141.50,141.70,139.40,140.10,2660500,138.58
2016-05-26,141.10,142.50,139.35,141.20,8037800,139.67
2016-05-25,139.10,142.00,139.05,141.85,2499700,140.31
2016-05-24,136.10,140.30,136.00,138.50,4872100,137.00
2016-05-23,137.25,138.00,135.30,135.70,2462900,134.23
2016-05-20,135.35,137.40,135.30,136.90,4718400,135.41
2016-05-19,135.80,136.00,133.40,135.35,4587000,133.88
2016-05-18,136.90,138.05,135.55,136.10,5082800,134.62
2016-05-17,140.50,141.60,136.15,137.00,7427700,135.51
2016-05-16,141.00,141.40,139.10,140.10,5114600,138.58
2016-05-13,140.50,141.70,140.10,141.00,2626700,139.47
2016-05-12,141.05,142.80,140.00,141.45,2443000,139.91
2016-05-11,140.65,143.60,139.40,141.50,4472000,139.96
