Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,335.35,345.70,331.55,344.75,1455300,344.75
2017-01-31,336.40,339.35,329.50,332.95,1384700,332.95
2017-01-30,341.40,341.40,334.65,336.60,1132600,336.60
2017-01-27,345.40,345.40,339.30,341.85,1337800,341.85
2017-01-26,341.15,341.15,341.15,341.15,000,341.15
2017-01-25,342.00,344.60,337.35,341.15,1571500,341.15
2017-01-24,333.90,339.00,332.20,338.60,791500,338.60
2017-01-23,328.00,334.75,327.05,333.90,1570300,333.90
2017-01-20,334.60,335.90,326.20,327.70,1888600,327.70
2017-01-19,329.00,339.50,327.50,337.45,2205600,337.45
2017-01-18,329.75,330.75,326.85,328.10,1046900,328.10
2017-01-17,330.00,332.40,327.30,328.50,911000,328.50
2017-01-16,325.00,331.00,324.50,329.80,1106700,329.80
2017-01-13,329.00,329.40,319.65,323.95,829900,323.95
2017-01-12,328.70,329.40,322.65,325.65,881300,325.65
2017-01-11,330.00,330.00,325.00,326.35,1278000,326.35
2017-01-10,320.00,327.05,320.00,326.30,1548500,326.30
2017-01-09,319.80,323.00,313.80,317.70,1201100,317.70
2017-01-06,323.00,325.30,317.50,318.70,700500,318.70
2017-01-05,317.00,324.00,315.85,322.95,1886400,322.95
2017-01-04,308.55,313.95,308.55,310.25,850900,310.25
2017-01-03,309.50,315.10,306.60,308.40,1558300,308.40
2017-01-02,301.00,309.35,297.25,308.55,894200,308.55
2016-12-30,297.50,300.00,295.20,299.10,1039900,299.10
2016-12-29,288.25,297.90,288.25,295.75,1274000,295.75
2016-12-28,296.85,297.15,291.00,291.40,922400,291.40
2016-12-27,290.00,298.65,288.80,296.70,1316800,296.70
2016-12-26,292.00,293.65,286.75,287.75,533700,287.75
2016-12-23,294.00,296.00,290.30,293.70,1183800,293.70
2016-12-22,296.10,298.80,294.30,295.55,1349800,295.55
2016-12-21,298.60,299.50,296.35,297.10,977900,297.10
2016-12-20,297.65,299.70,297.10,298.60,1223000,298.60
2016-12-19,297.05,301.00,293.10,297.65,1120400,297.65
