Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,464.05,475.90,457.15,474.60,5572600,474.60
2017-01-31,460.20,471.40,460.10,463.05,4543700,463.05
2017-01-30,468.50,468.50,460.15,462.05,3322700,462.05
2017-01-27,469.85,473.80,463.35,469.30,4977400,469.30
2017-01-26,469.50,469.50,469.50,469.50,000,469.50
2017-01-25,467.00,476.75,466.10,469.50,6307500,469.50
2017-01-24,462.00,466.50,458.55,464.25,3731700,464.25
2017-01-23,450.90,464.00,450.60,461.80,4349900,461.80
2017-01-20,466.00,467.80,452.60,454.50,4927300,454.50
2017-01-19,468.70,468.80,462.35,467.15,3445000,467.15
2017-01-18,454.75,470.00,454.25,468.35,9116900,468.35
2017-01-17,459.05,459.60,450.90,454.25,3342700,454.25
2017-01-16,444.25,459.50,443.25,458.45,6675900,458.45
2017-01-13,450.00,450.40,441.20,446.35,4232100,446.35
2017-01-12,449.00,451.15,443.25,447.55,5361400,447.55
2017-01-11,435.30,450.95,434.65,448.25,11431200,448.25
2017-01-10,422.70,432.50,422.60,431.90,5118500,431.90
2017-01-09,423.70,424.20,419.35,422.00,3122700,422.00
2017-01-06,420.50,425.40,415.60,419.55,4138000,419.55
2017-01-05,409.10,422.50,407.30,419.30,7196200,419.30
2017-01-04,404.10,409.00,401.40,405.45,3344000,405.45
2017-01-03,407.05,408.90,401.25,403.30,3338800,403.30
2017-01-02,393.45,408.35,388.90,406.75,5578100,406.75
2016-12-30,393.00,395.40,388.10,391.25,3055000,391.25
2016-12-29,388.50,393.90,387.25,392.35,3422000,392.35
2016-12-28,393.35,393.75,386.50,388.45,3940100,388.45
2016-12-27,382.00,394.70,377.35,392.40,3894000,392.40
2016-12-26,388.50,389.60,378.50,380.10,3232100,380.10
2016-12-23,393.50,395.55,387.05,390.85,3992100,390.85
2016-12-22,404.50,405.85,390.25,392.20,4084400,392.20
2016-12-21,405.00,408.30,401.40,404.50,2747300,404.50
2016-12-20,411.80,414.00,401.10,403.50,3541000,403.50
2016-12-19,411.00,416.30,409.10,410.35,2347300,410.35
2016-12-16,422.80,422.80,412.50,414.05,3547800,414.05
2016-12-15,415.60,427.40,412.85,419.30,4454100,419.30
2016-12-14,422.00,426.20,416.75,417.75,3247200,417.75
2016-12-13,428.95,428.95,417.50,421.10,3195100,421.10
2016-12-12,428.90,430.45,423.15,424.20,2491500,424.20
2016-12-09,432.70,435.35,428.40,430.55,4094500,430.55
2016-12-08,417.70,432.75,417.00,431.30,9445600,431.30
2016-12-07,419.30,421.40,408.70,411.90,4700300,411.90
2016-12-06,414.00,420.70,412.00,418.45,3883400,418.45
2016-12-05,407.60,414.60,404.55,413.50,3500100,413.50
2016-12-02,405.85,411.90,404.40,406.40,3623100,406.40
2016-12-01,417.35,418.50,407.75,409.60,3073800,409.60
2016-11-30,409.70,416.00,404.30,415.05,5378400,415.05
2016-11-29,415.00,417.60,407.80,408.95,6015300,408.95
2016-11-28,407.90,411.70,402.45,406.60,4679200,406.60
2016-11-25,399.00,413.50,397.50,408.75,7090400,408.75
2016-11-24,387.05,400.70,385.60,398.15,7117000,398.15
2016-11-23,381.00,394.80,380.05,392.70,5124200,392.70
2016-11-22,376.70,379.70,372.80,378.05,4143400,378.05
2016-11-21,385.45,389.60,366.30,371.45,6566200,371.45
2016-11-18,390.05,412.40,381.25,385.10,4660100,385.10
2016-11-17,393.50,398.60,387.00,392.75,4361700,392.75
2016-11-16,397.00,401.40,380.85,392.75,8230700,392.75
