Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,452.25,457.00,436.45,449.70,4061000,449.70
2017-01-31,484.70,484.70,425.50,452.20,7804600,452.20
2017-01-30,467.00,478.00,461.20,471.60,3024000,471.60
2017-01-27,465.40,470.60,463.20,467.10,1795000,467.10
2017-01-26,465.65,465.65,465.65,465.65,000,465.65
2017-01-25,470.25,473.75,462.20,465.65,3368700,465.65
2017-01-24,471.40,473.50,465.40,469.90,1255900,469.90
2017-01-23,465.00,471.80,460.80,469.70,1400600,469.70
2017-01-20,476.00,484.00,466.00,468.65,1442100,468.65
2017-01-19,480.00,485.25,477.45,481.40,1586500,481.40
2017-01-18,488.00,494.90,481.50,483.65,1336500,483.65
2017-01-17,488.00,495.00,484.70,486.75,1233800,486.75
2017-01-16,488.25,490.55,479.00,487.15,1258500,487.15
2017-01-13,484.20,492.90,481.90,488.50,2754700,488.50
2017-01-12,475.00,486.80,472.20,481.20,1970000,481.20
2017-01-11,473.30,478.45,469.00,474.05,2058600,474.05
2017-01-10,474.35,475.00,467.65,473.50,1634800,473.50
2017-01-09,465.05,477.90,462.00,473.45,1812400,473.45
2017-01-06,487.50,487.90,466.20,469.75,3307500,469.75
2017-01-05,505.00,507.00,485.95,488.10,2295800,488.10
2017-01-04,490.00,504.50,488.55,500.60,1989100,500.60
2017-01-03,488.70,495.00,487.20,491.55,1006500,491.55
2017-01-02,494.50,496.90,486.50,488.00,1203100,488.00
2016-12-30,482.00,493.00,482.00,488.90,1817100,488.90
2016-12-29,471.05,484.45,469.50,482.70,2079900,482.70
2016-12-28,469.00,477.00,469.00,474.15,1658300,474.15
2016-12-27,460.50,474.00,460.05,468.20,1061500,468.20
2016-12-26,463.25,468.05,460.40,463.60,572300,463.60
2016-12-23,474.00,477.45,465.25,467.10,942200,467.10
2016-12-22,472.30,477.20,464.55,473.95,932700,473.95
2016-12-21,478.00,479.60,472.50,474.45,667500,474.45
2016-12-20,476.90,480.75,473.65,476.75,1919700,476.75
2016-12-19,474.00,475.60,470.45,473.35,1389000,473.35
2016-12-16,481.40,482.10,475.00,477.15,2185700,477.15
2016-12-15,475.25,482.00,468.05,477.45,3292400,477.45
2016-12-14,484.00,487.00,473.35,476.65,1702300,476.65
2016-12-13,470.00,487.50,467.30,484.55,1863400,484.55
2016-12-12,473.95,474.05,466.70,469.40,709900,469.40
2016-12-09,467.00,474.95,465.00,471.70,2017000,471.70
2016-12-08,459.90,465.60,457.10,463.75,1158600,463.75
2016-12-07,468.85,470.00,453.75,455.60,1540200,455.60
2016-12-06,463.00,469.50,462.40,465.45,1073600,465.45
2016-12-05,467.00,476.60,459.35,462.40,1727400,462.40
2016-12-02,477.00,481.95,471.00,473.40,2450500,473.40
2016-12-01,480.05,485.20,471.40,475.05,2059500,475.05
2016-11-30,487.25,489.80,481.35,485.20,2604800,485.20
2016-11-29,489.40,494.40,481.30,483.85,2029100,483.85
2016-11-28,485.95,495.85,482.50,489.35,2279400,489.35
2016-11-25,461.90,489.50,461.15,487.25,4561900,487.25
2016-11-24,450.70,464.50,450.10,458.65,2574400,458.65
2016-11-23,457.00,458.95,448.05,453.10,1950800,453.10
2016-11-22,448.00,455.00,446.20,453.40,2409600,453.40
2016-11-21,445.90,452.00,440.90,447.15,2718900,447.15
