Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,3710.10,3793.50,3669.80,3779.75,289800,3779.75
2017-01-31,3705.00,3736.00,3666.10,3694.45,214700,3694.45
2017-01-30,3690.00,3730.00,3655.80,3693.90,199700,3693.90
2017-01-27,3680.00,3764.00,3671.00,3686.30,285300,3686.30
2017-01-26,3680.40,3680.40,3680.40,3680.40,000,3680.40
2017-01-25,3665.00,3693.75,3625.00,3680.40,464900,3680.40
2017-01-24,3556.00,3674.50,3535.05,3656.85,425200,3656.85
2017-01-23,3507.95,3569.45,3481.20,3527.80,389900,3527.80
2017-01-20,3440.00,3522.50,3422.10,3471.65,314500,3471.65
2017-01-19,3506.00,3516.90,3425.05,3461.45,282700,3461.45
2017-01-18,3384.00,3531.05,3384.00,3501.65,249800,3501.65
2017-01-17,3344.40,3392.25,3335.00,3380.25,159800,3380.25
2017-01-16,3316.00,3345.00,3300.00,3340.20,104500,3340.20
2017-01-13,3353.60,3368.55,3310.10,3319.70,95000,3319.70
2017-01-12,3370.00,3395.00,3336.05,3352.50,131100,3352.50
2017-01-11,3295.20,3360.00,3288.35,3353.10,160300,3353.10
2017-01-10,3305.60,3314.95,3261.00,3279.45,236600,3279.45
2017-01-09,3324.50,3334.95,3281.00,3291.85,138700,3291.85
2017-01-06,3380.00,3394.90,3312.00,3322.75,228300,3322.75
2017-01-05,3304.85,3399.00,3304.85,3382.85,210800,3382.85
2017-01-04,3330.00,3360.00,3287.50,3301.40,223800,3301.40
2017-01-03,3375.00,3386.45,3313.50,3326.70,279900,3326.70
2017-01-02,3300.00,3379.00,3300.00,3371.35,243500,3371.35
2016-12-30,3230.00,3283.65,3216.00,3250.20,229400,3250.20
2016-12-29,3159.50,3240.00,3137.85,3216.20,338500,3216.20
2016-12-28,3147.00,3199.00,3126.00,3159.50,202400,3159.50
2016-12-27,3070.00,3164.00,3050.00,3156.55,258400,3156.55
2016-12-26,3085.00,3120.00,3067.05,3088.75,162600,3088.75
2016-12-23,3158.90,3158.90,3068.35,3107.10,288500,3107.10
2016-12-22,3183.50,3183.55,3130.00,3143.70,239900,3143.70
2016-12-21,3180.00,3211.45,3166.50,3192.35,304700,3192.35
2016-12-20,3116.70,3169.50,3103.60,3145.60,317500,3145.60
2016-12-19,3189.90,3189.90,3101.00,3107.70,408300,3107.70
2016-12-16,3284.00,3284.00,3163.35,3177.65,758000,3177.65
2016-12-15,3290.00,3311.00,3255.00,3264.50,335900,3264.50
2016-12-14,3380.85,3380.85,3302.05,3315.05,209700,3315.05
2016-12-13,3468.00,3477.90,3355.55,3366.75,366700,3366.75
2016-12-12,3576.00,3576.05,3441.35,3462.35,207200,3462.35
2016-12-09,3604.70,3607.95,3554.25,3568.95,149900,3568.95
2016-12-08,3588.00,3631.00,3576.30,3593.00,206000,3593.00
2016-12-07,3605.65,3668.00,3554.60,3568.05,381900,3568.05
2016-12-06,3600.00,3617.80,3556.45,3601.90,234400,3601.90
2016-12-05,3588.00,3632.25,3551.50,3582.75,296900,3582.75
2016-12-02,3550.00,3599.25,3528.00,3585.65,266000,3585.65
2016-12-01,3619.70,3620.85,3561.20,3570.70,267100,3570.70
2016-11-30,3569.90,3640.00,3555.60,3603.45,5134800,3603.45
2016-11-29,3485.00,3563.00,3485.00,3536.25,378400,3536.25
2016-11-28,3479.00,3563.80,3475.50,3504.85,416300,3504.85
2016-11-25,3500.00,3509.95,3451.10,3497.45,497400,3497.45
2016-11-24,3436.00,3505.00,3404.95,3483.75,688900,3483.75
2016-11-23,3469.00,3475.15,3381.00,3452.20,430800,3452.20
2016-11-22,3335.25,3434.10,3300.00,3422.75,540700,3422.75
2016-11-21,3400.00,3408.00,3303.05,3322.30,525300,3322.30
2016-11-18,3329.60,3405.15,3275.00,3392.80,683500,3392.80
2016-11-17,3370.00,3405.70,3317.00,3335.85,745800,3335.85
2016-11-16,3400.00,3466.90,3343.00,3370.25,833100,3370.25
2016-11-15,3615.00,3615.00,3343.50,3364.15,1362700,3364.15
2016-11-14,3634.10,3634.10,3634.10,3634.10,000,3634.10
2016-11-11,3800.30,3801.15,3610.90,3634.10,623300,3634.10
2016-11-10,3930.00,3930.00,3815.85,3841.25,382600,3841.25
2016-11-09,3799.70,3870.00,3584.25,3765.75,747000,3765.75
2016-11-08,3910.25,3969.00,3901.00,3958.95,171900,3958.95
2016-11-07,3884.70,3945.00,3870.10,3908.50,254900,3908.50
2016-11-04,3925.00,3928.85,3818.25,3854.55,227300,3854.55
2016-11-03,3888.00,3932.75,3881.00,3906.65,246700,3906.65
2016-11-02,3958.90,3964.80,3878.00,3896.10,214700,3896.10
2016-11-01,3984.00,3990.00,3952.00,3976.75,166000,3976.75
2016-10-31,3982.70,3982.70,3982.70,3982.70,000,3982.70
2016-10-28,3941.00,3989.80,3890.00,3982.70,189100,3982.70
2016-10-27,3950.00,3970.00,3913.00,3941.55,355000,3941.55
2016-10-26,3980.05,3999.90,3929.90,3937.55,268800,3937.55
2016-10-25,3981.00,4031.85,3964.80,4017.05,110300,4017.05
2016-10-24,3994.95,4017.85,3961.05,3971.50,108800,3971.50
2016-10-21,4008.00,4025.25,3950.00,3980.90,231800,3980.90
2016-10-20,4034.00,4046.45,3993.75,4007.10,199600,4007.10
2016-10-19,4011.00,4050.00,4005.10,4032.55,269900,4032.55
2016-10-18,4030.00,4050.00,3986.90,4022.75,218000,4022.75
2016-10-17,4045.00,4074.70,3963.30,4012.85,648200,4012.85
2016-10-14,3989.00,4057.95,3970.05,4036.50,214400,4036.50
2016-10-13,3969.60,4014.95,3942.55,3985.75,345500,3985.75
2016-10-12,3976.75,3976.75,3976.75,3976.75,000,3976.75
2016-10-11,3976.75,3976.75,3976.75,3976.75,000,3976.75
2016-10-10,3934.95,3995.00,3934.95,3976.75,202200,3976.75
2016-10-07,3980.00,3980.00,3905.55,3933.90,117800,3933.90
2016-10-06,4037.30,4044.00,3945.95,3960.20,192900,3960.20
2016-10-05,3958.50,4044.75,3939.05,4033.15,325400,4033.15
2016-10-04,3932.50,3990.00,3932.50,3953.20,224100,3953.20
2016-10-03,3874.90,3935.00,3853.60,3928.45,249500,3928.45
2016-09-30,3850.00,3895.40,3838.05,3851.55,241000,3851.55
2016-09-29,3990.10,4000.30,3843.65,3861.30,367200,3861.30
2016-09-28,3906.00,3987.00,3906.00,3972.65,262200,3972.65
2016-09-27,3910.50,3975.00,3902.00,3914.80,182300,3914.80
2016-09-26,3954.10,3957.95,3905.50,3923.15,124000,3923.15
2016-09-23,4010.00,4013.95,3951.00,3964.20,268100,3964.20
2016-09-22,4009.00,4009.00,3960.05,3980.00,292900,3980.00
2016-09-21,3992.80,4023.90,3938.50,3960.75,305200,3960.75
2016-09-20,4019.45,4030.00,3969.45,3988.70,298500,3988.70
2016-09-19,3941.00,4005.00,3892.15,3990.45,276000,3990.45
2016-09-16,3951.90,4028.00,3883.10,3924.00,400200,3924.00
2016-09-15,3949.00,3955.00,3885.00,3928.65,202100,3928.65
2016-09-14,3870.00,3965.00,3833.60,3944.25,213400,3944.25
2016-09-13,3866.15,3866.15,3866.15,3866.15,000,3866.15
2016-09-12,3900.00,3939.90,3844.55,3866.15,202900,3866.15
2016-09-09,4119.00,4119.05,3933.40,3953.70,349100,3953.70
2016-09-08,4079.90,4129.70,4063.50,4115.35,138500,4115.35
2016-09-07,4090.00,4120.00,4070.00,4085.60,116100,4085.60
2016-09-06,4095.00,4104.80,4054.20,4074.80,300600,4074.80
