Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1403.00,1416.40,1382.20,1413.10,3491800,1413.10
2017-01-31,1388.00,1400.00,1381.05,1396.00,2315700,1396.00
2017-01-30,1399.95,1400.45,1383.90,1389.00,1567800,1389.00
2017-01-27,1410.00,1421.50,1390.20,1398.75,2784100,1398.75
2017-01-26,1406.80,1406.80,1406.80,1406.80,000,1406.80
2017-01-25,1372.00,1410.00,1367.20,1406.80,4665900,1406.80
2017-01-24,1391.95,1413.20,1346.50,1358.90,6128100,1358.90
2017-01-23,1360.95,1389.00,1358.55,1382.95,3107500,1382.95
2017-01-20,1354.00,1378.70,1352.15,1358.70,4400200,1358.70
2017-01-19,1344.95,1356.50,1332.35,1347.50,5059500,1347.50
2017-01-18,1328.80,1351.25,1328.00,1345.95,2070500,1345.95
2017-01-17,1336.30,1336.30,1315.00,1323.80,1396300,1323.80
2017-01-16,1318.50,1335.70,1311.40,1328.75,1704700,1328.75
2017-01-13,1328.70,1333.95,1307.00,1318.05,1734300,1318.05
2017-01-12,1319.00,1343.50,1318.00,1325.50,3005500,1325.50
2017-01-11,1274.00,1322.65,1273.05,1317.85,4139800,1317.85
2017-01-10,1259.00,1274.00,1251.55,1264.60,1524900,1264.60
2017-01-09,1254.80,1267.75,1247.30,1256.20,2438200,1256.20
2017-01-06,1215.00,1251.90,1215.00,1246.75,3745100,1246.75
2017-01-05,1170.10,1219.40,1168.40,1210.20,3710600,1210.20
2017-01-04,1166.00,1171.90,1158.30,1163.15,1228400,1163.15
2017-01-03,1145.00,1172.70,1140.45,1162.90,1750200,1162.90
2017-01-02,1160.60,1162.00,1131.30,1144.65,1568000,1144.65
2016-12-30,1147.70,1161.25,1145.00,1156.45,1643100,1156.45
2016-12-29,1110.00,1153.70,1105.10,1148.30,2828600,1148.30
2016-12-28,1128.90,1139.00,1110.50,1113.05,1822600,1113.05
2016-12-27,1101.70,1133.10,1099.50,1128.00,1608700,1128.00
2016-12-26,1119.90,1121.00,1090.55,1101.50,2098200,1101.50
2016-12-23,1126.00,1139.95,1122.80,1124.70,1623000,1124.70
2016-12-22,1136.70,1136.70,1115.00,1126.15,1695200,1126.15
2016-12-21,1151.90,1156.55,1134.10,1138.35,2431600,1138.35
2016-12-20,1180.50,1183.55,1143.75,1147.10,2099400,1147.10
2016-12-19,1184.00,1187.85,1174.05,1179.80,1430700,1179.80
2016-12-16,1189.45,1197.00,1172.55,1182.10,2965700,1182.10
2016-12-15,1182.20,1204.50,1180.15,1185.20,2875200,1185.20
2016-12-14,1210.00,1210.70,1193.55,1196.10,1758400,1196.10
2016-12-13,1195.00,1209.80,1180.10,1206.65,2157300,1206.65
2016-12-12,1212.00,1218.00,1187.05,1192.65,1586900,1192.65
2016-12-09,1220.00,1225.00,1203.85,1219.75,2012000,1219.75
2016-12-08,1193.60,1218.90,1193.25,1215.55,1789100,1215.55
2016-12-07,1198.50,1220.00,1174.90,1188.25,3868600,1188.25
2016-12-06,1187.70,1206.45,1177.40,1193.15,2264400,1193.15
2016-12-05,1157.00,1187.50,1151.05,1183.55,1639900,1183.55
2016-12-02,1154.00,1163.60,1142.60,1150.15,2420600,1150.15
2016-12-01,1175.70,1184.75,1157.00,1161.00,2044400,1161.00
2016-11-30,1148.00,1180.80,1146.15,1173.85,3233500,1173.85
2016-11-29,1151.90,1163.80,1141.40,1144.55,2659400,1144.55
2016-11-28,1135.00,1176.00,1134.00,1149.60,3044100,1149.60
2016-11-25,1130.45,1171.70,1124.85,1167.70,2777500,1167.70
2016-11-24,1120.10,1130.00,1109.20,1119.85,2157400,1119.85
2016-11-23,1145.00,1146.00,1118.10,1125.25,2507500,1125.25
2016-11-22,1128.70,1141.00,1095.15,1131.65,3795300,1131.65
2016-11-21,1182.00,1191.45,1105.70,1112.50,3455500,1112.50
2016-11-18,1178.20,1185.55,1160.10,1180.75,2901300,1180.75
2016-11-17,1184.95,1208.25,1166.15,1173.15,2424600,1173.15
2016-11-16,1177.00,1199.00,1133.55,1182.00,3771400,1182.00
2016-11-15,1218.00,1218.00,1147.10,1157.45,4637000,1157.45
2016-11-14,1214.90,1214.90,1214.90,1214.90,000,1214.90
2016-11-11,1270.00,1286.00,1209.65,1214.90,4603800,1214.90
2016-11-10,1240.00,1313.00,1230.30,1290.25,4683200,1290.25
2016-11-09,1140.00,1229.50,1123.05,1219.15,4419100,1219.15
2016-11-08,1215.00,1235.90,1196.15,1226.45,1874800,1226.45
2016-11-07,1210.00,1231.90,1204.00,1207.35,1745800,1207.35
2016-11-04,1215.00,1215.40,1172.60,1196.10,2189300,1196.10
2016-11-03,1211.00,1265.00,1190.00,1208.80,1900800,1208.80
2016-11-02,1236.05,1237.95,1200.80,1209.65,2941700,1209.65
2016-11-01,1273.45,1273.45,1247.10,1249.45,1624700,1249.45
2016-10-31,1272.30,1272.30,1272.30,1272.30,000,1272.30
2016-10-28,1259.00,1277.90,1257.30,1272.30,1321500,1272.30
2016-10-27,1300.00,1300.95,1242.10,1253.60,4884700,1253.60
2016-10-26,1303.95,1313.60,1284.55,1290.25,1862800,1290.25
2016-10-25,1310.00,1312.00,1298.50,1308.45,1349700,1308.45
2016-10-24,1320.00,1327.95,1306.05,1310.80,1396000,1310.80
2016-10-21,1314.05,1320.00,1297.00,1317.40,2610200,1317.40
2016-10-20,1301.00,1323.65,1296.80,1308.80,5791100,1308.80
2016-10-19,1297.95,1308.55,1277.25,1291.55,2865400,1291.55
2016-10-18,1255.00,1296.80,1255.00,1291.05,2573800,1291.05
2016-10-17,1264.40,1267.00,1242.25,1250.55,1318300,1250.55
2016-10-14,1260.00,1268.00,1244.15,1259.95,1981800,1259.95
2016-10-13,1268.00,1283.90,1235.30,1255.70,2599400,1255.70
2016-10-12,1279.50,1279.50,1279.50,1279.50,000,1279.50
2016-10-11,1279.50,1279.50,1279.50,1279.50,000,1279.50
2016-10-10,1279.00,1290.00,1276.00,1279.50,1226500,1279.50
2016-10-07,1276.00,1284.80,1266.15,1273.80,1796400,1273.80
2016-10-06,1237.10,1295.00,1231.50,1280.05,5919900,1280.05
2016-10-05,1294.00,1297.50,1271.00,1279.15,1696400,1279.15
2016-10-04,1280.00,1291.80,1270.30,1284.05,2233400,1284.05
2016-10-03,1275.00,1283.00,1263.25,1270.25,2167500,1270.25
2016-09-30,1231.55,1259.10,1211.55,1254.70,4189700,1254.70
2016-09-29,1276.00,1304.95,1225.00,1230.80,8602400,1230.80
2016-09-28,1246.00,1274.80,1245.00,1271.20,3143500,1271.20
2016-09-27,1247.00,1251.80,1238.20,1246.90,2938400,1246.90
2016-09-26,1221.95,1243.00,1216.25,1235.35,2402900,1235.35
2016-09-23,1245.00,1248.90,1228.05,1233.15,2034000,1233.15
2016-09-22,1245.00,1259.00,1230.90,1246.55,4631400,1246.55
2016-09-21,1209.10,1227.80,1209.10,1220.25,3740600,1220.25
2016-09-20,1189.10,1213.45,1171.30,1207.05,4774300,1207.05
2016-09-19,1166.00,1193.75,1155.80,1177.35,7352700,1177.35
2016-09-16,1232.00,1239.35,1158.90,1169.80,10291700,1169.80
2016-09-15,1240.00,1240.00,1206.20,1221.80,4831900,1221.80
2016-09-14,1203.10,1256.95,1203.10,1253.50,6382200,1253.50
2016-09-13,1205.10,1205.10,1205.10,1205.10,000,1205.10
2016-09-12,1249.00,1249.00,1197.00,1205.10,8790800,1205.10
2016-09-09,1250.05,1315.00,1246.95,1276.25,15748500,1276.25
2016-09-08,1387.15,1390.00,1321.25,1328.25,7127300,1328.25
2016-09-07,1447.70,1447.70,1390.05,1401.55,5120000,1401.55
2016-09-06,1389.95,1449.00,1389.95,1440.80,3144900,1440.80
2016-09-05,1388.35,1388.35,1388.35,1388.35,000,1388.35
2016-09-02,1365.00,1394.25,1362.30,1388.35,2073600,1388.35
2016-09-01,1369.70,1376.65,1360.15,1364.85,2015600,1364.85
2016-08-31,1360.00,1382.30,1342.00,1366.10,23168900,1366.10
2016-08-30,1343.00,1374.75,1340.20,1355.20,3270500,1355.20
2016-08-29,1324.70,1343.00,1317.00,1338.65,2987100,1338.65
2016-08-26,1346.60,1347.00,1319.05,1326.50,2314200,1326.50
2016-08-25,1339.30,1349.60,1337.00,1343.55,3671700,1343.55
2016-08-24,1341.25,1342.85,1330.05,1337.85,1851100,1337.85
2016-08-23,1343.20,1351.35,1335.50,1341.25,2124400,1341.25
2016-08-22,1335.00,1349.25,1332.70,1343.30,2159500,1343.30
2016-08-19,1321.00,1339.00,1316.00,1335.95,1664200,1335.95
2016-08-18,1310.20,1324.75,1308.00,1320.65,1852100,1320.65
2016-08-17,1301.00,1309.90,1285.30,1308.35,1639300,1308.35
2016-08-16,1298.95,1314.95,1289.90,1294.95,2818800,1294.95
2016-08-15,1290.70,1290.70,1290.70,1290.70,000,1290.70
2016-08-12,1254.00,1294.00,1253.00,1290.70,3488800,1290.70
2016-08-11,1265.00,1265.00,1236.10,1252.50,3542300,1252.50
2016-08-10,1264.00,1271.85,1247.60,1267.40,2459700,1267.40
2016-08-09,1265.15,1265.85,1251.00,1259.85,1739900,1259.85
2016-08-08,1268.15,1270.00,1255.20,1265.25,1297200,1265.25
2016-08-05,1239.80,1263.00,1234.50,1258.45,2136200,1258.45
2016-08-04,1240.50,1245.30,1220.05,1231.55,1843800,1231.55
2016-08-03,1233.00,1244.90,1217.65,1235.55,2806900,1235.55
2016-08-02,1226.00,1244.50,1222.85,1228.40,1891000,1228.40
2016-08-01,1224.00,1235.00,1203.55,1221.40,1678500,1221.40
2016-07-29,1225.00,1236.00,1209.00,1216.95,2487200,1216.95
2016-07-28,1206.95,1227.85,1202.65,1223.50,3509200,1223.50
2016-07-27,1205.90,1214.50,1176.10,1200.45,8034400,1200.45
2016-07-26,1183.00,1211.10,1177.15,1200.15,2434300,1200.15
2016-07-25,1150.05,1189.35,1147.75,1182.75,2040400,1182.75
2016-07-22,1155.00,1166.35,1149.30,1156.70,1828600,1156.70
2016-07-21,1162.00,1170.00,1150.40,1154.65,1033000,1154.65
2016-07-20,1155.50,1168.75,1148.10,1162.80,1459100,1162.80
2016-07-19,1170.00,1170.95,1143.50,1153.35,2048400,1153.35
2016-07-18,1175.10,1184.45,1170.30,1174.50,1136900,1174.50
2016-07-15,1172.00,1186.20,1160.55,1179.20,1877900,1179.20
2016-07-14,1148.00,1173.90,1145.40,1171.45,1923900,1171.45
2016-07-13,1152.70,1153.25,1138.00,1146.70,1782800,1146.70
2016-07-12,1142.00,1155.95,1138.10,1153.65,1629300,1153.65
2016-07-11,1132.00,1148.90,1131.10,1143.50,1875300,1143.50
2016-07-08,1111.25,1124.00,1106.60,1120.25,1131300,1120.25
2016-07-07,1130.00,1130.00,1110.00,1112.10,1621700,1112.10
2016-07-06,1126.40,1126.40,1126.40,1126.40,000,1126.40
2016-07-05,1118.90,1132.00,1113.00,1126.40,1563500,1126.40
2016-07-04,1135.00,1140.00,1115.00,1117.60,2033400,1117.60
