Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,491.00,506.55,487.40,504.45,1553800,504.45
2017-01-31,496.00,496.00,487.35,489.15,852700,489.15
2017-01-30,497.15,501.95,490.85,496.35,1011800,496.35
2017-01-27,493.00,511.00,484.50,496.75,3272800,496.75
2017-01-26,498.20,498.20,498.20,498.20,000,498.20
2017-01-25,483.00,503.05,480.80,498.20,5501700,498.20
2017-01-24,482.00,489.00,473.50,479.40,4600200,479.40
2017-01-23,469.95,485.30,468.35,482.95,2891300,482.95
2017-01-20,477.15,478.40,465.05,467.15,1984400,467.15
2017-01-19,482.50,482.65,476.00,477.55,1331400,477.55
2017-01-18,482.30,484.50,476.35,482.05,1153900,482.05
2017-01-17,481.00,488.30,477.60,480.15,1636200,480.15
2017-01-16,478.00,486.45,478.00,481.00,1493600,481.00
2017-01-13,477.05,480.60,466.50,477.55,1482800,477.55
2017-01-12,480.50,485.50,473.60,476.45,2125600,476.45
2017-01-11,468.00,481.90,468.00,478.30,2458800,478.30
2017-01-10,464.00,469.00,463.35,467.75,1745400,467.75
2017-01-09,464.90,468.00,461.85,465.10,780000,465.10
2017-01-06,474.50,474.90,462.00,463.10,1468900,463.10
2017-01-05,464.00,474.40,459.55,470.70,2003000,470.70
2017-01-04,459.00,461.75,453.45,458.60,1856500,458.60
2017-01-03,454.00,459.65,450.00,458.30,1015800,458.30
2017-01-02,453.05,458.40,450.40,451.60,869000,451.60
2016-12-30,446.50,455.20,446.50,453.05,1152200,453.05
2016-12-29,440.70,449.95,437.15,447.60,2261100,447.60
2016-12-28,436.70,448.00,436.70,443.10,1741900,443.10
2016-12-27,432.20,438.55,430.35,436.30,973400,436.30
2016-12-26,440.00,441.90,430.10,431.80,1139200,431.80
2016-12-23,438.00,445.00,427.65,442.65,2423300,442.65
2016-12-22,442.05,445.85,438.25,441.55,1551800,441.55
2016-12-21,449.00,449.00,440.10,441.45,1281000,441.45
2016-12-20,442.20,450.00,440.00,448.50,2433200,448.50
2016-12-19,443.25,448.00,440.00,441.45,1530800,441.45
2016-12-16,439.85,446.90,437.00,442.10,2510400,442.10
2016-12-15,435.20,447.60,434.00,437.75,2329600,437.75
2016-12-14,447.00,447.00,438.00,442.45,2180400,442.45
2016-12-13,450.00,450.50,439.55,441.80,2783000,441.80
2016-12-12,459.85,467.90,450.00,452.30,1764700,452.30
2016-12-09,458.00,464.00,455.25,460.05,2444100,460.05
2016-12-08,445.00,454.80,443.50,452.85,1673800,452.85
2016-12-07,446.00,447.90,436.65,441.45,1857300,441.45
2016-12-06,445.00,453.70,443.55,446.70,1254600,446.70
2016-12-05,443.25,446.65,430.50,442.55,2651900,442.55
2016-12-02,456.35,457.00,441.15,443.10,2048200,443.10
2016-12-01,456.90,463.70,455.00,457.60,2194400,457.60
2016-11-30,461.10,462.50,451.15,455.65,2154400,455.65
2016-11-29,454.00,465.95,452.75,457.40,2024900,457.40
2016-11-28,442.00,462.00,439.50,457.70,2630300,457.70
2016-11-25,444.70,451.35,431.80,439.50,5241700,439.50
2016-11-24,459.00,459.00,437.10,439.10,3893900,439.10
2016-11-23,450.30,463.20,439.75,457.10,2756600,457.10
2016-11-22,442.00,451.00,437.55,449.40,2330600,449.40
2016-11-21,451.90,453.00,429.25,434.00,5082300,434.00
2016-11-18,466.70,466.70,442.40,446.65,2718200,446.65
2016-11-17,475.00,479.75,455.95,459.00,2716800,459.00
2016-11-16,460.05,482.20,459.40,475.30,5472800,475.30
2016-11-15,483.00,490.00,450.50,453.50,3447000,453.50
